eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 3.465738512582406)","('test_acc', 0.03889899909008189)","('test_f1', 0.009771815079275638)","('test_prec', 0.009000159385302874)","('test_reca', 0.03889899909008189)","('test_roc', 0.4957844104732752)","('mean_train_loss', 3.4657342433929443)","('train_acc', 0.03125)","('train_f1', 0.0020161290322580645)","('train_prec', 0.0010416666666666667)","('train_reca', 0.03125)","('train_roc', 0.48790322580645157)","('mean_val_loss', 3.4657383584976196)","('val_acc', 0.038125)","('val_f1', 0.009459489346644073)","('val_prec', 0.009287309908012513)","('val_reca', 0.038125)","('val_roc', 0.49478588709677424)","('pytorch_total_params', 20773)","('train_time', 42.0787353515625)","('best_epoch', 1)","('train_samples', '994/1200 v33 8.0-10.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.7570728207849395)","('test_acc', 0.7710702911737943)","('test_f1', 0.7559511053021339)","('test_prec', 0.7758405251462407)","('test_reca', 0.7710702911737943)","('test_roc', 0.9754269395906413)","('mean_train_loss', 2.519132614135742)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7561511325836183)","('val_acc', 0.774375)","('val_f1', 0.7583819970295205)","('val_prec', 0.7765072286019771)","('val_reca', 0.774375)","('val_roc', 0.9778541330645161)","('pytorch_total_params', 74277)","('train_time', 516.6011488437653)","('best_epoch', 336)","('train_samples', '477/1200 v15 54.0-56.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.6612513026288687)","('test_acc', 0.8790377616014559)","('test_f1', 0.8730594462931169)","('test_prec', 0.8824417981481725)","('test_reca', 0.879037761601456)","('test_roc', 0.9891450487557619)","('mean_train_loss', 2.5203776359558105)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6603043913841247)","('val_acc', 0.8825)","('val_f1', 0.876171955502983)","('val_prec', 0.8840916136257637)","('val_reca', 0.8825000000000001)","('val_roc', 0.9896046370967743)","('pytorch_total_params', 279589)","('train_time', 350.8141610622406)","('best_epoch', 193)","('train_samples', '814/1200 v27 8.0-10.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.9605082183452605)","('test_acc', 0.559855550500455)","('test_f1', 0.5209512899113471)","('test_prec', 0.5642141866846566)","('test_reca', 0.559855550500455)","('test_roc', 0.8701895852963227)","('mean_train_loss', 2.611273765563965)","('train_acc', 0.90625)","('train_f1', 0.8802083333333333)","('train_prec', 0.8697916666666667)","('train_reca', 0.90625)","('train_roc', 0.9949596774193549)","('mean_val_loss', 2.9604126906394956)","('val_acc', 0.5603125)","('val_f1', 0.5233722196318491)","('val_prec', 0.5854647814623246)","('val_reca', 0.5603125)","('val_roc', 0.8685979334677418)","('pytorch_total_params', 1083429)","('train_time', 747.0528337955475)","('best_epoch', 427)","('train_samples', '690/1200 v23 0.0-2.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.7773114864776307)","('test_acc', 0.7486351228389445)","('test_f1', 0.6894730299442282)","('test_prec', 0.660243931013488)","('test_reca', 0.7486351228389445)","('test_roc', 0.9896202951119031)","('mean_train_loss', 2.7340681552886963)","('train_acc', 0.78125)","('train_f1', 0.7291666666666666)","('train_prec', 0.709375)","('train_reca', 0.78125)","('train_roc', 0.9929435483870968)","('mean_val_loss', 2.777777590751648)","('val_acc', 0.748125)","('val_f1', 0.6887994378932307)","('val_prec', 0.6601055914217169)","('val_reca', 0.7481249999999999)","('val_roc', 0.9892026209677419)","('pytorch_total_params', 4263973)","('train_time', 221.03665256500244)","('best_epoch', 109)","('train_samples', '658/1200 v21 56.0-58.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 3.0811208073283676)","('test_acc', 0.43892174704276615)","('test_f1', 0.3573774742108649)","('test_prec', 0.3571728406703626)","('test_reca', 0.43892174704276615)","('test_roc', 0.8761344960500196)","('mean_train_loss', 2.768134593963623)","('train_acc', 0.75)","('train_f1', 0.6875)","('train_prec', 0.6625)","('train_reca', 0.75)","('train_roc', 0.9858870967741935)","('mean_val_loss', 3.0811540627479554)","('val_acc', 0.4384375)","('val_f1', 0.3555405552716929)","('val_prec', 0.35504556819547606)","('val_reca', 0.43843750000000004)","('val_roc', 0.8774433467741936)","('pytorch_total_params', 16916517)","('train_time', 570.959721326828)","('best_epoch', 320)","('train_samples', '768/1200 v25 36.0-38.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.978413340392386)","('test_acc', 0.5691822111010009)","('test_f1', 0.49203841333347453)","('test_prec', 0.5222860866189384)","('test_reca', 0.569182211101001)","('test_roc', 0.9134506628094656)","('mean_train_loss', 2.782365083694458)","('train_acc', 0.75)","('train_f1', 0.6770833333333333)","('train_prec', 0.6458333333333333)","('train_reca', 0.75)","('train_roc', 0.96875)","('mean_val_loss', 2.9812184023857116)","('val_acc', 0.5684375)","('val_f1', 0.49001499240241975)","('val_prec', 0.5011926988881372)","('val_reca', 0.5684374999999999)","('val_roc', 0.9147011088709678)","('pytorch_total_params', 20773)","('train_time', 843.2604393959045)","('best_epoch', 498)","('train_samples', '713/1200 v23 46.0-48.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.65037136754738)","('test_acc', 0.8798623748862603)","('test_f1', 0.8664351949280584)","('test_prec', 0.89163134438453)","('test_reca', 0.8798623748862602)","('test_roc', 0.9938060637980017)","('mean_train_loss', 2.5208559036254883)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6523770689964294)","('val_acc', 0.8803125)","('val_f1', 0.864371377904948)","('val_prec', 0.8865081420173667)","('val_reca', 0.8803125)","('val_roc', 0.992725)","('pytorch_total_params', 74277)","('train_time', 617.9651236534119)","('best_epoch', 364)","('train_samples', '1146/1200 v38 12.0-14.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.9348424463732012)","('test_acc', 0.5905652866242038)","('test_f1', 0.5110532376222342)","('test_prec', 0.4906901159696468)","('test_reca', 0.5905652866242039)","('test_roc', 0.9458657529829404)","('mean_train_loss', 2.7661941051483154)","('train_acc', 0.75)","('train_f1', 0.6666666666666666)","('train_prec', 0.625)","('train_reca', 0.75)","('train_roc', 0.9838709677419355)","('mean_val_loss', 2.9378854918479917)","('val_acc', 0.5875)","('val_f1', 0.5071036339972457)","('val_prec', 0.49319016180625763)","('val_reca', 0.5875)","('val_roc', 0.9446897177419354)","('pytorch_total_params', 279589)","('train_time', 505.1789438724518)","('best_epoch', 285)","('train_samples', '430/1200 v14 20.0-22.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 3.071141499405671)","('test_acc', 0.46735668789808915)","('test_f1', 0.4307693109912395)","('test_prec', 0.4719904970173864)","('test_reca', 0.46735668789808915)","('test_roc', 0.8397483890578161)","('mean_train_loss', 2.5836358070373535)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 1.0)","('mean_val_loss', 3.084290335178375)","('val_acc', 0.4534375)","('val_f1', 0.41499571103949384)","('val_prec', 0.4521808015758334)","('val_reca', 0.4534375)","('val_roc', 0.8353479838709678)","('pytorch_total_params', 1083429)","('train_time', 276.8034703731537)","('best_epoch', 153)","('train_samples', '705/1200 v23 30.0-32.0')"
