eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8822719196381277)","('test_acc', 0.6541218876356671)","('test_f1', 0.603969004381028)","('test_prec', 0.612558567413424)","('test_reca', 0.6541218876356671)","('test_roc', 0.9428632781206395)","('mean_train_loss', 2.5797178745269775)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.9969758064516129)","('mean_val_loss', 2.8786841773986818)","('val_acc', 0.658125)","('val_f1', 0.6038544898489429)","('val_prec', 0.6126888216357903)","('val_reca', 0.6581250000000001)","('val_roc', 0.9428966733870968)","('pytorch_total_params', 133536)","('train_time', 578.4159088134766)","('best_epoch', 377)","('train_samples', '1343/4800 v11 11.5-12.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 128)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.844149747435705)","('test_acc', 0.7049305703341137)","('test_f1', 0.6689104457927706)","('test_prec', 0.6724910796099763)","('test_reca', 0.7049305703341137)","('test_roc', 0.9620206875777155)","('mean_train_loss', 2.5488975048065186)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.841380534172058)","('val_acc', 0.7103125)","('val_f1', 0.6717445765736147)","('val_prec', 0.6769984546798243)","('val_reca', 0.7103125)","('val_roc', 0.9630578629032258)","('pytorch_total_params', 529184)","('train_time', 335.1502389907837)","('best_epoch', 168)","('train_samples', '2974/4800 v24 47.0-47.5')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 256)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.887907743961361)","('test_acc', 0.6419982975101085)","('test_f1', 0.5977882608029101)","('test_prec', 0.6256161345463481)","('test_reca', 0.6419982975101085)","('test_roc', 0.9469752407821106)","('mean_train_loss', 2.548858880996704)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.8918022680282593)","('val_acc', 0.6359375)","('val_f1', 0.5892791551697314)","('val_prec', 0.6237406441039227)","('val_reca', 0.6359375)","('val_roc', 0.9435506552419354)","('pytorch_total_params', 2106912)","('train_time', 147.65101742744446)","('best_epoch', 60)","('train_samples', '1404/4800 v11 42.0-42.5')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 512)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.887020911934985)","('test_acc', 0.6346962119599915)","('test_f1', 0.5939714055244221)","('test_prec', 0.6667042967889065)","('test_reca', 0.6346962119599915)","('test_roc', 0.9399864606659454)","('mean_train_loss', 2.5492918491363525)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.884745409488678)","('val_acc', 0.6403125)","('val_f1', 0.6008752042412102)","('val_prec', 0.6740547859079608)","('val_reca', 0.6403125000000001)","('val_roc', 0.9397413306451613)","('pytorch_total_params', 8408096)","('train_time', 101.96437048912048)","('best_epoch', 23)","('train_samples', '1943/4800 v16 11.5-12.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 1024)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.073866611492078)","('test_acc', 0.44369147690998084)","('test_f1', 0.36501719711597147)","('test_prec', 0.3890840213425289)","('test_reca', 0.4436914769099809)","('test_roc', 0.8427617661252489)","('mean_train_loss', 2.892702579498291)","('train_acc', 0.625)","('train_f1', 0.5385416666666667)","('train_prec', 0.5088541666666666)","('train_reca', 0.625)","('train_roc', 0.9506048387096774)","('mean_val_loss', 3.0721415448188782)","('val_acc', 0.4459375)","('val_f1', 0.36633307177005237)","('val_prec', 0.3865680074559743)","('val_reca', 0.4459375)","('val_roc', 0.8422872983870968)","('pytorch_total_params', 33593376)","('train_time', 105.03966856002808)","('best_epoch', 38)","('train_samples', '4741/4800 v39 30.5-31.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 2048)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.1790877155710673)","('test_acc', 0.3385161736539689)","('test_f1', 0.2550804088620015)","('test_prec', 0.35319733139905063)","('test_reca', 0.3385161736539689)","('test_roc', 0.7571794817621775)","('mean_train_loss', 2.9553184509277344)","('train_acc', 0.5625)","('train_f1', 0.47500000000000003)","('train_prec', 0.4515625)","('train_reca', 0.5625)","('train_roc', 0.8377016129032258)","('mean_val_loss', 3.1781166768074036)","('val_acc', 0.340625)","('val_f1', 0.2572680403216538)","('val_prec', 0.3501508993922039)","('val_reca', 0.340625)","('val_roc', 0.7554018649193548)","('pytorch_total_params', 134295584)","('train_time', 84.14040899276733)","('best_epoch', 17)","('train_samples', '1423/4800 v11 51.5-52.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8286283220172206)","('test_acc', 0.7184706852521813)","('test_f1', 0.6669652646339035)","('test_prec', 0.6726354495921192)","('test_reca', 0.7184706852521814)","('test_roc', 0.9520077515319385)","('mean_train_loss', 2.54887056350708)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.8262215757369997)","('val_acc', 0.7228125)","('val_f1', 0.6709179442636505)","('val_prec', 0.6724319015562907)","('val_reca', 0.7228125)","('val_roc', 0.9527307459677419)","('pytorch_total_params', 133536)","('train_time', 414.10228419303894)","('best_epoch', 219)","('train_samples', '4568/4800 v38 4.0-4.5')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 128)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.9214852184000155)","('test_acc', 0.616035326665248)","('test_f1', 0.5495122679937046)","('test_prec', 0.5634882772553705)","('test_reca', 0.616035326665248)","('test_roc', 0.9383764245979916)","('mean_train_loss', 2.5798394680023193)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 1.0)","('mean_val_loss', 2.9196953058242796)","('val_acc', 0.6175)","('val_f1', 0.5458536852881897)","('val_prec', 0.5561484254178981)","('val_reca', 0.6174999999999999)","('val_roc', 0.9405625000000001)","('pytorch_total_params', 529184)","('train_time', 234.06443405151367)","('best_epoch', 125)","('train_samples', '4657/4800 v38 48.5-49.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 256)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.913737974513919)","('test_acc', 0.6189681315173441)","('test_f1', 0.5600934960481111)","('test_prec', 0.6019901721460441)","('test_reca', 0.6189681315173441)","('test_roc', 0.9400852745049172)","('mean_train_loss', 2.5800046920776367)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.998991935483871)","('mean_val_loss', 2.9154905247688294)","('val_acc', 0.615625)","('val_f1', 0.5592783629264564)","('val_prec', 0.6148943993936288)","('val_reca', 0.615625)","('val_roc', 0.9422181451612903)","('pytorch_total_params', 2106912)","('train_time', 134.4798526763916)","('best_epoch', 49)","('train_samples', '1163/4800 v9 41.5-42.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 512)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.893377790097912)","('test_acc', 0.632721057671845)","('test_f1', 0.5785410164591167)","('test_prec', 0.6791341141444446)","('test_reca', 0.6327210576718449)","('test_roc', 0.9459027286617392)","('mean_train_loss', 2.5492918491363525)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.8931680846214296)","('val_acc', 0.62875)","('val_f1', 0.5702952865973216)","('val_prec', 0.669428775219484)","('val_reca', 0.62875)","('val_roc', 0.9448729334677419)","('pytorch_total_params', 8408096)","('train_time', 93.25679993629456)","('best_epoch', 28)","('train_samples', '3710/4800 v30 55.0-55.5')"
