eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 64)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.692789695607846)","('test_acc', 0.8513136942675159)","('test_f1', 0.8213681141448718)","('test_prec', 0.8137310576750951)","('test_reca', 0.8513136942675159)","('test_roc', 0.9735548715219082)","('mean_train_loss', 2.5791189670562744)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.9868951612903225)","('mean_val_loss', 2.695667231082916)","('val_acc', 0.84625)","('val_f1', 0.8148441676343093)","('val_prec', 0.8126409158851968)","('val_reca', 0.8462500000000001)","('val_roc', 0.9730719758064517)","('pytorch_total_params', 133536)","('train_time', 276.42834758758545)","('best_epoch', 166)","('train_samples', '561/1200 v18 42.0-44.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.7555561013607894)","('test_acc', 0.778434940855323)","('test_f1', 0.7435079441405366)","('test_prec', 0.7723447877670075)","('test_reca', 0.778434940855323)","('test_roc', 0.9841763059577668)","('mean_train_loss', 2.5507967472076416)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.756277470588684)","('val_acc', 0.77625)","('val_f1', 0.7389895051015778)","('val_prec', 0.7653560501376923)","('val_reca', 0.77625)","('val_roc', 0.9842537298387097)","('pytorch_total_params', 529184)","('train_time', 242.92115211486816)","('best_epoch', 142)","('train_samples', '1133/1200 v37 46.0-48.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 256)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.6919211030982644)","('test_acc', 0.8351910828025477)","('test_f1', 0.8208292987125311)","('test_prec', 0.8639731771152619)","('test_reca', 0.8351910828025477)","('test_roc', 0.9908810290621204)","('mean_train_loss', 2.518043279647827)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6924693822860717)","('val_acc', 0.83375)","('val_f1', 0.8190591354822078)","('val_prec', 0.8629787510705118)","('val_reca', 0.83375)","('val_roc', 0.9911962197580646)","('pytorch_total_params', 2106912)","('train_time', 190.8065664768219)","('best_epoch', 101)","('train_samples', '857/1200 v28 34.0-36.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.7990338891283613)","('test_acc', 0.721394449499545)","('test_f1', 0.6767999119964156)","('test_prec', 0.7553195689465727)","('test_reca', 0.7213944494995451)","('test_roc', 0.9809964158971018)","('mean_train_loss', 2.579922914505005)","('train_acc', 0.9375)","('train_f1', 0.921875)","('train_prec', 0.9166666666666666)","('train_reca', 0.9375)","('train_roc', 1.0)","('mean_val_loss', 2.799303035736084)","('val_acc', 0.7171875)","('val_f1', 0.6691158582547381)","('val_prec', 0.746183267990751)","('val_reca', 0.7171875)","('val_roc', 0.9795839213709678)","('pytorch_total_params', 8408096)","('train_time', 116.9140350818634)","('best_epoch', 35)","('train_samples', '14/1200 v0 28.0-30.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 1024)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.9729268453249182)","('test_acc', 0.5452115559599636)","('test_f1', 0.46482166212098797)","('test_prec', 0.45167775312070124)","('test_reca', 0.5452115559599636)","('test_roc', 0.8459125077577002)","('mean_train_loss', 2.8608810901641846)","('train_acc', 0.65625)","('train_f1', 0.5729166666666667)","('train_prec', 0.5427083333333333)","('train_reca', 0.65625)","('train_roc', 0.9213709677419355)","('mean_val_loss', 2.974305438995361)","('val_acc', 0.5434375)","('val_f1', 0.45964941221718775)","('val_prec', 0.4487608267587788)","('val_reca', 0.5434375)","('val_roc', 0.8424744455645161)","('pytorch_total_params', 33593376)","('train_time', 116.51794981956482)","('best_epoch', 32)","('train_samples', '830/1200 v27 40.0-42.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 3.1601418010531175)","('test_acc', 0.35793903548680617)","('test_f1', 0.2429893995982947)","('test_prec', 0.2358534618110182)","('test_reca', 0.35793903548680617)","('test_roc', 0.710143293256011)","('mean_train_loss', 3.080519676208496)","('train_acc', 0.4375)","('train_f1', 0.30833333333333335)","('train_prec', 0.2682291666666667)","('train_reca', 0.4375)","('train_roc', 0.7424395161290323)","('mean_val_loss', 3.157830305099487)","('val_acc', 0.359375)","('val_f1', 0.2440452651970733)","('val_prec', 0.24104391299192754)","('val_reca', 0.359375)","('val_roc', 0.7095577116935483)","('pytorch_total_params', 134295584)","('train_time', 168.06702256202698)","('best_epoch', 62)","('train_samples', '154/1200 v5 8.0-10.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 64)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.690336836805335)","('test_acc', 0.8601853958143767)","('test_f1', 0.8459030921727198)","('test_prec', 0.8694833521921042)","('test_reca', 0.8601853958143766)","('test_roc', 0.9907398187704817)","('mean_train_loss', 2.5182061195373535)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6900583577156065)","('val_acc', 0.85875)","('val_f1', 0.8435051635970864)","('val_prec', 0.8619140245332798)","('val_reca', 0.8587499999999999)","('val_roc', 0.9902410282258065)","('pytorch_total_params', 133536)","('train_time', 364.7326421737671)","('best_epoch', 197)","('train_samples', '596/1200 v19 52.0-54.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.7916895826910713)","('test_acc', 0.7424647406733395)","('test_f1', 0.6833961278118673)","('test_prec', 0.6549638109379596)","('test_reca', 0.7424647406733393)","('test_roc', 0.9663627903573947)","('mean_train_loss', 2.6719751358032227)","('train_acc', 0.84375)","('train_f1', 0.7916666666666666)","('train_prec', 0.765625)","('train_reca', 0.84375)","('train_roc', 0.9919354838709677)","('mean_val_loss', 2.786318628787994)","('val_acc', 0.746875)","('val_f1', 0.6861015281808723)","('val_prec', 0.6592071038737196)","('val_reca', 0.746875)","('val_roc', 0.9664451612903225)","('pytorch_total_params', 529184)","('train_time', 177.65656232833862)","('best_epoch', 87)","('train_samples', '657/1200 v21 54.0-56.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 256)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.676430010600346)","('test_acc', 0.8507449954504095)","('test_f1', 0.8411762055769432)","('test_prec', 0.8814309877055997)","('test_reca', 0.8507449954504095)","('test_roc', 0.9935427061179246)","('mean_train_loss', 2.518043041229248)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.677649800777435)","('val_acc', 0.8496875)","('val_f1', 0.8411183597038141)","('val_prec', 0.8840675913585971)","('val_reca', 0.8496875)","('val_roc', 0.9927207661290323)","('pytorch_total_params', 2106912)","('train_time', 239.119136095047)","('best_epoch', 111)","('train_samples', '185/1200 v6 10.0-12.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.7472598476774373)","('test_acc', 0.7790036396724295)","('test_f1', 0.753741265668434)","('test_prec', 0.781486738391767)","('test_reca', 0.7790036396724296)","('test_roc', 0.9568804094576732)","('mean_train_loss', 2.580605983734131)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.9848790322580645)","('mean_val_loss', 2.753501765727997)","('val_acc', 0.7746875)","('val_f1', 0.7488731276343679)","('val_prec', 0.7768508966877588)","('val_reca', 0.7746875)","('val_roc', 0.9557738407258065)","('pytorch_total_params', 8408096)","('train_time', 94.61155843734741)","('best_epoch', 21)","('train_samples', '1124/1200 v37 28.0-30.0')"
