eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8665285414330284)","('test_acc', 0.6695438234014789)","('test_f1', 0.6070632937628568)","('test_prec', 0.608018518182684)","('test_reca', 0.669543823401479)","('test_roc', 0.9421472460598115)","('mean_train_loss', 2.672316789627075)","('train_acc', 0.84375)","('train_f1', 0.8041666666666667)","('train_prec', 0.7890625)","('train_reca', 0.84375)","('train_roc', 0.9808467741935484)","('mean_val_loss', 2.8624714112281797)","('val_acc', 0.6803125)","('val_f1', 0.6190249262953901)","('val_prec', 0.6244203142755933)","('val_reca', 0.6803124999999999)","('val_roc', 0.9428375)","('pytorch_total_params', 142048)","('train_time', 219.20289373397827)","('best_epoch', 124)","('train_samples', '603/2400 v10 3.0-4.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.814983081796886)","('test_acc', 0.7161809482383645)","('test_f1', 0.6634389711709869)","('test_prec', 0.6626803792226407)","('test_reca', 0.7161809482383645)","('test_roc', 0.9436214239834495)","('mean_train_loss', 2.6420412063598633)","('train_acc', 0.875)","('train_f1', 0.8333333333333333)","('train_prec', 0.8125)","('train_reca', 0.875)","('train_roc', 0.9868951612903226)","('mean_val_loss', 2.817438106536865)","('val_acc', 0.71625)","('val_f1', 0.6656745834740907)","('val_prec', 0.6601021629544163)","('val_reca', 0.71625)","('val_roc', 0.9411691532258064)","('pytorch_total_params', 562592)","('train_time', 193.54302215576172)","('best_epoch', 105)","('train_samples', '1545/2400 v25 45.0-46.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.765914536186175)","('test_acc', 0.7590256633318835)","('test_f1', 0.7326090507096112)","('test_prec', 0.7512024146833574)","('test_reca', 0.7590256633318834)","('test_roc', 0.9766655075560813)","('mean_train_loss', 2.579599380493164)","('train_acc', 0.9375)","('train_f1', 0.921875)","('train_prec', 0.9166666666666666)","('train_reca', 0.9375)","('train_roc', 0.998991935483871)","('mean_val_loss', 2.7689843487739565)","('val_acc', 0.75625)","('val_f1', 0.7305157160518164)","('val_prec', 0.7480021268527245)","('val_reca', 0.75625)","('val_roc', 0.976957258064516)","('pytorch_total_params', 2239264)","('train_time', 97.84197235107422)","('best_epoch', 38)","('train_samples', '1684/2400 v28 4.0-5.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8529896763108407)","('test_acc', 0.6756198347107438)","('test_f1', 0.6374717362342652)","('test_prec', 0.6840822725556557)","('test_reca', 0.6756198347107438)","('test_roc', 0.9579857975275486)","('mean_train_loss', 2.6114485263824463)","('train_acc', 0.90625)","('train_f1', 0.875)","('train_prec', 0.859375)","('train_reca', 0.90625)","('train_roc', 0.997983870967742)","('mean_val_loss', 2.845962796211243)","('val_acc', 0.6821875)","('val_f1', 0.6455044342903231)","('val_prec', 0.6891595871343641)","('val_reca', 0.6821875)","('val_roc', 0.9625993951612903)","('pytorch_total_params', 8934944)","('train_time', 69.37482380867004)","('best_epoch', 17)","('train_samples', '1456/2400 v24 16.0-17.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.004392170501616)","('test_acc', 0.5145987385819921)","('test_f1', 0.42931496346611286)","('test_prec', 0.419090734062011)","('test_reca', 0.5145987385819921)","('test_roc', 0.8515033480293017)","('mean_train_loss', 2.8611440658569336)","('train_acc', 0.65625)","('train_f1', 0.5520833333333333)","('train_prec', 0.5052083333333333)","('train_reca', 0.65625)","('train_roc', 0.9380040322580645)","('mean_val_loss', 3.005370581150055)","('val_acc', 0.5115625)","('val_f1', 0.4240587461621439)","('val_prec', 0.413761218207929)","('val_reca', 0.5115625)","('val_roc', 0.851874495967742)","('pytorch_total_params', 35695648)","('train_time', 86.47514081001282)","('best_epoch', 19)","('train_samples', '2166/2400 v36 6.0-7.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.761431018597875)","('test_acc', 0.7725097868638539)","('test_f1', 0.7285918330684007)","('test_prec', 0.7108861167475701)","('test_reca', 0.7725097868638539)","('test_roc', 0.9729010529351846)","('mean_train_loss', 2.610973596572876)","('train_acc', 0.90625)","('train_f1', 0.8802083333333333)","('train_prec', 0.8697916666666666)","('train_reca', 0.90625)","('train_roc', 0.9959677419354839)","('mean_val_loss', 2.761520555019379)","('val_acc', 0.7715625)","('val_f1', 0.7242301677266676)","('val_prec', 0.7062035406980005)","('val_reca', 0.7715624999999999)","('val_roc', 0.9726009072580645)","('pytorch_total_params', 142048)","('train_time', 259.7165400981903)","('best_epoch', 126)","('train_samples', '1311/2400 v21 51.0-52.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8522771937580615)","('test_acc', 0.6753071987820791)","('test_f1', 0.6175495397806395)","('test_prec', 0.6165576411347986)","('test_reca', 0.6753071987820791)","('test_roc', 0.9553857669654278)","('mean_train_loss', 2.5800063610076904)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 1.0)","('mean_val_loss', 2.8522309613227845)","('val_acc', 0.674375)","('val_f1', 0.6173433575745224)","('val_prec', 0.621829088559896)","('val_reca', 0.6743750000000001)","('val_roc', 0.952693245967742)","('pytorch_total_params', 562592)","('train_time', 319.1510512828827)","('best_epoch', 163)","('train_samples', '1532/2400 v25 32.0-33.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.7426713569727394)","('test_acc', 0.7857628316659417)","('test_f1', 0.7613185690271858)","('test_prec', 0.8163751054496479)","('test_reca', 0.7857628316659417)","('test_roc', 0.9788916221434378)","('mean_train_loss', 2.518115282058716)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7488526773452757)","('val_acc', 0.78125)","('val_f1', 0.7576567336847502)","('val_prec', 0.82028340333817)","('val_reca', 0.78125)","('val_roc', 0.9791685987903226)","('pytorch_total_params', 2239264)","('train_time', 114.31168293952942)","('best_epoch', 48)","('train_samples', '2303/2400 v38 23.0-24.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.7897406438476575)","('test_acc', 0.733484667246629)","('test_f1', 0.6888250611854285)","('test_prec', 0.7275253265271597)","('test_reca', 0.733484667246629)","('test_roc', 0.9262417577972278)","('mean_train_loss', 2.611175537109375)","('train_acc', 0.90625)","('train_f1', 0.875)","('train_prec', 0.859375)","('train_reca', 0.90625)","('train_roc', 0.9737903225806452)","('mean_val_loss', 2.7848575210571287)","('val_acc', 0.7396875)","('val_f1', 0.6953761003413883)","('val_prec', 0.7434726514256849)","('val_reca', 0.7396875)","('val_roc', 0.9264317036290323)","('pytorch_total_params', 8934944)","('train_time', 140.07676124572754)","('best_epoch', 56)","('train_samples', '2110/2400 v35 10.0-11.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.4214292534956368)","('test_acc', 0.1013755980861244)","('test_f1', 0.09630364748837514)","('test_prec', 0.13108813153098547)","('test_reca', 0.10137559808612441)","('test_roc', 0.5875608776519359)","('mean_train_loss', 2.518042802810669)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.4201799750328066)","('val_acc', 0.1)","('val_f1', 0.09522581378399426)","('val_prec', 0.1188285824729026)","('val_reca', 0.1)","('val_roc', 0.5911006048387097)","('pytorch_total_params', 157920)","('train_time', 289.8306767940521)","('best_epoch', 148)","('train_samples', '518/2400 v8 38.0-39.0')"
