eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.851201798823565)","('test_acc', 0.6892262940408873)","('test_f1', 0.6254931602961968)","('test_prec', 0.6313725105518952)","('test_reca', 0.6892262940408873)","('test_roc', 0.964991379217139)","('mean_train_loss', 2.67555832862854)","('train_acc', 0.84375)","('train_f1', 0.796875)","('train_prec', 0.7760416666666667)","('train_reca', 0.84375)","('train_roc', 0.9959677419354839)","('mean_val_loss', 2.852574326992035)","('val_acc', 0.6878125)","('val_f1', 0.6225596378304172)","('val_prec', 0.6301466365813431)","('val_reca', 0.6878125)","('val_roc', 0.9635379032258065)","('pytorch_total_params', 11408)","('train_time', 869.4760856628418)","('best_epoch', 589)","('train_samples', '2210/2400 v36 50.0-51.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.72471454839387)","('test_acc', 0.8163739669421488)","('test_f1', 0.7832737376322702)","('test_prec', 0.8044357736596155)","('test_reca', 0.8163739669421487)","('test_roc', 0.9865565446369433)","('mean_train_loss', 2.580443859100342)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.998991935483871)","('mean_val_loss', 2.724442870616913)","('val_acc', 0.818125)","('val_f1', 0.7853762129372351)","('val_prec', 0.8075711131579857)","('val_reca', 0.818125)","('val_roc', 0.9869826612903225)","('pytorch_total_params', 27904)","('train_time', 559.7558174133301)","('best_epoch', 305)","('train_samples', '2246/2400 v37 26.0-27.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.7266916470612688)","('test_acc', 0.816958460200087)","('test_f1', 0.7952492871179746)","('test_prec', 0.8283667182589618)","('test_reca', 0.816958460200087)","('test_roc', 0.9860258774632542)","('mean_train_loss', 2.5488438606262207)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.7267721462249757)","('val_acc', 0.8221875)","('val_f1', 0.8015428702572674)","('val_prec', 0.8234203277902293)","('val_reca', 0.8221875000000001)","('val_roc', 0.9865570564516128)","('pytorch_total_params', 76256)","('train_time', 431.54877185821533)","('best_epoch', 250)","('train_samples', '1082/2400 v18 2.0-3.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.631623958805013)","('test_acc', 0.8992088951718138)","('test_f1', 0.8952078614566468)","('test_prec', 0.9150776676073071)","('test_reca', 0.8992088951718138)","('test_roc', 0.9982318863760519)","('mean_train_loss', 2.5180416107177734)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6250533747673033)","('val_acc', 0.9065625)","('val_f1', 0.9038603913249286)","('val_prec', 0.9211400832762606)","('val_reca', 0.9065625)","('val_roc', 0.9986256048387097)","('pytorch_total_params', 2903584)","('train_time', 391.33904910087585)","('best_epoch', 205)","('train_samples', '1415/2400 v23 35.0-36.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.708067341647287)","('test_acc', 0.8321824706394084)","('test_f1', 0.7969403589832369)","('test_prec', 0.7985119589406693)","('test_reca', 0.8321824706394084)","('test_roc', 0.98797459155005)","('mean_train_loss', 2.580979347229004)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.998991935483871)","('mean_val_loss', 2.7055959510803222)","('val_acc', 0.831875)","('val_f1', 0.7960351390757356)","('val_prec', 0.7983148183767186)","('val_reca', 0.831875)","('val_roc', 0.9875400201612904)","('pytorch_total_params', 11408)","('train_time', 1082.5862219333649)","('best_epoch', 659)","('train_samples', '1002/2400 v16 42.0-43.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.664742230020849)","('test_acc', 0.8799342105263158)","('test_f1', 0.8551802382898107)","('test_prec', 0.8471061464062778)","('test_reca', 0.8799342105263158)","('test_roc', 0.995016222305768)","('mean_train_loss', 2.5801658630371094)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 1.0)","('mean_val_loss', 2.6696548867225647)","('val_acc', 0.874375)","('val_f1', 0.850141026354983)","('val_prec', 0.8436598541488382)","('val_reca', 0.874375)","('val_roc', 0.99444375)","('pytorch_total_params', 27904)","('train_time', 506.96440291404724)","('best_epoch', 296)","('train_samples', '63/2400 v1 3.0-4.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.631636825630384)","('test_acc', 0.9111706176598521)","('test_f1', 0.8976211729108472)","('test_prec', 0.8957390299628681)","('test_reca', 0.9111706176598521)","('test_roc', 0.9949629515208878)","('mean_train_loss', 2.5489869117736816)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.627309341430664)","('val_acc', 0.9140625)","('val_f1', 0.9007863738186982)","('val_prec', 0.8975871345995383)","('val_reca', 0.9140625)","('val_roc', 0.9953572580645161)","('pytorch_total_params', 76256)","('train_time', 498.5087480545044)","('best_epoch', 282)","('train_samples', '193/2400 v3 13.0-14.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6298698941330745)","('test_acc', 0.9194078947368421)","('test_f1', 0.9108750227676121)","('test_prec', 0.9270042317319103)","('test_reca', 0.919407894736842)","('test_roc', 0.9985475051673224)","('mean_train_loss', 2.5181884765625)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6311101055145265)","('val_acc', 0.91875)","('val_f1', 0.9095300059022408)","('val_prec', 0.9299811363524157)","('val_reca', 0.91875)","('val_roc', 0.9984139112903225)","('pytorch_total_params', 234400)","('train_time', 229.45443749427795)","('best_epoch', 121)","('train_samples', '1037/2400 v17 17.0-18.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6333708920754675)","('test_acc', 0.9157650065245759)","('test_f1', 0.9072483165191906)","('test_prec', 0.9224974789216455)","('test_reca', 0.9157650065245759)","('test_roc', 0.9980758460137225)","('mean_train_loss', 2.5180504322052)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6295378613471985)","('val_acc', 0.9159375)","('val_f1', 0.9076545788698605)","('val_prec', 0.9233072835573134)","('val_reca', 0.9159375)","('val_roc', 0.9981477822580644)","('pytorch_total_params', 796448)","('train_time', 482.8944482803345)","('best_epoch', 264)","('train_samples', '867/2400 v14 27.0-28.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.594243791011065)","('test_acc', 0.9369155067420618)","('test_f1', 0.9337195628144822)","('test_prec', 0.9496593294593972)","('test_reca', 0.9369155067420618)","('test_roc', 0.9984708344694766)","('mean_train_loss', 2.5180411338806152)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5971857261657716)","('val_acc', 0.935625)","('val_f1', 0.9321013169711361)","('val_prec', 0.9488589934655651)","('val_reca', 0.935625)","('val_roc', 0.9980588709677419)","('pytorch_total_params', 2903584)","('train_time', 541.9250645637512)","('best_epoch', 280)","('train_samples', '1467/2400 v24 27.0-28.0')"
