eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.6331077791016315)","('test_acc', 0.9061967971908916)","('test_f1', 0.8997317620065601)","('test_prec', 0.9172870154431675)","('test_reca', 0.9061967971908917)","('test_roc', 0.9965090497657256)","('mean_train_loss', 2.518369674682617)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.634947633743286)","('val_acc', 0.9015625)","('val_f1', 0.8950594916524179)","('val_prec', 0.9129108999779213)","('val_reca', 0.9015625)","('val_roc', 0.996197379032258)","('pytorch_total_params', 4197)","('train_time', 2311.2616019248962)","('best_epoch', 905)","('train_samples', '3799/4800 v31 39.5-40.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.6933446934081617)","('test_acc', 0.8512515960842733)","('test_f1', 0.8272497798897671)","('test_prec', 0.8321142140799237)","('test_reca', 0.8512515960842733)","('test_roc', 0.9886067810850012)","('mean_train_loss', 2.5181949138641357)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6979810905456545)","('val_acc', 0.8475)","('val_f1', 0.82219312977442)","('val_prec', 0.8328564502582656)","('val_reca', 0.8475)","('val_roc', 0.9874979838709677)","('pytorch_total_params', 8357)","('train_time', 3050.721521615982)","('best_epoch', 1228)","('train_samples', '1286/4800 v10 43.0-43.5')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.796493719678961)","('test_acc', 0.8045594807405831)","('test_f1', 0.8125810377843232)","('test_prec', 0.88320335764557)","('test_reca', 0.8045594807405831)","('test_roc', 0.9932161576567493)","('mean_train_loss', 2.5261693000793457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7943955564498903)","('val_acc', 0.8090625)","('val_f1', 0.8163510358278744)","('val_prec', 0.8871015674879303)","('val_reca', 0.8090625)","('val_roc', 0.994088306451613)","('pytorch_total_params', 16677)","('train_time', 1171.6263875961304)","('best_epoch', 399)","('train_samples', '1973/4800 v16 26.5-27.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.7096822186717837)","('test_acc', 0.821192008938072)","('test_f1', 0.8052843734563204)","('test_prec', 0.8117769036485961)","('test_reca', 0.821192008938072)","('test_roc', 0.9896602213995151)","('mean_train_loss', 2.5180575847625732)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7091355609893797)","('val_acc', 0.824375)","('val_f1', 0.8096346808316732)","('val_prec', 0.820518663039538)","('val_reca', 0.8243750000000001)","('val_roc', 0.989501310483871)","('pytorch_total_params', 33317)","('train_time', 5905.695330858231)","('best_epoch', 2571)","('train_samples', '3174/4800 v26 27.0-27.5')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.829855117779586)","('test_acc', 0.7033810385188338)","('test_f1', 0.6883034509741628)","('test_prec', 0.7137437771886732)","('test_reca', 0.7033810385188337)","('test_roc', 0.9669696280818786)","('mean_train_loss', 2.518045425415039)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.834660782814026)","('val_acc', 0.6953125)","('val_f1', 0.6779982993773097)","('val_prec', 0.6982730055733555)","('val_reca', 0.6953125)","('val_roc', 0.9667958669354839)","('pytorch_total_params', 66597)","('train_time', 7379.279326200485)","('best_epoch', 3266)","('train_samples', '4327/4800 v36 3.5-4.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 2048)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.620587536669153)","('test_acc', 0.9129469035965099)","('test_f1', 0.9034274779434559)","('test_prec', 0.9179531264467352)","('test_reca', 0.9129469035965099)","('test_roc', 0.9965262242430987)","('mean_train_loss', 2.5180492401123047)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6199502539634705)","('val_acc', 0.915625)","('val_f1', 0.9068162893757828)","('val_prec', 0.9254662598862577)","('val_reca', 0.915625)","('val_roc', 0.9961179435483871)","('pytorch_total_params', 133157)","('train_time', 4252.884668111801)","('best_epoch', 2004)","('train_samples', '3352/4800 v27 56.0-56.5')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 2.6160252898132206)","('test_acc', 0.9345333120476799)","('test_f1', 0.9346725841352324)","('test_prec', 0.9486640862470022)","('test_reca', 0.93453331204768)","('test_roc', 0.9983069417658703)","('mean_train_loss', 2.522197961807251)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.617679281234741)","('val_acc', 0.9334375)","('val_f1', 0.9330494168318436)","('val_prec', 0.9456450463940704)","('val_reca', 0.9334375)","('val_roc', 0.9982925403225806)","('pytorch_total_params', 4197)","('train_time', 1186.1374323368073)","('best_epoch', 544)","('train_samples', '1535/4800 v12 47.5-48.0\n2618/4800 v21 49.0-49.5')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 2.6487943343580302)","('test_acc', 0.8965251170710941)","('test_f1', 0.8929908270952869)","('test_prec', 0.9139611773912664)","('test_reca', 0.8965251170710941)","('test_roc', 0.9965546260680995)","('mean_train_loss', 2.5190011262893677)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.647554841041565)","('val_acc', 0.898125)","('val_f1', 0.8938398122355773)","('val_prec', 0.9142740017170738)","('val_reca', 0.898125)","('val_roc', 0.996711995967742)","('pytorch_total_params', 8357)","('train_time', 1272.6451387405396)","('best_epoch', 629)","('train_samples', '1100/4800 v9 10.0-10.5\n2172/4800 v18 6.0-6.5')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 2.719114584991809)","('test_acc', 0.8137505321413367)","('test_f1', 0.8041381723935557)","('test_prec', 0.8311687979802942)","('test_reca', 0.8137505321413367)","('test_roc', 0.991272962165595)","('mean_train_loss', 2.5180829763412476)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7199062943458556)","('val_acc', 0.8128125)","('val_f1', 0.8018377645599122)","('val_prec', 0.830259626719597)","('val_reca', 0.8128124999999999)","('val_roc', 0.9910090725806452)","('pytorch_total_params', 16677)","('train_time', 2290.44127202034)","('best_epoch', 1153)","('train_samples', '792/4800 v6 36.0-36.5\n979/4800 v8 9.5-10.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 2.5776519084189893)","('test_acc', 0.9549874946785867)","('test_f1', 0.9526504831531479)","('test_prec', 0.9549695264740405)","('test_reca', 0.9549874946785867)","('test_roc', 0.9990549917321185)","('mean_train_loss', 2.5181450843811035)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5825201416015626)","('val_acc', 0.948125)","('val_f1', 0.9454593785440294)","('val_prec', 0.9484482802241769)","('val_reca', 0.948125)","('val_roc', 0.9989680443548388)","('pytorch_total_params', 33317)","('train_time', 1467.70055103302)","('best_epoch', 657)","('train_samples', '1529/4800 v12 44.5-45.0\n2425/4800 v20 12.5-13.0')"
