eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.3213747554851305)","('test_acc', 0.20541604596722707)","('test_f1', 0.22746134848655553)","('test_prec', 0.3181771083106798)","('test_reca', 0.20541604596722707)","('test_roc', 0.58447110824554)","('mean_train_loss', 2.5501773357391357)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 0.9929435483870968)","('mean_val_loss', 3.3200634241104128)","('val_acc', 0.205)","('val_f1', 0.22369636330520776)","('val_prec', 0.3140012474674059)","('val_reca', 0.20500000000000002)","('val_roc', 0.5826787298387097)","('pytorch_total_params', 4257)","('train_time', 1380.7878806591034)","('best_epoch', 588)","('train_samples', '4112/4800 v34 16.0-16.5')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.2916592419160176)","('test_acc', 0.2363734305171313)","('test_f1', 0.2627839427972922)","('test_prec', 0.35714202752665886)","('test_reca', 0.23637343051713133)","('test_roc', 0.5838373908075427)","('mean_train_loss', 2.518213987350464)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3003420662879943)","('val_acc', 0.2271875)","('val_f1', 0.24782365651852578)","('val_prec', 0.34114351536168563)","('val_reca', 0.2271875)","('val_roc', 0.5776896169354839)","('pytorch_total_params', 8417)","('train_time', 2343.7169740200043)","('best_epoch', 894)","('train_samples', '1584/4800 v13 12.0-12.5')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.31623802877127)","('test_acc', 0.2083555011704618)","('test_f1', 0.22884764318371448)","('test_prec', 0.30130612250580296)","('test_reca', 0.2083555011704618)","('test_roc', 0.5930876365724609)","('mean_train_loss', 2.518106460571289)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3084273505210877)","('val_acc', 0.22)","('val_f1', 0.24166210175470243)","('val_prec', 0.31485716670161257)","('val_reca', 0.22000000000000003)","('val_roc', 0.5972742943548387)","('pytorch_total_params', 16737)","('train_time', 2692.387162208557)","('best_epoch', 1107)","('train_samples', '2021/4800 v16 50.499999999999886-50.999999999999886')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.3206500600160096)","('test_acc', 0.20367365396892956)","('test_f1', 0.22232012369853454)","('test_prec', 0.33026503169370724)","('test_reca', 0.20367365396892956)","('test_roc', 0.5698868832681054)","('mean_train_loss', 2.518061399459839)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.324325544834137)","('val_acc', 0.198125)","('val_f1', 0.21878916374674348)","('val_prec', 0.3302451222186084)","('val_reca', 0.198125)","('val_roc', 0.5732441532258065)","('pytorch_total_params', 33377)","('train_time', 3724.5790927410126)","('best_epoch', 1525)","('train_samples', '2098/4800 v17 29.0-29.5')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.317994610962398)","('test_acc', 0.20560890615024474)","('test_f1', 0.22497991612185658)","('test_prec', 0.30533195313470446)","('test_reca', 0.20560890615024474)","('test_roc', 0.5871283815704957)","('mean_train_loss', 2.5180485248565674)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3127064967155455)","('val_acc', 0.2153125)","('val_f1', 0.23406156226391545)","('val_prec', 0.31303718041539597)","('val_reca', 0.21531250000000002)","('val_roc', 0.5932115423387097)","('pytorch_total_params', 66657)","('train_time', 5220.267152070999)","('best_epoch', 2156)","('train_samples', '4308/4800 v35 54.0-54.5')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 2048)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.3379152419846676)","('test_acc', 0.18231272611193872)","('test_f1', 0.20531821968011832)","('test_prec', 0.2951116900044831)","('test_reca', 0.18231272611193872)","('test_roc', 0.5757498935788594)","('mean_train_loss', 2.5180790424346924)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3320847392082213)","('val_acc', 0.190625)","('val_f1', 0.21484625417726508)","('val_prec', 0.31030131497619845)","('val_reca', 0.190625)","('val_roc', 0.5842040322580644)","('pytorch_total_params', 133217)","('train_time', 2048.936677455902)","('best_epoch', 852)","('train_samples', '4443/4800 v37 1.5-2.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 3.224003135168385)","('test_acc', 0.31071067475521497)","('test_f1', 0.33294650046502944)","('test_prec', 0.43186914011699373)","('test_reca', 0.31071067475521497)","('test_roc', 0.6566537004158844)","('mean_train_loss', 2.671220302581787)","('train_acc', 0.859375)","('train_f1', 0.8541666666666666)","('train_prec', 0.9166666666666666)","('train_reca', 0.859375)","('train_roc', 0.9526209677419355)","('mean_val_loss', 3.2242722511291504)","('val_acc', 0.3134375)","('val_f1', 0.3358759583555295)","('val_prec', 0.44253018823009294)","('val_reca', 0.31343750000000004)","('val_roc', 0.6550654737903225)","('pytorch_total_params', 4257)","('train_time', 1042.4122786521912)","('best_epoch', 406)","('train_samples', '3179/4800 v26 29.5-30.0\n120/4800 v1 0.0-0.5')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 3.30152401745497)","('test_acc', 0.22506917837377607)","('test_f1', 0.23521489598489992)","('test_prec', 0.30621197919190424)","('test_reca', 0.22506917837377607)","('test_roc', 0.604211928029946)","('mean_train_loss', 2.642248511314392)","('train_acc', 0.875)","('train_f1', 0.8583333333333333)","('train_prec', 0.890625)","('train_reca', 0.875)","('train_roc', 0.9800907258064516)","('mean_val_loss', 3.2954148340225218)","('val_acc', 0.23125)","('val_f1', 0.2395031613628351)","('val_prec', 0.3058436237883423)","('val_reca', 0.23125)","('val_roc', 0.6108015625000001)","('pytorch_total_params', 8417)","('train_time', 885.6115026473999)","('best_epoch', 358)","('train_samples', '2406/4800 v20 3.0-3.5\n593/4800 v4 56.5-57.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 3.2915392815178635)","('test_acc', 0.23145487441464452)","('test_f1', 0.24824038167883028)","('test_prec', 0.309790069336364)","('test_reca', 0.23145487441464455)","('test_roc', 0.6125768897334254)","('mean_train_loss', 2.5952330827713013)","('train_acc', 0.921875)","('train_f1', 0.9166666666666667)","('train_prec', 0.9479166666666666)","('train_reca', 0.921875)","('train_roc', 0.9800907258064516)","('mean_val_loss', 3.2980839252471923)","('val_acc', 0.221875)","('val_f1', 0.23513844866042488)","('val_prec', 0.2918874008373623)","('val_reca', 0.221875)","('val_roc', 0.607111995967742)","('pytorch_total_params', 16737)","('train_time', 1269.475495815277)","('best_epoch', 530)","('train_samples', '3868/4800 v32 14.0-14.5\n4093/4800 v34 6.5-7.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 3.2854731718800636)","('test_acc', 0.23766097275436357)","('test_f1', 0.24465795838373988)","('test_prec', 0.32666138646247067)","('test_reca', 0.2376609727543636)","('test_roc', 0.6130054663811229)","('mean_train_loss', 2.5491515398025513)","('train_acc', 0.96875)","('train_f1', 0.9666666666666666)","('train_prec', 0.9791666666666666)","('train_reca', 0.96875)","('train_roc', 0.9899193548387097)","('mean_val_loss', 3.2960577249526977)","('val_acc', 0.229375)","('val_f1', 0.23920538112208456)","('val_prec', 0.3309372866154885)","('val_reca', 0.229375)","('val_roc', 0.6052180443548387)","('pytorch_total_params', 33377)","('train_time', 1047.2289865016937)","('best_epoch', 461)","('train_samples', '1666/4800 v13 53.0-53.5\n2380/4800 v19 50.0-50.5')"
