eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.981779471331443)","('test_acc', 0.5488663549369291)","('test_f1', 0.5064140387943369)","('test_prec', 0.4891791618040245)","('test_reca', 0.548866354936929)","('test_roc', 0.8506141234905904)","('mean_train_loss', 2.6739649772644043)","('train_acc', 0.84375)","('train_f1', 0.8020833333333333)","('train_prec', 0.7864583333333333)","('train_reca', 0.84375)","('train_roc', 0.9747983870967742)","('mean_val_loss', 2.986263084411621)","('val_acc', 0.5434375)","('val_f1', 0.5017253126490979)","('val_prec', 0.4837585786783428)","('val_reca', 0.5434375)","('val_roc', 0.8432505544354838)","('pytorch_total_params', 20773)","('train_time', 854.5746521949768)","('best_epoch', 608)","('train_samples', '2363/2400 v39 23.0-24.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.1151052848729637)","('test_acc', 0.40986570247933884)","('test_f1', 0.3192542354225961)","('test_prec', 0.29876099857159955)","('test_reca', 0.40986570247933884)","('test_roc', 0.832259830240335)","('mean_train_loss', 2.79642653465271)","('train_acc', 0.71875)","('train_f1', 0.6375)","('train_prec', 0.6015625)","('train_reca', 0.71875)","('train_roc', 0.9768145161290323)","('mean_val_loss', 3.1178168654441833)","('val_acc', 0.405625)","('val_f1', 0.3141190846064774)","('val_prec', 0.2931175469446729)","('val_reca', 0.405625)","('val_roc', 0.8272592741935484)","('pytorch_total_params', 74277)","('train_time', 710.2603771686554)","('best_epoch', 497)","('train_samples', '1975/2400 v32 54.99999999999977-55.99999999999977')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8578429374553784)","('test_acc', 0.6718274249673771)","('test_f1', 0.6365400792336964)","('test_prec', 0.6304353330221945)","('test_reca', 0.6718274249673771)","('test_roc', 0.9437016287426563)","('mean_train_loss', 2.5802605152130127)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 1.0)","('mean_val_loss', 2.8594026255607603)","('val_acc', 0.6721875)","('val_f1', 0.6377119841862966)","('val_prec', 0.631751379308271)","('val_reca', 0.6721874999999999)","('val_roc', 0.9402147177419354)","('pytorch_total_params', 279589)","('train_time', 445.12152647972107)","('best_epoch', 296)","('train_samples', '1332/2400 v22 12.0-13.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.644169063140849)","('test_acc', 0.8904007177033493)","('test_f1', 0.8767855482285579)","('test_prec', 0.876052358323379)","('test_reca', 0.8904007177033493)","('test_roc', 0.9969259946773288)","('mean_train_loss', 2.5490353107452393)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.6420553636550905)","('val_acc', 0.8921875)","('val_f1', 0.8784839595835139)","('val_prec', 0.8781739804846028)","('val_reca', 0.8921874999999999)","('val_roc', 0.9969774193548386)","('pytorch_total_params', 1083429)","('train_time', 200.61166644096375)","('best_epoch', 118)","('train_samples', '2272/2400 v37 52.0-53.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.649315175931316)","('test_acc', 0.8740213136146151)","('test_f1', 0.8503836834051468)","('test_prec', 0.8456241292815144)","('test_reca', 0.8740213136146151)","('test_roc', 0.9955375868084255)","('mean_train_loss', 2.5799224376678467)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.998991935483871)","('mean_val_loss', 2.652019455432892)","('val_acc', 0.87375)","('val_f1', 0.8504207106568809)","('val_prec', 0.8467370580146378)","('val_reca', 0.87375)","('val_roc', 0.9956488911290322)","('pytorch_total_params', 4263973)","('train_time', 434.746511220932)","('best_epoch', 291)","('train_samples', '2028/2400 v33 47.99999999999977-48.99999999999977')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.3613608246422064)","('test_acc', 0.15601892127011743)","('test_f1', 0.10876448119687702)","('test_prec', 0.11062384874254266)","('test_reca', 0.15601892127011746)","('test_roc', 0.6687591541143847)","('mean_train_loss', 2.9524126052856445)","('train_acc', 0.5625)","('train_f1', 0.4952651515151515)","('train_prec', 0.4770833333333333)","('train_reca', 0.5625)","('train_roc', 0.9243951612903226)","('mean_val_loss', 3.352803814411163)","('val_acc', 0.1653125)","('val_f1', 0.11567726113902965)","('val_prec', 0.11590403183658798)","('val_reca', 0.1653125)","('val_roc', 0.675182560483871)","('pytorch_total_params', 16916517)","('train_time', 231.60060024261475)","('best_epoch', 141)","('train_samples', '2146/2400 v35 46.0-47.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.465742702015383)","('test_acc', 0.03125)","('test_f1', 0.001896138771955291)","('test_prec', 0.0009777320359281437)","('test_reca', 0.03125)","('test_roc', 0.47763371515724284)","('mean_train_loss', 3.4657275676727295)","('train_acc', 0.03125)","('train_f1', 0.001893939393939394)","('train_prec', 0.0009765625)","('train_reca', 0.03125)","('train_roc', 0.4979838709677419)","('mean_val_loss', 3.4657451200485228)","('val_acc', 0.03125)","('val_f1', 0.0018956627236882016)","('val_prec', 0.0009774788864560526)","('val_reca', 0.03125)","('val_roc', 0.47825030241935484)","('pytorch_total_params', 20773)","('train_time', 42.533806562423706)","('best_epoch', 1)","('train_samples', '1776/2400 v29 36.0-37.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.2051944957706606)","('test_acc', 0.3248423227490213)","('test_f1', 0.298518676573756)","('test_prec', 0.3275790205471831)","('test_reca', 0.32484232274902136)","('test_roc', 0.7645528294474755)","('mean_train_loss', 2.5202431678771973)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.201454474925995)","('val_acc', 0.328125)","('val_f1', 0.30012186251877115)","('val_prec', 0.32602540618204967)","('val_reca', 0.328125)","('val_roc', 0.7659968750000001)","('pytorch_total_params', 74277)","('train_time', 567.6354029178619)","('best_epoch', 391)","('train_samples', '2196/2400 v36 36.0-37.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8498298157397017)","('test_acc', 0.6889408438451501)","('test_f1', 0.6186398759820116)","('test_prec', 0.6062593388194235)","('test_reca', 0.6889408438451501)","('test_roc', 0.9754057201047905)","('mean_train_loss', 2.703341007232666)","('train_acc', 0.8125)","('train_f1', 0.75)","('train_prec', 0.71875)","('train_reca', 0.8125)","('train_roc', 0.9909274193548387)","('mean_val_loss', 2.844304163455963)","('val_acc', 0.6940625)","('val_f1', 0.6249729342623382)","('val_prec', 0.609540505702943)","('val_reca', 0.6940625)","('val_roc', 0.9756446572580645)","('pytorch_total_params', 279589)","('train_time', 366.34688782691956)","('best_epoch', 242)","('train_samples', '637/2400 v10 37.0-38.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.9357564790500876)","('test_acc', 0.6101294040887343)","('test_f1', 0.5644571318454765)","('test_prec', 0.5787843409877409)","('test_reca', 0.6101294040887342)","('test_roc', 0.9335359749056731)","('mean_train_loss', 2.642625331878662)","('train_acc', 0.875)","('train_f1', 0.8458333333333333)","('train_prec', 0.8359375)","('train_reca', 0.875)","('train_roc', 0.998991935483871)","('mean_val_loss', 2.942041597366333)","('val_acc', 0.5990625)","('val_f1', 0.550609314393254)","('val_prec', 0.5710013938949144)","('val_reca', 0.5990624999999999)","('val_roc', 0.9341355846774193)","('pytorch_total_params', 1083429)","('train_time', 266.0356080532074)","('best_epoch', 167)","('train_samples', '2313/2400 v38 33.0-34.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.7234131829434762)","('test_acc', 0.8259705306655067)","('test_f1', 0.8062465966428456)","('test_prec', 0.8197277292562679)","('test_reca', 0.8259705306655067)","('test_roc', 0.9943915704039936)","('mean_train_loss', 2.5832808017730713)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 1.0)","('mean_val_loss', 2.7198487973213195)","('val_acc', 0.8284375)","('val_f1', 0.8091619521143096)","('val_prec', 0.8240647049272007)","('val_reca', 0.8284374999999999)","('val_roc', 0.9945617943548386)","('pytorch_total_params', 4263973)","('train_time', 203.36340594291687)","('best_epoch', 118)","('train_samples', '1/2400 v0 1.0-2.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.0538160547892805)","('test_acc', 0.4674450848194867)","('test_f1', 0.40659842719870964)","('test_prec', 0.40659158632831643)","('test_reca', 0.46744508481948677)","('test_roc', 0.8485654047842532)","('mean_train_loss', 2.7358551025390625)","('train_acc', 0.78125)","('train_f1', 0.7083333333333333)","('train_prec', 0.671875)","('train_reca', 0.78125)","('train_roc', 0.9808467741935485)","('mean_val_loss', 3.0538586568832398)","('val_acc', 0.4703125)","('val_f1', 0.4105585046576452)","('val_prec', 0.4176506774444291)","('val_reca', 0.47031249999999997)","('val_roc', 0.848313256048387)","('pytorch_total_params', 16916517)","('train_time', 324.7081115245819)","('best_epoch', 203)","('train_samples', '963/2400 v16 3.0-4.0')"
