eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.656533392578065)","('test_acc', 0.9039935841670291)","('test_f1', 0.89330286986383)","('test_prec', 0.9185514431022785)","('test_reca', 0.9039935841670291)","('test_roc', 0.9973863381400835)","('mean_train_loss', 2.5207600593566895)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6565652084350586)","('val_acc', 0.9028125)","('val_f1', 0.8905595815399614)","('val_prec', 0.9098589974557394)","('val_reca', 0.9028124999999999)","('val_roc', 0.9968706653225806)","('pytorch_total_params', 4197)","('train_time', 2323.110335826874)","('best_epoch', 959)","('train_samples', '1797/2400 v29 57.0-58.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8525363095380163)","('test_acc', 0.7631714876033058)","('test_f1', 0.7302877757333028)","('test_prec', 0.7747053837152087)","('test_reca', 0.7631714876033058)","('test_roc', 0.9900515650097376)","('mean_train_loss', 2.5794763565063477)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 1.0)","('mean_val_loss', 2.851525378227234)","('val_acc', 0.7646875)","('val_f1', 0.7325369206070609)","('val_prec', 0.7821732109176545)","('val_reca', 0.7646875)","('val_roc', 0.9904836693548387)","('pytorch_total_params', 8357)","('train_time', 1040.7063722610474)","('best_epoch', 425)","('train_samples', '1152/2400 v19 12.0-13.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.685311548914169)","('test_acc', 0.9218410178338408)","('test_f1', 0.9089516211779078)","('test_prec', 0.905826938629164)","('test_reca', 0.9218410178338409)","('test_roc', 0.9991460467459206)","('mean_train_loss', 2.573166847229004)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.6858109974861146)","('val_acc', 0.9209375)","('val_f1', 0.9075579274482931)","('val_prec', 0.9057085036618977)","('val_reca', 0.9209375)","('val_roc', 0.9988990927419354)","('pytorch_total_params', 16677)","('train_time', 1228.1923894882202)","('best_epoch', 464)","('train_samples', '370/2400 v6 10.0-11.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.465737597431085)","('test_acc', 0.03126359286646368)","('test_f1', 0.0019221213039370775)","('test_prec', 0.0033810196529348623)","('test_reca', 0.03126359286646368)","('test_roc', 0.4962798102629391)","('mean_train_loss', 3.4657552242279053)","('train_acc', 0.03125)","('train_f1', 0.001893939393939394)","('train_prec', 0.0009765625)","('train_reca', 0.03125)","('train_roc', 0.46169354838709675)","('mean_val_loss', 3.465740239620209)","('val_acc', 0.03125)","('val_f1', 0.001894513488936041)","('val_prec', 0.0009768677711784932)","('val_reca', 0.03125)","('val_roc', 0.487099747983871)","('pytorch_total_params', 33317)","('train_time', 82.28192377090454)","('best_epoch', 1)","('train_samples', '1139/2400 v18 59.0-60.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6728492724786586)","('test_acc', 0.8755980861244019)","('test_f1', 0.8670134912305523)","('test_prec', 0.8907795338806379)","('test_reca', 0.8755980861244019)","('test_roc', 0.9950466548663799)","('mean_train_loss', 2.518768072128296)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.67505291223526)","('val_acc', 0.8721875)","('val_f1', 0.8610777520624652)","('val_prec', 0.8915171561890267)","('val_reca', 0.8721875)","('val_roc', 0.9952719758064517)","('pytorch_total_params', 66597)","('train_time', 1679.0287692546844)","('best_epoch', 640)","('train_samples', '940/2400 v15 40.0-41.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.593407066141123)","('test_acc', 0.9384379077859939)","('test_f1', 0.9353975172178675)","('test_prec', 0.9419066599102013)","('test_reca', 0.9384379077859939)","('test_roc', 0.9989091747073228)","('mean_train_loss', 2.518068790435791)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.596221001148224)","('val_acc', 0.9353125)","('val_f1', 0.9310074036427765)","('val_prec', 0.9392354309539462)","('val_reca', 0.9353125)","('val_roc', 0.9988272177419355)","('pytorch_total_params', 133157)","('train_time', 3137.912977695465)","('best_epoch', 1356)","('train_samples', '1179/2400 v19 39.0-40.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.6332234372461847)","('test_acc', 0.8960645126196692)","('test_f1', 0.8912659140574029)","('test_prec', 0.8940674926691428)","('test_reca', 0.8960645126196694)","('test_roc', 0.9952406266083053)","('mean_train_loss', 2.518095374107361)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6371309638023375)","('val_acc', 0.891875)","('val_f1', 0.8859184345150672)","('val_prec', 0.8904538710159388)","('val_reca', 0.891875)","('val_roc', 0.9948302419354839)","('pytorch_total_params', 4197)","('train_time', 2615.7116491794586)","('best_epoch', 1076)","('train_samples', '2201/2400 v36 41.0-42.0\n371/2400 v6 11.0-12.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.5900044567798717)","('test_acc', 0.9389278720626631)","('test_f1', 0.9362991830998405)","('test_prec', 0.9386403184539818)","('test_reca', 0.9389278720626633)","('test_roc', 0.9980163691311754)","('mean_train_loss', 2.518180251121521)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5888975167274477)","('val_acc', 0.9384375)","('val_f1', 0.9359500303037127)","('val_prec', 0.9396013897004905)","('val_reca', 0.9384375)","('val_roc', 0.9979537298387097)","('pytorch_total_params', 8357)","('train_time', 1883.8864207267761)","('best_epoch', 772)","('train_samples', '1481/2400 v24 41.0-42.0\n1327/2400 v22 7.0-8.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.5894103900985783)","('test_acc', 0.9492901436031331)","('test_f1', 0.9489588741247885)","('test_prec', 0.9541088117962052)","('test_reca', 0.9492901436031331)","('test_roc', 0.9989804549380872)","('mean_train_loss', 2.51849365234375)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5865201497077943)","('val_acc', 0.9525)","('val_f1', 0.9519567285739267)","('val_prec', 0.956314437417087)","('val_reca', 0.9524999999999999)","('val_roc', 0.9990439516129033)","('pytorch_total_params', 16677)","('train_time', 1332.1404027938843)","('best_epoch', 551)","('train_samples', '1402/2400 v23 22.0-23.0\n1432/2400 v23 52.0-53.0')"
"('eeg_feature', 'psd')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.6065492610292296)","('test_acc', 0.9312717580504787)","('test_f1', 0.9280617215124786)","('test_prec', 0.9387113949729481)","('test_reca', 0.9312717580504786)","('test_roc', 0.9985412244876947)","('mean_train_loss', 2.51864492893219)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6049448227882386)","('val_acc', 0.93125)","('val_f1', 0.9282194526877374)","('val_prec', 0.9386333238150597)","('val_reca', 0.9312499999999999)","('val_roc', 0.9988576612903226)","('pytorch_total_params', 33317)","('train_time', 1060.5224120616913)","('best_epoch', 444)","('train_samples', '2071/2400 v34 31.0-32.0\n2371/2400 v39 31.0-32.0')"
