eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.3096101901073878)","('test_acc', 0.21774412788168768)","('test_f1', 0.23585523834277983)","('test_prec', 0.3106413835769832)","('test_reca', 0.21774412788168768)","('test_roc', 0.5864419863294958)","('mean_train_loss', 2.518580913543701)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3014903330802916)","('val_acc', 0.2246875)","('val_f1', 0.23995707136207922)","('val_prec', 0.31543222604093446)","('val_reca', 0.2246875)","('val_roc', 0.5938850806451613)","('pytorch_total_params', 4321)","('train_time', 1541.3853027820587)","('best_epoch', 636)","('train_samples', '1272/2400 v21 12.0-13.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.303829555772812)","('test_acc', 0.22788440626359285)","('test_f1', 0.247775015706596)","('test_prec', 0.3123279621026892)","('test_reca', 0.22788440626359285)","('test_roc', 0.5851117246842887)","('mean_train_loss', 2.518103837966919)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.312823100090027)","('val_acc', 0.2171875)","('val_f1', 0.23444877084572235)","('val_prec', 0.29485706708649684)","('val_reca', 0.21718749999999998)","('val_roc', 0.5844829637096774)","('pytorch_total_params', 8481)","('train_time', 2594.7579941749573)","('best_epoch', 1052)","('train_samples', '636/2400 v10 36.0-37.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.278897937145789)","('test_acc', 0.26015387124836886)","('test_f1', 0.2921201353627049)","('test_prec', 0.4494862415088925)","('test_reca', 0.26015387124836886)","('test_roc', 0.6156893497463503)","('mean_train_loss', 2.5180721282958984)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.2729907536506655)","('val_acc', 0.261875)","('val_f1', 0.29553459202147103)","('val_prec', 0.4517514485369047)","('val_reca', 0.26187499999999997)","('val_roc', 0.6219231350806451)","('pytorch_total_params', 16801)","('train_time', 2787.388768196106)","('best_epoch', 1159)","('train_samples', '354/2400 v5 54.0-55.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.3087819012521194)","('test_acc', 0.21641202696824707)","('test_f1', 0.24977669341669223)","('test_prec', 0.3827539644386482)","('test_reca', 0.21641202696824707)","('test_roc', 0.5815817160645625)","('mean_train_loss', 2.5180556774139404)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.309890284538269)","('val_acc', 0.2134375)","('val_f1', 0.24444265972004497)","('val_prec', 0.3721567942043078)","('val_reca', 0.2134375)","('val_roc', 0.582576814516129)","('pytorch_total_params', 33441)","('train_time', 3843.4015412330627)","('best_epoch', 1636)","('train_samples', '2/2400 v0 2.0-3.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.3057097154578314)","('test_acc', 0.22107438016528927)","('test_f1', 0.2512461820560129)","('test_prec', 0.3644148916808847)","('test_reca', 0.22107438016528924)","('test_roc', 0.5838948632188197)","('mean_train_loss', 2.5180506706237793)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3095932054519652)","('val_acc', 0.215625)","('val_f1', 0.24004477282737124)","('val_prec', 0.34869465144722545)","('val_reca', 0.215625)","('val_roc', 0.5820903225806452)","('pytorch_total_params', 66721)","('train_time', 3477.830014705658)","('best_epoch', 1487)","('train_samples', '247/2400 v4 6.999999999999972-7.999999999999972')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.3143480190146017)","('test_acc', 0.21037679425837322)","('test_f1', 0.2530537390171999)","('test_prec', 0.4024264317700952)","('test_reca', 0.2103767942583732)","('test_roc', 0.5913600923158508)","('mean_train_loss', 2.5180439949035645)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.31597127199173)","('val_acc', 0.2103125)","('val_f1', 0.2516786833164787)","('val_prec', 0.3986340146430807)","('val_reca', 0.2103125)","('val_roc', 0.58865)","('pytorch_total_params', 133281)","('train_time', 3887.083519220352)","('best_epoch', 1594)","('train_samples', '1192/2400 v19 52.0-53.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.2699818602844983)","('test_acc', 0.25645942123585724)","('test_f1', 0.2761075854524708)","('test_prec', 0.37272643668303523)","('test_reca', 0.2564594212358573)","('test_roc', 0.6140137292082919)","('mean_train_loss', 2.626239061355591)","('train_acc', 0.890625)","('train_f1', 0.8885416666666666)","('train_prec', 0.9322916666666666)","('train_reca', 0.890625)","('train_roc', 0.9639616935483871)","('mean_val_loss', 3.281958665847778)","('val_acc', 0.2459375)","('val_f1', 0.2687263799187175)","('val_prec', 0.36288487692287164)","('val_reca', 0.24593749999999998)","('val_roc', 0.6113057459677419)","('pytorch_total_params', 4321)","('train_time', 1519.3035972118378)","('best_epoch', 581)","('train_samples', '1046/2400 v17 26.0-27.0\n2042/2400 v34 2.0-3.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.29447035181512)","('test_acc', 0.22979221061792862)","('test_f1', 0.26296803656890844)","('test_prec', 0.372244274668541)","('test_reca', 0.22979221061792865)","('test_roc', 0.6061338274482813)","('mean_train_loss', 2.6269906759262085)","('train_acc', 0.890625)","('train_f1', 0.8875)","('train_prec', 0.9375)","('train_reca', 0.890625)","('train_roc', 0.9644657258064516)","('mean_val_loss', 3.3005100893974304)","('val_acc', 0.2234375)","('val_f1', 0.2540694526624484)","('val_prec', 0.3702338329485088)","('val_reca', 0.2234375)","('val_roc', 0.6017110887096773)","('pytorch_total_params', 8481)","('train_time', 824.1286561489105)","('best_epoch', 339)","('train_samples', '964/2400 v16 4.0-5.0\n803/2400 v13 23.0-24.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.244072454093953)","('test_acc', 0.29406005221932113)","('test_f1', 0.3128833895721358)","('test_prec', 0.4296459627283651)","('test_reca', 0.29406005221932113)","('test_roc', 0.6508170557914923)","('mean_train_loss', 2.5957891941070557)","('train_acc', 0.921875)","('train_f1', 0.9166666666666666)","('train_prec', 0.9479166666666666)","('train_reca', 0.921875)","('train_roc', 0.9758064516129032)","('mean_val_loss', 3.239802243709564)","('val_acc', 0.2990625)","('val_f1', 0.31807768834736905)","('val_prec', 0.4481112941200067)","('val_reca', 0.2990625)","('val_roc', 0.6566067540322582)","('pytorch_total_params', 16801)","('train_time', 619.899985074997)","('best_epoch', 259)","('train_samples', '1587/2400 v26 27.0-28.0\n1122/2400 v18 42.0-43.0')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.2894158330142136)","('test_acc', 0.2393521540469974)","('test_f1', 0.2639938429991658)","('test_prec', 0.4242203120526711)","('test_reca', 0.2393521540469974)","('test_roc', 0.6158691540793239)","('mean_train_loss', 2.632349967956543)","('train_acc', 0.890625)","('train_f1', 0.8875)","('train_prec', 0.9270833333333333)","('train_reca', 0.890625)","('train_roc', 0.9742943548387097)","('mean_val_loss', 3.2861955976486206)","('val_acc', 0.2434375)","('val_f1', 0.2670728902598419)","('val_prec', 0.42807844594304323)","('val_reca', 0.24343750000000003)","('val_roc', 0.6283096774193548)","('pytorch_total_params', 33441)","('train_time', 501.0198061466217)","('best_epoch', 206)","('train_samples', '141/2400 v2 21.0-22.0\n9/2400 v0 9.0-10.0')"
