eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.639805608544468)","('test_acc', 0.9014381252718573)","('test_f1', 0.8938848737292138)","('test_prec', 0.9029067216306822)","('test_reca', 0.9014381252718573)","('test_roc', 0.9951422223359425)","('mean_train_loss', 2.518397808074951)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6403098249435426)","('val_acc', 0.90375)","('val_f1', 0.8961011834476007)","('val_prec', 0.9039423887823194)","('val_reca', 0.9037499999999999)","('val_roc', 0.9952935483870968)","('pytorch_total_params', 4197)","('train_time', 2604.239186525345)","('best_epoch', 1016)","('train_samples', '2377/2400 v39 37.0-38.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6685730608300884)","('test_acc', 0.869861896476729)","('test_f1', 0.8588659820731459)","('test_prec', 0.8891241112928923)","('test_reca', 0.8698618964767291)","('test_roc', 0.9933850459066703)","('mean_train_loss', 2.5184214115142822)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6681399154663086)","('val_acc', 0.87125)","('val_f1', 0.8611036673125703)","('val_prec', 0.8890349169195886)","('val_reca', 0.87125)","('val_roc', 0.9936099798387097)","('pytorch_total_params', 8357)","('train_time', 2246.5224437713623)","('best_epoch', 917)","('train_samples', '206/2400 v3 26.0-27.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.702628576739968)","('test_acc', 0.8755437146585472)","('test_f1', 0.8808718574438138)","('test_prec', 0.9260017901826252)","('test_reca', 0.8755437146585472)","('test_roc', 0.9974640016632302)","('mean_train_loss', 2.524836778640747)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.693868236541748)","('val_acc', 0.88375)","('val_f1', 0.8886992920593811)","('val_prec', 0.9334269158909471)","('val_reca', 0.88375)","('val_roc', 0.9975421370967742)","('pytorch_total_params', 16677)","('train_time', 1211.3588576316833)","('best_epoch', 475)","('train_samples', '642/2400 v10 42.0-43.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6903372096102776)","('test_acc', 0.841371248368856)","('test_f1', 0.8306238045066674)","('test_prec', 0.848131317714949)","('test_reca', 0.841371248368856)","('test_roc', 0.9930952307508257)","('mean_train_loss', 2.518047571182251)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6916948485374452)","('val_acc', 0.8421875)","('val_f1', 0.8321265473582343)","('val_prec', 0.8498980368910066)","('val_reca', 0.8421875)","('val_roc', 0.9932555443548388)","('pytorch_total_params', 33317)","('train_time', 8889.160216331482)","('best_epoch', 3610)","('train_samples', '2379/2400 v39 39.0-40.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.256138393183074)","('test_acc', 0.27278164419312745)","('test_f1', 0.2387675471704689)","('test_prec', 0.4114988468810624)","('test_reca', 0.27278164419312745)","('test_roc', 0.6801648016455626)","('mean_train_loss', 2.5204741954803467)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.2500370383262633)","('val_acc', 0.2778125)","('val_f1', 0.24225626874137912)","('val_prec', 0.4099415455962258)","('val_reca', 0.2778125)","('val_roc', 0.691039818548387)","('pytorch_total_params', 66597)","('train_time', 1302.2098076343536)","('best_epoch', 534)","('train_samples', '1450/2400 v24 10.0-11.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.653104136020217)","('test_acc', 0.8915289256198347)","('test_f1', 0.8947968620231523)","('test_prec', 0.925650478539303)","('test_reca', 0.8915289256198347)","('test_roc', 0.9968842643541356)","('mean_train_loss', 2.5181941986083984)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.65353511095047)","('val_acc', 0.8925)","('val_f1', 0.8949791814839458)","('val_prec', 0.9276282126326432)","('val_reca', 0.8925)","('val_roc', 0.9967944556451612)","('pytorch_total_params', 133157)","('train_time', 1783.3325247764587)","('best_epoch', 753)","('train_samples', '13/2400 v0 13.0-14.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.6497265634794043)","('test_acc', 0.8823433420365535)","('test_f1', 0.8760848101669249)","('test_prec', 0.8837485679684454)","('test_reca', 0.8823433420365535)","('test_roc', 0.9910306399442816)","('mean_train_loss', 2.51813280582428)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6494902324676515)","('val_acc', 0.8825)","('val_f1', 0.8761324674567619)","('val_prec', 0.8815373599363736)","('val_reca', 0.8825000000000001)","('val_roc', 0.9908015120967741)","('pytorch_total_params', 4197)","('train_time', 2127.897230863571)","('best_epoch', 883)","('train_samples', '2161/2400 v36 1.0-2.0\n1901/2400 v31 41.0-42.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.589728902068939)","('test_acc', 0.9418516100957354)","('test_f1', 0.9414688656519992)","('test_prec', 0.9457925933119739)","('test_reca', 0.9418516100957355)","('test_roc', 0.9987707585692414)","('mean_train_loss', 2.518159031867981)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5859731340408327)","('val_acc', 0.9453125)","('val_f1', 0.9448344979924914)","('val_prec', 0.9497852651951106)","('val_reca', 0.9453125)","('val_roc', 0.9988331653225806)","('pytorch_total_params', 8357)","('train_time', 1769.2489006519318)","('best_epoch', 799)","('train_samples', '1103/2400 v18 23.0-24.0\n1629/2400 v27 9.0-10.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.643498429741623)","('test_acc', 0.8955069625761531)","('test_f1', 0.8862443148276749)","('test_prec', 0.9098805333118166)","('test_reca', 0.8955069625761531)","('test_roc', 0.9958455105785333)","('mean_train_loss', 2.5343902111053467)","('train_acc', 0.984375)","('train_f1', 0.9833333333333333)","('train_prec', 0.9895833333333333)","('train_reca', 0.984375)","('train_roc', 0.9992439516129032)","('mean_val_loss', 2.6439549112319947)","('val_acc', 0.8978125)","('val_f1', 0.8881390545717557)","('val_prec', 0.9110076620903604)","('val_reca', 0.8978125000000001)","('val_roc', 0.9960502016129033)","('pytorch_total_params', 16677)","('train_time', 1189.8977665901184)","('best_epoch', 554)","('train_samples', '2256/2400 v37 36.0-37.0\n387/2400 v6 27.0-28.0')"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.5631758017162327)","('test_acc', 0.9657446692776327)","('test_f1', 0.9648860680898029)","('test_prec', 0.9663087639198787)","('test_reca', 0.9657446692776327)","('test_roc', 0.999660164753963)","('mean_train_loss', 2.5180641412734985)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5581268572807314)","('val_acc', 0.970625)","('val_f1', 0.9700450286977891)","('val_prec', 0.971405952198487)","('val_reca', 0.9706250000000001)","('val_roc', 0.9997099798387097)","('pytorch_total_params', 33317)","('train_time', 2796.9286324977875)","('best_epoch', 1300)","('train_samples', '227/2400 v3 47.0-48.0\n99/2400 v1 39.0-40.0')"
