eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 32)","('number_val_samples', 100)","('number_test_samples', 2268)","('mean_test_loss', 2.801880089063493)","('test_acc', 0.7208581349206349)","('test_f1', 0.7121955699823248)","('test_prec', 0.7279199898662821)","('test_reca', 0.7208581349206349)","('test_roc', 0.9343334071754097)","('mean_train_loss', 2.602042555809021)","('train_acc', 0.9150390625)","('train_f1', 0.908302364140817)","('train_prec', 0.918995528663268)","('train_reca', 0.9150390625)","('train_roc', 0.9636314145980343)","('mean_val_loss', 2.8010444140434263)","('val_acc', 0.7221875)","('val_f1', 0.7120854270052173)","('val_prec', 0.7277718080916815)","('val_reca', 0.7221875)","('val_roc', 0.9350173891129032)","('pytorch_total_params', 66721)","('train_time', 1574.2219951152802)","('best_epoch', 563)","('experiment_id', '48')","('train_samples', '1976 1988 2165 578 1202 1185 1329 1322 2252 386 69 15 1936 2279 1802 292 2262 1077 1600 2004 406 1548 242 616 1542 352 389 836 32 2352 1986 1585')","('val_samples', '522 1255 504 1888 918 523 1877 2158 855 1311 1764 1719 2092 1174 1308 636 2242 1997 1177 1820 2006 232 1215 1647 237 2078 776 2173 2082 1249 2364 1306 2311 1294 2313 175 59 1626 2230 693 2323 1108 1715 2118 1425 103 1941 563 587 1983 779 881 277 253 2354 767 402 690 24 1115 1127 705 13 446 425 43 1187 521 794 31 2389 771 5 1281 72 1455 481 517 421 1850 2073 1982 203 642 118 1033 1090 1641 1924 660 1663 1314 1498 1749 1406 2122 2223 423 2281 82')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 32)","('number_val_samples', 100)","('number_test_samples', 2268)","('mean_test_loss', 2.9112795657581754)","('test_acc', 0.6103119488536155)","('test_f1', 0.6035188148051698)","('test_prec', 0.6330974669280486)","('test_reca', 0.6103119488536155)","('test_roc', 0.8578492575357078)","('mean_train_loss', 2.7098183929920197)","('train_acc', 0.8056640625)","('train_f1', 0.7988411238442383)","('train_prec', 0.8239086520863068)","('train_reca', 0.8056640625)","('train_roc', 0.9131617392263105)","('mean_val_loss', 2.9180981373786925)","('val_acc', 0.60125)","('val_f1', 0.5949372411714213)","('val_prec', 0.6274457819308554)","('val_reca', 0.6012500000000001)","('val_roc', 0.853097379032258)","('pytorch_total_params', 66721)","('train_time', 1500.206306695938)","('best_epoch', 555)","('experiment_id', '156')","('train_samples', '1371 283 913 1178 1207 876 800 1265 1610 981 248 615 2270 1604 849 1321 1382 1327 1631 287 2123 1216 801 1195 1469 2086 1649 2204 219 702 490 81')","('val_samples', '323 2015 519 1455 1614 945 1881 1307 2133 793 831 240 282 1832 1038 1229 1544 1671 548 1561 226 1506 1417 2120 609 442 485 33 1273 1143 1349 699 1491 1653 28 16 2347 512 1415 455 1040 1735 1432 26 1487 1716 503 1187 121 704 1245 1864 1473 903 1613 2176 1910 1791 316 0 656 1568 95 93 871 2279 946 994 2276 802 1312 712 1887 585 654 2329 168 99 476 346 1687 1014 1026 1163 2201 776 369 1793 1360 1278 518 1499 605 1525 1835 423 931 473 1685 2007')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 32)","('number_val_samples', 100)","('number_test_samples', 2268)","('mean_test_loss', 2.929076560695756)","('test_acc', 0.5930748456790124)","('test_f1', 0.5862607815772753)","('test_prec', 0.6287657539252973)","('test_reca', 0.5930748456790125)","('test_roc', 0.8405204983873427)","('mean_train_loss', 2.719782143831253)","('train_acc', 0.7958984375)","('train_f1', 0.7927891813732246)","('train_prec', 0.8284871619817366)","('train_reca', 0.7958984375)","('train_roc', 0.9065596057522681)","('mean_val_loss', 2.907479748725891)","('val_acc', 0.6175)","('val_f1', 0.61036876852535)","('val_prec', 0.6568484703767462)","('val_reca', 0.6174999999999999)","('val_roc', 0.8503559475806451)","('pytorch_total_params', 66721)","('train_time', 793.7537353038788)","('best_epoch', 256)","('experiment_id', '264')","('train_samples', '2355 1023 1418 1373 2290 1190 1782 891 852 2000 359 246 1670 1239 194 2344 2357 673 1840 529 1902 1034 1291 1031 2112 2203 834 757 113 2040 2200 1767')","('val_samples', '574 2371 2327 985 293 1637 63 404 1379 1170 1266 324 1350 2324 878 338 2310 1890 122 288 2211 248 1961 1830 1816 679 1756 402 25 644 384 396 999 1734 1281 623 1746 603 1641 1719 1362 2094 427 1366 649 1093 1502 648 640 602 280 2062 1478 367 1922 416 1711 754 1114 2256 732 1804 1076 303 1436 2338 1954 859 1400 1932 1002 643 249 884 802 1944 2232 2314 206 1337 1781 1509 2057 428 1630 1797 1319 871 2010 92 1235 408 365 711 1844 1824 2321 965 2242 486')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 32)","('number_val_samples', 100)","('number_test_samples', 2268)","('mean_test_loss', 2.826447392266894)","('test_acc', 0.6959049823633157)","('test_f1', 0.6877518671833547)","('test_prec', 0.704327412355106)","('test_reca', 0.6959049823633157)","('test_roc', 0.9103318946921715)","('mean_train_loss', 2.624312698841095)","('train_acc', 0.892578125)","('train_f1', 0.8856916076329785)","('train_prec', 0.8994460022116362)","('train_reca', 0.892578125)","('train_roc', 0.9517408801663306)","('mean_val_loss', 2.8214995670318603)","('val_acc', 0.7003125)","('val_f1', 0.6916629270692077)","('val_prec', 0.7115280503677328)","('val_reca', 0.7003125)","('val_roc', 0.9093308467741936)","('pytorch_total_params', 66721)","('train_time', 1209.4378221035004)","('best_epoch', 440)","('experiment_id', '372')","('train_samples', '274 1261 1293 829 933 2158 1814 552 673 2210 2085 1277 323 917 2264 1942 891 1795 1183 172 851 256 2089 1353 2141 775 1416 1647 2138 2081 502 979')","('val_samples', '2307 2180 339 2251 1235 1320 333 973 1593 111 1223 1708 1833 1449 426 982 2033 1789 1267 2323 359 752 1147 1993 677 1075 2109 110 2161 1658 1249 839 1336 363 900 2309 498 942 403 1467 1682 1033 2181 2179 253 126 631 254 831 1939 1101 1890 988 330 88 1684 1495 609 1308 1178 2024 427 1210 1636 2036 1928 697 517 1735 34 1488 1289 739 221 1558 761 854 753 1786 139 906 271 590 1371 1680 1683 716 1969 208 1028 960 1504 450 1638 958 2125 2283 2144 711 1102')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 32)","('number_val_samples', 100)","('number_test_samples', 2268)","('mean_test_loss', 2.8343076705932617)","('test_acc', 0.6882440476190477)","('test_f1', 0.6789612949473682)","('test_prec', 0.70483523246396)","('test_reca', 0.6882440476190477)","('test_roc', 0.9087910814024804)","('mean_train_loss', 2.644475243985653)","('train_acc', 0.8720703125)","('train_f1', 0.8660236327001836)","('train_prec', 0.8903718943423532)","('train_reca', 0.8720703125)","('train_roc', 0.9497094923450101)","('mean_val_loss', 2.8340239834785463)","('val_acc', 0.69125)","('val_f1', 0.6811506011853325)","('val_prec', 0.710232727179697)","('val_reca', 0.69125)","('val_roc', 0.908133316532258)","('pytorch_total_params', 66721)","('train_time', 1567.711608171463)","('best_epoch', 541)","('experiment_id', '480')","('train_samples', '1269 753 763 2009 1281 744 1194 444 1904 1750 1398 1631 1598 2026 101 495 1280 1657 452 400 1938 2045 1069 1369 570 770 281 825 2312 2329 1379 1616')","('val_samples', '1691 258 904 819 1814 221 1418 12 989 1708 1998 1924 694 2112 1107 687 1668 1394 189 284 1548 268 121 1306 2217 252 635 2236 124 568 1030 565 1422 1839 1102 79 2362 1188 1386 913 2165 2037 984 2382 1458 376 1612 2308 1775 1896 2322 287 1975 1686 804 1829 1254 1830 1713 2327 1147 57 1599 870 1009 1339 896 470 2094 33 867 1290 2296 141 1078 1083 2156 528 2052 1880 2251 2344 994 781 1968 120 2198 2385 192 1828 2059 2190 1537 2000 2082 86 1683 1823 82 427')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 32)","('number_val_samples', 100)","('number_test_samples', 2268)","('mean_test_loss', 2.8269173871903193)","('test_acc', 0.6966765873015873)","('test_f1', 0.6858917148357941)","('test_prec', 0.6966838114734988)","('test_reca', 0.6966765873015873)","('test_roc', 0.9223106327207842)","('mean_train_loss', 2.6278158500790596)","('train_acc', 0.888671875)","('train_f1', 0.8809440625304401)","('train_prec', 0.8916102295896577)","('train_reca', 0.888671875)","('train_roc', 0.9638750630040323)","('mean_val_loss', 2.8040590286254883)","('val_acc', 0.72125)","('val_f1', 0.7107784094045011)","('val_prec', 0.7259665283383998)","('val_reca', 0.7212500000000001)","('val_roc', 0.9291104334677419)","('pytorch_total_params', 66721)","('train_time', 1869.487990140915)","('best_epoch', 628)","('experiment_id', '588')","('train_samples', '1393 2049 18 744 1455 1351 1378 1236 1506 501 1505 1779 2314 353 1303 578 1034 450 907 2226 1698 1658 1065 1666 0 1411 721 1090 592 1497 533 1465')","('val_samples', '1782 2040 1079 149 1392 349 1189 709 735 204 2180 1312 383 240 897 1230 1538 1447 656 1722 1062 2268 1340 2211 1558 940 150 829 594 351 589 1802 677 183 2087 2000 2348 123 1324 416 1569 1454 2225 1571 389 1778 617 1342 1082 2221 329 1131 1374 2316 561 495 1623 660 396 1994 1352 919 1588 1386 633 205 127 831 2234 421 1008 2110 12 2306 797 691 454 29 138 2397 2018 890 1560 787 620 823 1026 851 1579 1173 1231 2375 717 1363 1499 2273 1654 1947 1176 2188')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 32)","('number_val_samples', 100)","('number_test_samples', 2268)","('mean_test_loss', 2.8139648267201016)","('test_acc', 0.7088155864197531)","('test_f1', 0.6998295215339917)","('test_prec', 0.7186465277294992)","('test_reca', 0.7088155864197531)","('test_roc', 0.9234441606849552)","('mean_train_loss', 2.6211482137441635)","('train_acc', 0.8955078125)","('train_f1', 0.8912329271282327)","('train_prec', 0.9080874255115934)","('train_reca', 0.8955078125)","('train_roc', 0.9601917882119456)","('mean_val_loss', 2.8079374861717223)","('val_acc', 0.71625)","('val_f1', 0.707227039183868)","('val_prec', 0.7244960625659327)","('val_reca', 0.71625)","('val_roc', 0.9269753528225807)","('pytorch_total_params', 66721)","('train_time', 2063.0171554088593)","('best_epoch', 709)","('experiment_id', '696')","('train_samples', '380 503 1853 1985 1838 1539 173 898 1819 1372 320 780 449 769 1687 1992 409 1847 512 869 1033 1086 54 2001 1524 193 403 1954 1881 1971 1529 1506')","('val_samples', '1052 1760 846 1132 1231 1367 675 2172 72 999 2128 687 2320 261 1053 68 1486 1343 304 858 413 340 305 1595 355 1970 1818 1569 1953 2071 1178 582 701 1873 1565 816 106 1040 1259 343 1865 96 1795 2227 399 1625 505 321 214 1610 344 1564 1175 1693 107 465 2389 2078 2054 105 1182 1748 2191 722 1194 1237 404 1654 157 1292 302 747 1612 1696 386 1957 807 2169 190 1479 933 900 1301 2075 2150 1456 1325 450 2293 2138 2393 963 286 1200 1844 1802 170 1171 679 1945')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 32)","('number_val_samples', 100)","('number_test_samples', 2268)","('mean_test_loss', 2.8960919334985173)","('test_acc', 0.6265569885361552)","('test_f1', 0.6221989812019094)","('test_prec', 0.647002280097686)","('test_reca', 0.6265569885361553)","('test_roc', 0.8695517457659716)","('mean_train_loss', 2.6979295164346695)","('train_acc', 0.8173828125)","('train_f1', 0.8131667918913754)","('train_prec', 0.8333833080560175)","('train_reca', 0.8173828125)","('train_roc', 0.920044437531502)","('mean_val_loss', 2.8937576007843018)","('val_acc', 0.629375)","('val_f1', 0.625075702645885)","('val_prec', 0.6468243471203753)","('val_reca', 0.629375)","('val_roc', 0.8671650705645162)","('pytorch_total_params', 66721)","('train_time', 1840.8601999282837)","('best_epoch', 618)","('experiment_id', '804')","('train_samples', '1956 685 550 175 1397 1446 814 965 523 1079 160 1075 1191 2291 1083 1933 615 1391 185 1115 2334 110 1524 2336 2098 672 1982 806 1156 320 1658 1472')","('val_samples', '1921 596 1314 340 1811 1822 1506 1946 223 1963 1675 801 366 1604 321 2270 736 1567 32 22 194 1061 1551 1578 1029 861 1579 569 869 101 1768 529 817 1346 270 471 624 771 838 808 895 1764 834 667 513 860 1377 1108 1332 2096 176 1256 1369 964 1510 922 2154 1245 866 2104 1990 1629 606 1003 2122 373 2329 2339 639 12 1322 1566 1099 201 163 1549 1422 847 1321 2265 368 1106 868 2255 603 1734 2113 872 79 2320 10 1264 1898 651 1753 1196 516 1171 189 239')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 32)","('number_val_samples', 100)","('number_test_samples', 2268)","('mean_test_loss', 2.8534344823692632)","('test_acc', 0.6684854497354498)","('test_f1', 0.6598356213036647)","('test_prec', 0.6791681532216716)","('test_reca', 0.6684854497354498)","('test_roc', 0.8945231417013315)","('mean_train_loss', 2.6625924110412598)","('train_acc', 0.853515625)","('train_f1', 0.845532023140083)","('train_prec', 0.8719470991887157)","('train_reca', 0.853515625)","('train_roc', 0.9416454684349799)","('mean_val_loss', 2.85159157037735)","('val_acc', 0.6703125)","('val_f1', 0.6595542620239327)","('val_prec', 0.6863847638961174)","('val_reca', 0.6703125)","('val_roc', 0.8905401209677419)","('pytorch_total_params', 66721)","('train_time', 1308.2645733356476)","('best_epoch', 445)","('experiment_id', '912')","('train_samples', '11 1434 1848 549 47 1776 502 473 1857 1932 2339 2359 1171 446 1961 821 1879 447 2100 2268 1731 263 665 653 714 682 1714 815 1637 604 2140 801')","('val_samples', '1241 1122 440 166 2183 1587 2144 1205 92 847 945 1890 1746 742 613 1537 1913 2297 285 1741 659 1701 2254 1981 184 82 2022 857 2311 640 1443 1365 1352 2384 1391 2230 2071 2376 1697 533 895 2029 332 1945 2329 68 300 380 786 29 664 323 1967 566 1567 954 90 2042 248 1802 1092 2326 2149 489 2206 499 1582 1954 976 957 1284 71 900 142 799 611 19 2120 490 880 226 1865 1211 879 1364 1289 688 741 609 472 282 528 1166 1483 1258 1791 860 1331 2125 1402')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 32)","('number_val_samples', 100)","('number_test_samples', 2268)","('mean_test_loss', 2.8152008517078624)","('test_acc', 0.7069141313932981)","('test_f1', 0.6943646359025524)","('test_prec', 0.7103787118617723)","('test_reca', 0.7069141313932981)","('test_roc', 0.9230575135605465)","('mean_train_loss', 2.6318769603967667)","('train_acc', 0.884765625)","('train_f1', 0.8786299548645043)","('train_prec', 0.8950658951587094)","('train_reca', 0.884765625)","('train_roc', 0.958222912203881)","('mean_val_loss', 2.8142927360534666)","('val_acc', 0.7096875)","('val_f1', 0.7000480685753074)","('val_prec', 0.7143943635535319)","('val_reca', 0.7096875)","('val_roc', 0.9238290322580645)","('pytorch_total_params', 66721)","('train_time', 1541.9191229343414)","('best_epoch', 504)","('experiment_id', '1020')","('train_samples', '686 500 1350 1292 1323 397 998 81 1087 342 661 570 318 1152 357 1072 2017 146 1331 7 275 288 1909 2069 638 1740 1576 1102 1108 1411 1452 1332')","('val_samples', '652 914 2349 971 1689 1747 1961 1556 689 75 1238 42 1188 1138 1789 1643 2052 513 1972 786 968 2112 129 1224 530 1671 1627 1706 1135 1948 558 1861 1892 1432 1989 821 1262 746 1480 2074 1945 1270 1816 1987 1374 1534 1730 2101 1196 1249 901 1031 2170 461 2238 2219 1744 1515 1299 808 608 1979 674 315 1834 2249 1749 235 519 348 1718 2022 1000 2254 1016 664 2066 1134 1712 1865 1543 2346 1978 2189 2304 826 622 902 2378 2370 1092 1868 403 1820 431 1608 1656 3 683 1007')"
