eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.297404011196702)","('test_acc', 0.23677403204272363)","('test_f1', 0.2593127606534603)","('test_prec', 0.3945231913487237)","('test_reca', 0.23677403204272363)","('test_roc', 0.6184505630553185)","('mean_train_loss', 2.6286243200302124)","('train_acc', 0.890625)","('train_f1', 0.884375)","('train_prec', 0.921875)","('train_reca', 0.890625)","('train_roc', 0.9816028225806451)","('mean_val_loss', 3.2993293523788454)","('val_acc', 0.23125)","('val_f1', 0.2524898059348188)","('val_prec', 0.3934323848271445)","('val_reca', 0.23125)","('val_roc', 0.6124329637096775)","('pytorch_total_params', 16865)","('train_time', 553.3506145477295)","('best_epoch', 126)","('experiment_id', '1016')","('train_samples', '64 815')","('val_samples', '968 896 629 8 496 715 1170 1039 1100 53 9 1397 403 1045 1498 935 129 499 1513 32 979 641 996 411 957 1260 1177 1317 873 105 833 1103 685 1130 1201 1065 1520 1188 731 353 56 1229 785 559 1326 296 1351 1375 521 472 1158 524 1415 517 708 1560 671 800 1051 577 1247 1234 712 306 906 1255 1161 1433 113 212 384 401 292 1458 1236 171 1141 1106 1032 1092 28 258 1377 393 1393 34 194 813 1096 1297 360 1330 1460 751 1521 288 1396 346 348 160')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.227511435866515)","('test_acc', 0.3021320093457944)","('test_f1', 0.3227431600720181)","('test_prec', 0.4668232749231941)","('test_reca', 0.30213200934579443)","('test_roc', 0.6527219714036794)","('mean_train_loss', 2.5488470792770386)","('train_acc', 0.96875)","('train_f1', 0.9666666666666667)","('train_prec', 0.9791666666666666)","('train_reca', 0.96875)","('train_roc', 0.9982358870967742)","('mean_val_loss', 3.232784810066223)","('val_acc', 0.2978125)","('val_f1', 0.31708386157937096)","('val_prec', 0.4633276447868046)","('val_reca', 0.29781250000000004)","('val_roc', 0.6499369455645161)","('pytorch_total_params', 16865)","('train_time', 1627.106615781784)","('best_epoch', 501)","('experiment_id', '2156')","('train_samples', '962 909')","('val_samples', '47 1294 1303 831 109 1519 1305 204 1205 234 1492 1377 1124 256 1413 261 1171 54 1261 340 983 965 1584 731 1237 44 1594 843 888 715 719 168 1520 849 1472 411 502 1339 994 486 229 777 722 815 1044 494 395 427 1026 1414 60 325 1139 1214 233 27 182 897 1231 66 805 1330 1088 630 954 101 662 638 847 1236 481 1523 239 668 302 0 1083 603 1566 1343 241 1590 1179 930 1428 773 1389 782 940 1326 187 1147 373 1024 1120 1512 194 467 4 1119')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.2486954707806515)","('test_acc', 0.2787049399198932)","('test_f1', 0.3002673380888736)","('test_prec', 0.4110088212588)","('test_reca', 0.2787049399198932)","('test_roc', 0.6511121244407534)","('mean_train_loss', 2.5183299779891968)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.247686116695404)","('val_acc', 0.2771875)","('val_f1', 0.3025441457779028)","('val_prec', 0.422758341714187)","('val_reca', 0.27718750000000003)","('val_roc', 0.6478980846774194)","('pytorch_total_params', 16865)","('train_time', 1209.8684718608856)","('best_epoch', 369)","('experiment_id', '3296')","('train_samples', '1249 521')","('val_samples', '1057 665 919 389 379 1295 957 138 1368 1102 805 816 1221 62 1418 436 32 857 1021 793 1584 425 220 703 162 280 1401 230 501 990 643 1318 540 294 1209 369 336 595 1496 936 1171 684 1156 1272 1014 167 1464 1493 778 1572 769 1568 210 573 45 922 465 1516 1085 133 442 958 1547 1439 290 1234 131 39 27 1269 1257 329 594 1225 1468 266 1577 441 373 487 1459 272 1175 837 185 713 497 1023 165 864 1477 1507 345 587 1384 1364 1182 297 179 221')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.2695458559232335)","('test_acc', 0.2664803070761015)","('test_f1', 0.281116600423425)","('test_prec', 0.3841618387696344)","('test_reca', 0.2664803070761015)","('test_roc', 0.6253724510981407)","('mean_train_loss', 2.5793169736862183)","('train_acc', 0.9375)","('train_f1', 0.934375)","('train_prec', 0.953125)","('train_reca', 0.9375)","('train_roc', 0.9982358870967742)","('mean_val_loss', 3.269622173309326)","('val_acc', 0.2659375)","('val_f1', 0.2816163166245894)","('val_prec', 0.3817224143695921)","('val_reca', 0.2659375)","('val_roc', 0.6232835685483871)","('pytorch_total_params', 16865)","('train_time', 630.9480431079865)","('best_epoch', 198)","('experiment_id', '4436')","('train_samples', '217 1184')","('val_samples', '1284 661 452 1492 142 602 184 793 958 250 741 1237 1170 753 374 89 766 83 1183 387 932 784 43 1081 847 375 1498 372 1276 176 528 57 158 886 349 209 24 98 210 454 1497 126 881 93 1005 962 1069 622 289 1385 112 1329 425 1009 667 476 841 980 901 111 1494 129 46 69 1077 174 346 887 875 767 1540 1102 1016 515 956 90 276 1088 353 1147 600 610 928 1026 489 92 1534 1004 352 171 943 1456 609 1316 1590 885 989 662 594 1476')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.2265383361655977)","('test_acc', 0.32013518024032045)","('test_f1', 0.33949060879361137)","('test_prec', 0.4192860604403817)","('test_reca', 0.32013518024032045)","('test_roc', 0.6674855676594879)","('mean_train_loss', 2.548261880874634)","('train_acc', 0.96875)","('train_f1', 0.9666666666666666)","('train_prec', 0.9791666666666666)","('train_reca', 0.96875)","('train_roc', 0.9909274193548387)","('mean_val_loss', 3.2229216432571413)","('val_acc', 0.315625)","('val_f1', 0.3328787613463865)","('val_prec', 0.4134112600809785)","('val_reca', 0.315625)","('val_roc', 0.6683530241935484)","('pytorch_total_params', 16865)","('train_time', 1465.631905555725)","('best_epoch', 274)","('experiment_id', '5576')","('train_samples', '1003 80')","('val_samples', '627 146 206 1597 168 818 40 820 420 149 354 1180 49 1274 900 24 1313 1446 904 1113 1227 984 126 1112 813 1384 68 1156 1380 722 1550 781 669 956 1542 1404 1191 296 1159 631 1160 570 162 2 906 289 1333 139 935 1212 1040 1594 1082 945 367 1383 406 710 1256 407 1053 653 1563 997 827 592 1085 1577 152 842 1248 170 738 1358 1089 539 1046 1083 1008 1226 1254 28 579 344 1288 1048 91 964 382 555 905 1440 41 766 93 474 817 167 1044 16')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.2596974477908005)","('test_acc', 0.2721754005340454)","('test_f1', 0.28764127964742864)","('test_prec', 0.3619561018161015)","('test_reca', 0.2721754005340454)","('test_roc', 0.6630545273505493)","('mean_train_loss', 2.5798494815826416)","('train_acc', 0.9375)","('train_f1', 0.9354166666666667)","('train_prec', 0.9635416666666666)","('train_reca', 0.9375)","('train_roc', 0.9886592741935485)","('mean_val_loss', 3.269082863330841)","('val_acc', 0.2559375)","('val_f1', 0.2731042654614081)","('val_prec', 0.35147460895340704)","('val_reca', 0.2559375)","('val_roc', 0.6611084173387096)","('pytorch_total_params', 16865)","('train_time', 1212.3503057956696)","('best_epoch', 328)","('experiment_id', '6716')","('train_samples', '1088 83')","('val_samples', '1435 1577 1248 775 1203 467 429 835 710 1168 1282 571 655 465 1055 686 787 570 545 474 458 1511 777 1135 798 598 1506 198 1181 514 1278 1007 497 231 423 438 1292 77 500 1171 1169 1406 26 814 613 668 409 1312 844 40 106 253 890 1122 1233 580 840 628 1456 976 227 764 861 119 1357 1149 682 471 1145 76 1077 78 10 234 215 378 1228 679 612 224 1294 1249 597 1024 1159 1532 810 372 300 301 258 230 1594 337 1146 811 1235 958 1273 151')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.301181099125158)","('test_acc', 0.22411131508678236)","('test_f1', 0.24780574926703514)","('test_prec', 0.34103643745454065)","('test_reca', 0.2241113150867824)","('test_roc', 0.6126282205465565)","('mean_train_loss', 2.595187544822693)","('train_acc', 0.921875)","('train_f1', 0.9177083333333333)","('train_prec', 0.9427083333333333)","('train_reca', 0.921875)","('train_roc', 0.9906754032258065)","('mean_val_loss', 3.2986570143699647)","('val_acc', 0.225)","('val_f1', 0.24755480092815105)","('val_prec', 0.35076721096042396)","('val_reca', 0.22499999999999998)","('val_roc', 0.6103901209677419)","('pytorch_total_params', 16865)","('train_time', 1208.3111245632172)","('best_epoch', 250)","('experiment_id', '8996')","('train_samples', '1527 1230')","('val_samples', '868 1149 1559 161 1407 1577 996 1028 519 470 106 551 572 63 553 506 647 762 993 1062 1124 1583 753 402 871 1251 245 807 271 859 355 400 969 1077 293 498 1380 499 212 533 848 385 112 922 1051 1021 591 1202 387 232 636 552 1420 451 1145 1191 205 169 1250 627 521 1185 1083 1363 1066 870 991 739 905 214 1514 1528 867 771 197 989 1390 384 75 54 1249 1201 417 377 671 1053 145 611 274 1376 1535 862 747 1278 1197 782 1518 206 268 1346')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.256246061923507)","('test_acc', 0.2720085113484646)","('test_f1', 0.2976746808102157)","('test_prec', 0.3859382769828833)","('test_reca', 0.2720085113484646)","('test_roc', 0.6441773040852926)","('mean_train_loss', 2.5644479990005493)","('train_acc', 0.953125)","('train_f1', 0.95)","('train_prec', 0.96875)","('train_reca', 0.953125)","('train_roc', 0.9969758064516129)","('mean_val_loss', 3.258209993839264)","('val_acc', 0.2721875)","('val_f1', 0.29805874888867695)","('val_prec', 0.38322419049984546)","('val_reca', 0.2721875)","('val_roc', 0.644862752016129)","('pytorch_total_params', 16865)","('train_time', 1124.5461492538452)","('best_epoch', 308)","('experiment_id', '10136')","('train_samples', '135 1413')","('val_samples', '145 1464 1428 1007 804 190 712 841 1476 641 858 28 1539 48 1202 257 1101 252 131 394 1272 1043 956 498 358 1063 178 1545 1147 757 930 300 1275 112 144 1382 147 1115 59 861 129 911 610 121 409 998 897 446 80 241 517 1014 1183 41 185 523 534 742 722 281 834 35 220 1392 1322 1042 43 1248 1289 1310 399 652 1164 987 737 891 1571 747 219 244 926 279 661 1487 470 1350 117 1362 1357 172 725 713 1440 715 896 463 350 344 1318 1097')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.24177300022823)","('test_acc', 0.28734145527369825)","('test_f1', 0.3140845825963201)","('test_prec', 0.42950242973268815)","('test_reca', 0.28734145527369825)","('test_roc', 0.634067906225988)","('mean_train_loss', 2.5641417503356934)","('train_acc', 0.953125)","('train_f1', 0.95)","('train_prec', 0.96875)","('train_reca', 0.953125)","('train_roc', 0.9896673387096775)","('mean_val_loss', 3.2363416290283205)","('val_acc', 0.2940625)","('val_f1', 0.3211572347691255)","('val_prec', 0.444075999618909)","('val_reca', 0.2940625)","('val_roc', 0.6443586693548387)","('pytorch_total_params', 16865)","('train_time', 2412.4309968948364)","('best_epoch', 495)","('experiment_id', '11276')","('train_samples', '911 437')","('val_samples', '988 1220 1250 67 1192 359 844 384 706 1086 429 232 1413 375 1034 32 1568 879 800 603 1119 845 321 192 1329 1587 236 31 1466 1135 1256 727 1398 797 376 794 27 1502 543 941 546 374 1015 34 767 56 1566 115 327 922 734 774 672 924 1194 968 606 1121 1562 212 1315 1405 237 1125 1561 766 205 669 1449 1452 1221 1287 349 1056 1190 703 9 148 623 1378 306 367 899 479 1362 622 1247 1533 758 1538 868 1334 640 1365 1286 1144 360 1021 565 1483')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.219572974620101)","('test_acc', 0.3132927236315087)","('test_f1', 0.3331938832091038)","('test_prec', 0.43319155155566424)","('test_reca', 0.3132927236315087)","('test_roc', 0.6651963618937399)","('mean_train_loss', 2.5799068212509155)","('train_acc', 0.9375)","('train_f1', 0.9333333333333333)","('train_prec', 0.9583333333333333)","('train_reca', 0.9375)","('train_roc', 0.9596774193548387)","('mean_val_loss', 3.210082530975342)","('val_acc', 0.3271875)","('val_f1', 0.3448503281839824)","('val_prec', 0.44443598460692657)","('val_reca', 0.3271875)","('val_roc', 0.6696637600806452)","('pytorch_total_params', 16865)","('train_time', 744.0245018005371)","('best_epoch', 300)","('experiment_id', '7856')","('train_samples', '516 523')","('val_samples', '507 340 1184 678 525 964 73 724 700 469 617 144 131 438 281 406 297 1281 957 1190 692 266 478 1239 1579 993 100 487 1594 1132 923 599 684 892 1473 1079 336 204 154 238 138 58 434 745 649 95 1291 776 1154 14 181 315 49 316 738 460 1462 1569 333 376 271 588 743 481 709 702 1585 1199 885 1496 803 1202 920 1491 1016 1397 1 126 1021 673 1459 506 1206 1015 361 1558 1386 614 1215 195 1038 670 1220 1424 290 1176 1570 1319 1471 1080')"
