eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 128)","('number_val_samples', 100)","('number_test_samples', 2172)","('mean_test_loss', 2.6161570297639893)","('test_acc', 0.9059046961325967)","('test_f1', 0.9081964832712872)","('test_prec', 0.9124585831265123)","('test_reca', 0.9059046961325967)","('test_roc', 0.9956257469395351)","('mean_train_loss', 2.526686465367675)","('train_acc', 0.991455078125)","('train_f1', 0.9914699797207296)","('train_prec', 0.9915870829370108)","('train_reca', 0.991455078125)","('train_roc', 0.9996270210512223)","('mean_val_loss', 2.614017035961151)","('val_acc', 0.906875)","('val_f1', 0.9091093194801596)","('val_prec', 0.9142222782475801)","('val_reca', 0.9068750000000001)","('val_roc', 0.9956277721774194)","('pytorch_total_params', 33441)","('train_time', 1844.541095495224)","('best_epoch', 356)","('experiment_id', '59')","('train_samples', '1543 646 1180 1923 812 1912 719 2144 1029 186 437 1557 1063 1398 1065 2224 29 978 288 883 2204 353 2122 462 763 820 1304 245 1537 9 39 1553 1105 1718 210 1056 1880 1379 1223 1891 1619 2030 48 224 741 1109 2085 949 599 2310 1698 340 208 900 1081 148 1159 679 431 619 528 1069 1538 999 1431 2337 2159 532 1605 1139 271 172 179 345 147 1618 2173 1780 1863 1584 1634 292 801 34 2100 2054 1133 244 89 303 661 1086 674 493 198 2389 2231 1775 1016 2210 538 973 654 508 1596 2149 735 73 1525 985 1313 74 1639 2157 2156 808 1647 1840 360 1006 996 1689 752 930 1377 113 1067 1357')","('val_samples', '2125 2368 706 2069 560 1390 1208 2326 1679 594 1445 2040 1796 483 617 2062 1484 2131 816 1455 613 297 1755 1713 556 1848 1212 1856 417 1402 1283 313 33 2072 1157 2176 1674 688 371 1980 38 1473 1143 1920 650 1909 800 690 615 828 2308 374 1768 2109 1030 2339 663 1237 1460 2353 1476 1074 964 2032 1965 2174 1873 553 698 1257 1652 1943 779 1974 787 2021 1347 228 2290 957 2302 2102 1244 570 275 164 604 1152 123 2393 13 536 2381 2394 1247 215 50 895 1163 927')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 128)","('number_val_samples', 100)","('number_test_samples', 2172)","('mean_test_loss', 2.6593722597889697)","('test_acc', 0.8629431399631676)","('test_f1', 0.8598976834847235)","('test_prec', 0.8719607828631009)","('test_reca', 0.8629431399631676)","('test_roc', 0.9770572239336299)","('mean_train_loss', 2.5614200178533792)","('train_acc', 0.95654296875)","('train_f1', 0.952995772893376)","('train_prec', 0.9611395038893238)","('train_reca', 0.95654296875)","('train_roc', 0.9849643707275391)","('mean_val_loss', 2.6700916957855223)","('val_acc', 0.85375)","('val_f1', 0.8511350354036036)","('val_prec', 0.8689823108621519)","('val_reca', 0.85375)","('val_roc', 0.9749961693548388)","('pytorch_total_params', 33441)","('train_time', 1654.633588552475)","('best_epoch', 300)","('experiment_id', '167')","('train_samples', '935 1579 561 69 210 641 339 273 975 260 2274 1284 242 57 2251 1518 1978 84 837 584 824 744 1953 913 617 1926 1269 425 693 1893 364 843 1763 481 397 198 803 679 501 859 2189 457 1422 2394 663 976 1419 1115 688 2120 1601 1646 2014 459 523 447 1845 1992 1888 362 1619 1615 1388 1225 1742 2095 2232 1186 683 2078 696 1636 1499 1368 947 618 39 1173 1233 289 1545 1058 1333 1731 2359 1788 1769 1750 320 1482 2292 1573 583 845 1962 767 891 1728 20 1301 434 512 882 1094 949 19 1380 1454 1054 2331 1100 222 1568 1350 1032 2005 449 1912 1315 1827 1409 2055 2395 181 192 195 2370 1326')","('val_samples', '395 514 2122 1970 416 286 1177 2023 611 1747 1102 1610 826 50 549 146 337 992 1209 77 1089 2252 16 1569 1777 1307 619 595 1190 1141 343 984 658 906 2035 1991 2298 1652 1976 267 1084 417 2148 1035 1937 1450 1607 196 2233 1771 2202 179 408 1510 2097 2270 952 2396 1616 1105 995 1791 589 2096 1417 897 1406 1435 1903 2143 221 1187 556 2230 1773 333 431 646 2239 24 232 755 1870 2265 2247 1453 1076 1694 1012 63 352 1805 1885 614 745 1442 1287 1635 257 1560')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 128)","('number_val_samples', 100)","('number_test_samples', 2172)","('mean_test_loss', 2.625623668754957)","('test_acc', 0.895416091160221)","('test_f1', 0.8928719302468036)","('test_prec', 0.9007367293599062)","('test_reca', 0.8954160911602209)","('test_roc', 0.9854636381536573)","('mean_train_loss', 2.5459115095436573)","('train_acc', 0.97216796875)","('train_f1', 0.9696723681592763)","('train_prec', 0.9731757709701595)","('train_reca', 0.97216796875)","('train_roc', 0.9910304469446982)","('mean_val_loss', 2.6246472907066347)","('val_acc', 0.896875)","('val_f1', 0.8941701617094616)","('val_prec', 0.9023487863081638)","('val_reca', 0.896875)","('val_roc', 0.9850157258064516)","('pytorch_total_params', 33441)","('train_time', 1622.5011796951294)","('best_epoch', 322)","('experiment_id', '275')","('train_samples', '1517 1826 1110 2113 1688 275 1320 760 319 1644 339 1020 666 1424 2037 1712 2133 1791 2247 2272 1786 2265 1314 700 1703 1273 208 1761 1385 1603 95 1165 1249 1125 1088 824 415 306 1532 2015 1097 1584 2335 1825 1321 205 320 721 1494 1034 1907 1315 108 1590 531 697 679 713 1577 832 363 1731 1819 816 992 1530 664 1147 139 852 1965 57 427 2270 1403 1112 761 1949 1900 1002 2040 872 2309 2223 1032 2150 2308 1830 1677 2092 204 1390 213 417 2200 170 613 359 262 1708 1722 2385 509 1522 1772 1574 2311 1203 1362 2367 1816 1742 2334 1345 1575 37 1716 1529 464 1635 72 1012 242 331 1255 1653 715 2331')","('val_samples', '673 2305 1519 1406 364 508 861 1242 2394 1010 1766 1195 2330 336 1185 386 793 699 1428 592 1912 287 2295 805 1901 110 534 776 2366 648 1988 1447 1151 1507 1601 1111 2045 841 1962 1090 1074 2189 729 1220 1970 1771 649 143 2002 97 566 1908 2372 585 227 1993 1481 484 614 1442 704 803 584 430 1544 2074 1094 2271 371 1408 1664 195 2089 734 1738 1911 720 1210 567 2123 964 315 718 448 1818 1930 438 625 1322 1986 1082 736 918 1486 29 547 1477 1348 1580 2298')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 128)","('number_val_samples', 100)","('number_test_samples', 2172)","('mean_test_loss', 2.641171604888874)","('test_acc', 0.8818053637200737)","('test_f1', 0.8672342662226028)","('test_prec', 0.8642379682017058)","('test_reca', 0.8818053637200737)","('test_roc', 0.9822873540436609)","('mean_train_loss', 2.5668434631079435)","('train_acc', 0.951416015625)","('train_f1', 0.935848939268261)","('train_prec', 0.9551312914045086)","('train_reca', 0.951416015625)","('train_roc', 0.9874985910231067)","('mean_val_loss', 2.6425558304786683)","('val_acc', 0.8790625)","('val_f1', 0.8659420203276107)","('val_prec', 0.860773303556779)","('val_reca', 0.8790625)","('val_roc', 0.9828022681451614)","('pytorch_total_params', 33441)","('train_time', 1307.36869430542)","('best_epoch', 242)","('experiment_id', '383')","('train_samples', '710 206 878 2044 2126 670 1941 68 700 117 4 1077 1647 279 498 502 107 69 1597 2158 1380 1922 2243 1558 396 895 645 2200 1561 221 1828 1177 1925 1721 1752 2245 757 316 512 65 1144 529 1975 927 764 1103 1933 493 1835 443 321 2307 2014 1960 2382 687 2349 777 1630 2298 402 470 722 93 1432 1632 1002 839 1304 2210 169 302 2259 1572 834 1003 951 1273 103 2020 580 675 1553 1930 1256 1038 1087 797 549 1020 1137 2128 1274 1722 1650 1259 354 1929 2399 1876 427 2047 1582 1215 577 2388 90 375 2264 616 778 1385 859 101 128 1483 1355 403 1694 459 2153 2250 824 1606 205 167 1271 1397')","('val_samples', '274 287 89 638 1037 1379 1970 314 1782 2395 1585 209 1893 1428 612 1791 1360 584 1830 100 915 1129 298 48 1871 1012 1260 352 2219 1836 62 874 647 1237 1508 879 1328 754 1242 963 295 667 875 1557 207 643 46 26 2305 1083 453 517 303 1388 365 1723 162 379 2086 1277 2354 2328 775 2112 1674 1968 1649 2124 2330 2279 1611 1826 2266 1401 1783 1792 967 1669 1726 2218 2300 1047 2233 92 799 182 765 1153 1226 1374 635 341 1151 1563 727 2257 1566 1655 1998 684')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 128)","('number_val_samples', 100)","('number_test_samples', 2172)","('mean_test_loss', 2.653417798695643)","('test_acc', 0.8681946362799263)","('test_f1', 0.8652244419892647)","('test_prec', 0.8833192414737561)","('test_reca', 0.8681946362799264)","('test_roc', 0.9726017412307697)","('mean_train_loss', 2.5671189911663532)","('train_acc', 0.950927734375)","('train_f1', 0.9461787261567782)","('train_prec', 0.958746065453689)","('train_reca', 0.950927734375)","('train_roc', 0.9769490764987084)","('mean_val_loss', 2.647371225357056)","('val_acc', 0.87375)","('val_f1', 0.8704345578193153)","('val_prec', 0.8891128582682544)","('val_reca', 0.87375)","('val_roc', 0.9720110887096773)","('pytorch_total_params', 33441)","('train_time', 1445.8089632987976)","('best_epoch', 297)","('experiment_id', '491')","('train_samples', '492 1617 2370 854 391 531 161 1349 1696 1942 593 576 1735 379 1654 490 974 658 1922 964 1814 1392 1239 566 1938 1126 1225 2132 957 1886 912 1637 1797 1963 966 831 2335 1955 1330 316 664 788 612 339 1695 154 235 2383 1510 466 2142 1919 1907 630 1755 670 1953 2201 778 2337 2135 1747 870 1426 301 1143 1513 2037 589 2326 377 1487 1257 747 215 1753 265 868 10 1200 1478 1796 1300 952 1209 1149 1841 1503 2318 1690 647 981 224 373 381 889 1437 1106 2333 205 186 1494 220 335 613 1207 1414 478 2313 2366 739 512 517 761 1091 25 1461 2289 1520 1629 82 1096 869 1156 1076 1357 1646 138')","('val_samples', '1142 521 1235 1763 2118 1998 594 675 1833 1982 995 1497 45 710 2232 1703 1198 1662 948 1572 2155 712 1446 2055 2270 720 836 98 655 560 443 1263 642 1917 1035 270 871 1732 36 1569 20 433 1668 1173 93 2240 2070 572 1578 167 827 624 1798 833 482 611 1368 1134 1068 1332 2084 1450 185 644 1741 1660 1028 1038 842 1579 404 551 494 2167 1689 1663 2208 537 514 794 665 2018 2165 2273 2238 33 1054 2168 1223 1740 378 2102 233 863 1939 1793 743 1402 1623 1248')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 128)","('number_val_samples', 100)","('number_test_samples', 2172)","('mean_test_loss', 2.6914564294270606)","('test_acc', 0.8293911141804788)","('test_f1', 0.8240380123688951)","('test_prec', 0.8489620742382392)","('test_reca', 0.8293911141804788)","('test_roc', 0.9513826848350424)","('mean_train_loss', 2.6059873327612877)","('train_acc', 0.911865234375)","('train_f1', 0.9052013067448319)","('train_prec', 0.9235422607202136)","('train_reca', 0.911865234375)","('train_roc', 0.9601466578821982)","('mean_val_loss', 2.6860756397247316)","('val_acc', 0.835)","('val_f1', 0.8315382705191654)","('val_prec', 0.8596842276858437)","('val_reca', 0.835)","('val_roc', 0.949572127016129)","('pytorch_total_params', 33441)","('train_time', 1482.0277073383331)","('best_epoch', 279)","('experiment_id', '599')","('train_samples', '1351 770 666 587 1837 1509 802 1671 2351 1885 1961 1422 863 776 854 1783 1188 382 1492 1763 1536 332 1493 205 1779 157 2380 1511 1156 2115 343 2246 622 309 226 258 591 1450 148 1431 900 1026 1941 1227 80 2270 1367 1102 1084 1940 2146 508 191 756 1370 2193 513 454 868 2166 574 698 57 407 1474 2258 1191 298 141 1143 40 1925 436 286 1657 1548 1677 1497 425 471 1868 150 2337 1159 1990 1761 778 460 1584 1446 147 288 2041 1883 619 773 2019 2350 429 1690 448 1348 1563 857 2137 268 1822 1 1214 1569 1412 1342 923 1196 1325 1176 440 882 947 1052 760 442 1329 1559 1675 1252 1791 18')","('val_samples', '961 310 185 516 671 1764 978 999 1912 403 366 960 432 2079 1643 1633 2075 1901 1686 1205 1048 774 732 335 1698 2306 1379 1842 1833 1982 948 1254 466 687 1240 1596 768 902 1211 270 1403 643 175 1765 628 640 1137 840 1547 2158 126 2110 761 2233 1468 63 730 679 865 714 1127 396 2035 1094 677 346 1845 2217 540 297 678 2364 433 2078 862 623 655 72 1888 398 1739 1231 1328 974 1212 156 1028 326 341 1237 168 1708 1065 2338 1259 1638 1136 1144 55 266')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 128)","('number_val_samples', 100)","('number_test_samples', 2172)","('mean_test_loss', 2.618907514856665)","('test_acc', 0.9017322744014733)","('test_f1', 0.8999763027883033)","('test_prec', 0.9032474789389777)","('test_reca', 0.9017322744014733)","('test_roc', 0.9913169141246944)","('mean_train_loss', 2.5378355756402016)","('train_acc', 0.980224609375)","('train_f1', 0.9777230545875476)","('train_prec', 0.9809284183621195)","('train_reca', 0.980224609375)","('train_roc', 0.9954054124893681)","('mean_val_loss', 2.6079996156692506)","('val_acc', 0.9128125)","('val_f1', 0.9115197863313285)","('val_prec', 0.9161792995206026)","('val_reca', 0.9128125)","('val_roc', 0.9929956149193548)","('pytorch_total_params', 33441)","('train_time', 2068.4748561382294)","('best_epoch', 404)","('experiment_id', '707')","('train_samples', '1196 2349 1471 848 2053 2380 1617 485 1033 1747 2144 1436 813 1003 105 1187 2330 2247 1214 329 567 2121 1088 1342 381 28 1616 2252 466 202 1704 1534 1176 2146 761 1968 901 1156 746 741 1424 335 1429 662 1654 1091 1351 1554 1835 554 973 2085 83 88 201 59 144 1900 748 1702 1694 1963 1826 1571 1512 821 1833 16 1788 2036 1569 1629 513 1141 1291 512 174 350 861 2124 822 1096 825 972 1166 378 773 1906 1899 65 112 5 1017 2229 2339 1069 754 2214 1924 122 1379 1112 2166 173 68 2233 1343 1528 835 480 187 1940 1213 549 1912 210 2002 793 1205 1041 2325 778 13 410 1595 244 1161 2155')","('val_samples', '468 760 98 577 2071 1842 958 1347 1630 1225 964 1245 665 1691 2324 1239 2327 387 555 1063 113 2234 1031 1557 104 534 589 2026 407 1564 1642 1119 1804 132 31 2374 475 1548 1592 537 747 1186 1341 725 1204 763 2295 459 2365 327 1613 2332 2287 818 1487 913 82 1510 879 1812 1626 1160 1438 48 634 890 2299 2189 1006 688 2161 931 1095 994 627 1206 108 1748 1735 1883 2218 1408 1506 941 1907 1635 2277 978 1068 352 1855 1021 960 1139 56 802 1594 1083 1609 1208')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 128)","('number_val_samples', 100)","('number_test_samples', 2172)","('mean_test_loss', 2.6371448180513046)","('test_acc', 0.8830139272559853)","('test_f1', 0.8797472438114329)","('test_prec', 0.8889477964666221)","('test_reca', 0.8830139272559853)","('test_roc', 0.9825398819419624)","('mean_train_loss', 2.548152804374695)","('train_acc', 0.9697265625)","('train_f1', 0.9666878674427657)","('train_prec', 0.9719231701246853)","('train_reca', 0.9697265625)","('train_roc', 0.9874885005335654)","('mean_val_loss', 2.625959177017212)","('val_acc', 0.8940625)","('val_f1', 0.8917829228650079)","('val_prec', 0.9006931780346731)","('val_reca', 0.8940625)","('val_roc', 0.9845236391129032)","('pytorch_total_params', 33441)","('train_time', 2239.8015308380127)","('best_epoch', 421)","('experiment_id', '815')","('train_samples', '1347 1028 1385 2186 1816 260 1706 911 323 2136 2041 914 2153 360 726 296 1877 1862 2031 1731 2214 1821 351 1788 1265 1249 91 1327 910 476 1219 850 475 1321 1439 2192 954 867 65 61 1895 1144 1032 1324 132 367 419 1721 1580 896 344 1051 1216 1849 223 1074 129 913 68 924 2040 2361 135 859 1607 2357 2012 1433 1302 1609 1796 1165 1714 2339 1677 923 1134 626 826 48 2005 165 498 1702 1130 1342 856 631 2196 134 1657 2173 98 1071 333 1455 1574 51 1811 747 1447 932 1282 2207 1201 1840 501 104 1418 1477 1008 1486 1307 62 1283 1996 609 1405 920 587 2280 1206 1203 2322 732 1509 2188 952')","('val_samples', '386 699 2013 201 1522 1329 689 1173 857 111 81 2291 27 2213 761 1700 2250 245 1354 356 1346 982 547 276 1712 1519 2163 513 1474 661 2399 1500 2067 1208 731 255 858 1803 602 1297 2185 1356 905 777 1264 1020 1248 1954 1425 2297 250 1598 2342 1333 432 849 190 1833 2343 1199 833 1224 106 171 2151 1695 769 5 416 1844 1508 582 2249 1459 1117 765 1606 1671 739 992 1220 1118 340 1736 2338 613 1634 2241 22 1558 1903 981 112 1536 578 1868 1947 1348 1780 1040')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 128)","('number_val_samples', 100)","('number_test_samples', 2172)","('mean_test_loss', 2.6198890617539212)","('test_acc', 0.900869014732965)","('test_f1', 0.9030921336938463)","('test_prec', 0.9137182377988452)","('test_reca', 0.900869014732965)","('test_roc', 0.9889376462262627)","('mean_train_loss', 2.534258347004652)","('train_acc', 0.98388671875)","('train_f1', 0.9830386790138771)","('train_prec', 0.9865701546959006)","('train_reca', 0.98388671875)","('train_roc', 0.992916876269925)","('mean_val_loss', 2.6164462208747863)","('val_acc', 0.9034375)","('val_f1', 0.9057501551825569)","('val_prec', 0.9163399371161933)","('val_reca', 0.9034374999999999)","('val_roc', 0.9889667842741935)","('pytorch_total_params', 33441)","('train_time', 2147.753143787384)","('best_epoch', 427)","('experiment_id', '923')","('train_samples', '406 1734 1571 1591 125 1953 2127 371 360 1532 822 1357 921 492 324 165 2352 2181 2343 1964 2219 1502 485 934 108 2238 1873 738 1753 198 732 692 1908 675 1006 627 1713 1963 2260 1701 988 1930 2249 297 969 1292 1486 92 931 980 1364 729 868 2057 1435 1683 1985 84 1132 1569 1826 2381 1546 580 1797 1220 1194 1962 1937 1423 1933 521 2387 1250 386 462 1725 1454 412 774 1717 842 1583 1047 1419 423 1764 1887 2149 1142 1098 1017 1150 59 1183 225 394 301 295 1738 2003 260 1072 1951 489 607 1695 1225 283 1213 54 1608 472 2110 1892 678 2388 1584 1763 413 1456 1769 603 1833 673 1559 396 1993')","('val_samples', '262 25 744 1406 1668 113 308 1133 310 1845 1843 1392 1308 872 2253 978 2002 843 2019 1510 2090 2375 665 2046 2345 873 220 1759 1922 1943 942 1961 1916 2010 562 130 1549 422 2031 1686 2169 1161 2145 369 1974 397 631 1378 382 2209 170 2041 1209 1068 929 24 961 1603 40 258 1443 150 1113 919 1057 2072 1664 1506 1281 2247 884 1772 1296 1927 46 363 1825 1145 2102 1290 2263 2125 566 73 287 1655 1707 2089 1774 229 2141 1853 806 689 1461 1837 237 2095 2395 1913')"
"('eeg_feature', 'raw')","('model', 'CNN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 128)","('number_val_samples', 100)","('number_test_samples', 2172)","('mean_test_loss', 2.653484139433662)","('test_acc', 0.8677054558011049)","('test_f1', 0.8658424764911424)","('test_prec', 0.8847009580320193)","('test_reca', 0.867705455801105)","('test_roc', 0.9762500142184247)","('mean_train_loss', 2.57147023268044)","('train_acc', 0.9462890625)","('train_f1', 0.9412537441670299)","('train_prec', 0.9550915493018793)","('train_reca', 0.9462890625)","('train_roc', 0.9809367579798545)","('mean_val_loss', 2.650849223136902)","('val_acc', 0.8725)","('val_f1', 0.8708134524917537)","('val_prec', 0.894415122749273)","('val_reca', 0.8725)","('val_roc', 0.974267439516129)","('pytorch_total_params', 33441)","('train_time', 1320.60799574852)","('best_epoch', 239)","('experiment_id', '1031')","('train_samples', '1608 2246 871 151 1148 719 745 2318 641 1514 301 1694 343 2057 390 173 1255 476 705 814 1455 1036 2056 619 1068 1948 640 2036 28 2227 924 22 2015 2300 2271 108 1907 1631 2238 540 361 649 656 1134 2280 2150 16 996 1253 936 430 1079 826 696 1891 335 2039 59 2296 2109 685 314 771 2295 1890 315 624 2038 1376 2305 1006 506 927 1014 541 1466 1128 765 511 2336 2016 1587 1284 947 718 164 521 867 508 1302 1290 1444 1011 833 1454 1187 948 1362 3 2277 546 775 2221 1098 1947 445 1568 1944 2040 417 1118 329 2061 286 2148 577 229 712 686 1601 1219 2092 1075 1668 944 752 2230 969')","('val_samples', '1965 1165 441 1896 278 2272 379 2023 1576 2267 1183 2119 2168 1914 1821 1470 2073 1630 595 1534 1688 2127 698 856 2172 233 1758 1227 40 2245 270 1004 706 1077 1480 1103 520 560 1016 2193 498 327 2139 930 1833 1133 949 274 1100 1871 1125 47 118 904 2334 1387 193 781 348 905 839 1564 1881 1994 1895 447 1367 1221 467 1299 1170 1712 621 196 1984 1064 2395 1437 337 657 1041 1730 1214 330 2217 909 605 2317 1682 912 305 1760 1413 1751 1879 79 1067 1460 614 1855')"
