eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params,train_time,best_epoch
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 2.0)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.8919884258232083)","('test_acc', 0.6393312101910829)","('test_f1', 0.590428424804779)","('test_prec', 0.5856518506016815)","('test_reca', 0.6393312101910827)","('test_roc', 0.9526871278677584)","('pytorch_total_params', 6309)","('train_time', 414.3234233856201)","('best_epoch', 846)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 2.0)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.680682624980902)","('test_acc', 0.8680903093721565)","('test_f1', 0.8634753823944743)","('test_prec', 0.8798954488958287)","('test_reca', 0.8680903093721565)","('test_roc', 0.9926514411114136)","('pytorch_total_params', 6309)","('train_time', 347.89797830581665)","('best_epoch', 716)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 2.0)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.816333363119096)","('test_acc', 0.7345882620564149)","('test_f1', 0.6774997170560795)","('test_prec', 0.6626006196999377)","('test_reca', 0.7345882620564149)","('test_roc', 0.9737577766796448)","('pytorch_total_params', 6309)","('train_time', 206.04287481307983)","('best_epoch', 407)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 2.0)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.823759573171961)","('test_acc', 0.7090536851683349)","('test_f1', 0.6374800110820049)","('test_prec', 0.603460957173471)","('test_reca', 0.7090536851683349)","('test_roc', 0.9623187314877844)","('pytorch_total_params', 6309)","('train_time', 274.85740423202515)","('best_epoch', 554)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 2.0)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 3.465741867038529)","('test_acc', 0.02388535031847134)","('test_f1', 0.0022294197110385317)","('test_prec', 0.0011762883802003787)","('test_reca', 0.023885350318471336)","('test_roc', 0.5066813869058647)","('pytorch_total_params', 6309)","('train_time', 14.70236349105835)","('best_epoch', 1)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 2.0)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.6260535545626804)","('test_acc', 0.9093209736123748)","('test_f1', 0.9009610927619072)","('test_prec', 0.9199322675638495)","('test_reca', 0.9093209736123748)","('test_roc', 0.9932451240999672)","('pytorch_total_params', 6309)","('train_time', 293.08379077911377)","('best_epoch', 595)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 2.0)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.7176968998210445)","('test_acc', 0.8121019108280255)","('test_f1', 0.7867669315772006)","('test_prec', 0.7938719249969438)","('test_reca', 0.8121019108280254)","('test_roc', 0.9784942287377719)","('pytorch_total_params', 6309)","('train_time', 822.8897495269775)","('best_epoch', 1769)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 2.0)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 3.4657535939134174)","('test_acc', 0.03125)","('test_f1', 0.001893939393939394)","('test_prec', 0.0009765625)","('test_reca', 0.03125)","('test_roc', 0.46669297210985755)","('pytorch_total_params', 6309)","('train_time', 14.492741823196411)","('best_epoch', 1)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 2.0)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.5)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 3.4657469803469088)","('test_acc', 0.03125)","('test_f1', 0.001893939393939394)","('test_prec', 0.0009765625)","('test_reca', 0.03125)","('test_roc', 0.480353891313435)","('pytorch_total_params', 6309)","('train_time', 13.909231185913086)","('best_epoch', 1)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 2.0)","('batch_size', 16)","('learning_rate', 0.0005)","('dropout_rate', 0.0)","('weight_decay', 0.16)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1099)","('mean_test_loss', 2.661847999683828)","('test_acc', 0.8625739308462238)","('test_f1', 0.8465328619037762)","('test_prec', 0.8433654939046731)","('test_reca', 0.8625739308462239)","('test_roc', 0.9826246611710843)","('pytorch_total_params', 6309)","('train_time', 720.9448533058167)","('best_epoch', 1532)"
