eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params,train_time,best_epoch
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.0)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.0246751850070943)","('test_acc', 0.4979583422004682)","('test_f1', 0.4589010593496397)","('test_prec', 0.49845741213619515)","('test_reca', 0.49795834220046825)","('test_roc', 0.8970000612800714)","('pytorch_total_params', 6309)","('train_time', 90.62344193458557)","('best_epoch', 156)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.0090894523288982)","('test_acc', 0.5185411789742499)","('test_f1', 0.4336299364393724)","('test_prec', 0.42156976392243317)","('test_reca', 0.5185411789742498)","('test_roc', 0.9233936365288729)","('pytorch_total_params', 6309)","('train_time', 63.84334468841553)","('best_epoch', 106)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.856606511745993)","('test_acc', 0.662541232177059)","('test_f1', 0.5811230957534503)","('test_prec', 0.5483997303432615)","('test_reca', 0.662541232177059)","('test_roc', 0.9554166779306899)","('pytorch_total_params', 6309)","('train_time', 132.48810696601868)","('best_epoch', 258)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.0)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.0225183396015707)","('test_acc', 0.4996475313896574)","('test_f1', 0.4169763587536968)","('test_prec', 0.39513054748350285)","('test_reca', 0.4996475313896574)","('test_roc', 0.8906914176136607)","('pytorch_total_params', 6309)","('train_time', 67.30093693733215)","('best_epoch', 113)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.25)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.810123166522464)","('test_acc', 0.7147132368589062)","('test_f1', 0.6760662932525193)","('test_prec', 0.6786901899076392)","('test_reca', 0.7147132368589062)","('test_roc', 0.9488546995264188)","('pytorch_total_params', 6309)","('train_time', 54.223994731903076)","('best_epoch', 88)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.5)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.4526891406228324)","('test_acc', 0.05194589274313684)","('test_f1', 0.016842900882366344)","('test_prec', 0.01562573404681206)","('test_reca', 0.05194589274313684)","('test_roc', 0.5649928888426075)","('pytorch_total_params', 6309)","('train_time', 41.674793004989624)","('best_epoch', 58)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.0)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.465741073686941)","('test_acc', 0.03125)","('test_f1', 0.001893939393939394)","('test_prec', 0.0009765625)","('test_reca', 0.03125)","('test_roc', 0.49846512873266796)","('pytorch_total_params', 6309)","('train_time', 14.1138756275177)","('best_epoch', 1)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.25)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.786836206976417)","('test_acc', 0.7365463396467333)","('test_f1', 0.6975092304635767)","('test_prec', 0.7014146353109969)","('test_reca', 0.7365463396467333)","('test_roc', 0.9596308911618918)","('pytorch_total_params', 6309)","('train_time', 48.182498931884766)","('best_epoch', 73)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.5)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.9788133754301995)","('test_acc', 0.5412986805703341)","('test_f1', 0.47873283173996717)","('test_prec', 0.4663112540801074)","('test_reca', 0.5412986805703341)","('test_roc', 0.8999337536659003)","('pytorch_total_params', 6309)","('train_time', 141.92095255851746)","('best_epoch', 276)"
"('eeg_feature', 'wav')","('model', 'CNN')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.0)","('weight_decay', 0.16)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.9754776556863765)","('test_acc', 0.545089380719302)","('test_f1', 0.49520948975844614)","('test_prec', 0.4893164095067574)","('test_reca', 0.545089380719302)","('test_roc', 0.9139185396020537)","('pytorch_total_params', 6309)","('train_time', 174.75539541244507)","('best_epoch', 343)"
