eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8137799119107085)","('test_acc', 0.7461760480953394)","('test_f1', 0.7266543457910755)","('test_prec', 0.7518584292267624)","('test_reca', 0.7461760480953394)","('test_roc', 0.9775332450363585)","('mean_train_loss', 2.518158435821533)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.817073628902435)","('val_acc', 0.7440625)","('val_f1', 0.7250758778717701)","('val_prec', 0.7510562484599185)","('val_reca', 0.7440625)","('val_roc', 0.977814314516129)","('pytorch_total_params', 133536)","('train_time', 304.83601999282837)","('best_epoch', 194)","('train_samples', '946/4800 v7 53.0-53.5')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 128)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.919545835727173)","('test_acc', 0.6209565865077676)","('test_f1', 0.567681288096002)","('test_prec', 0.5911569289355199)","('test_reca', 0.6209565865077676)","('test_roc', 0.9286406256568904)","('mean_train_loss', 2.548919200897217)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 0.997983870967742)","('mean_val_loss', 2.9233770775794983)","('val_acc', 0.616875)","('val_f1', 0.5632495814526234)","('val_prec', 0.5773876886075868)","('val_reca', 0.6168750000000001)","('val_roc', 0.9289777217741935)","('pytorch_total_params', 529184)","('train_time', 243.85901355743408)","('best_epoch', 147)","('train_samples', '4292/4800 v35 46.0-46.5')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 256)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.878065338437165)","('test_acc', 0.6553854543519898)","('test_f1', 0.6151057619953746)","('test_prec', 0.6654768188712871)","('test_reca', 0.6553854543519897)","('test_roc', 0.947762516507502)","('mean_train_loss', 2.518730640411377)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.874120383262634)","('val_acc', 0.6575)","('val_f1', 0.6139882799974495)","('val_prec', 0.6651405049635333)","('val_reca', 0.6575)","('val_roc', 0.9481402217741934)","('pytorch_total_params', 2106912)","('train_time', 104.61681008338928)","('best_epoch', 31)","('train_samples', '2215/4800 v18 27.5-28.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 512)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.969976382398636)","('test_acc', 0.5484943605022345)","('test_f1', 0.47458429392462287)","('test_prec', 0.5225266491339811)","('test_reca', 0.5484943605022345)","('test_roc', 0.9204529733703368)","('mean_train_loss', 2.6425704956054688)","('train_acc', 0.875)","('train_f1', 0.8333333333333333)","('train_prec', 0.8125)","('train_reca', 0.875)","('train_roc', 0.996975806451613)","('mean_val_loss', 2.9677374076843264)","('val_acc', 0.554375)","('val_f1', 0.48025717519826655)","('val_prec', 0.5312338607309881)","('val_reca', 0.5543750000000001)","('val_roc', 0.9188386592741935)","('pytorch_total_params', 8408096)","('train_time', 104.22352600097656)","('best_epoch', 27)","('train_samples', '3566/4800 v29 43.0-43.5')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 1024)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.084579007223226)","('test_acc', 0.43709432858054903)","('test_f1', 0.367761774945583)","('test_prec', 0.4594242366528164)","('test_reca', 0.43709432858054903)","('test_roc', 0.8688903780519395)","('mean_train_loss', 2.7952282428741455)","('train_acc', 0.71875)","('train_f1', 0.6510416666666666)","('train_prec', 0.6260416666666666)","('train_reca', 0.71875)","('train_roc', 0.967741935483871)","('mean_val_loss', 3.086793825626373)","('val_acc', 0.4340625)","('val_f1', 0.36622792107108715)","('val_prec', 0.43210037606760465)","('val_reca', 0.4340625)","('val_roc', 0.8662914314516129)","('pytorch_total_params', 33593376)","('train_time', 58.7319176197052)","('best_epoch', 5)","('train_samples', '1868/4800 v15 34.0-34.5')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.966188780473481)","('test_acc', 0.612158171951479)","('test_f1', 0.5539166004698939)","('test_prec', 0.5698309396761458)","('test_reca', 0.612158171951479)","('test_roc', 0.8996881999425066)","('mean_train_loss', 2.580545425415039)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.997983870967742)","('mean_val_loss', 2.9661365580558776)","('val_acc', 0.6059375)","('val_f1', 0.5445172885389304)","('val_prec', 0.5589770787036263)","('val_reca', 0.6059375)","('val_roc', 0.9009637600806452)","('pytorch_total_params', 133536)","('train_time', 216.79288268089294)","('best_epoch', 97)","('train_samples', '3830/4800 v31 55.0-55.5')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 128)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.889583666645788)","('test_acc', 0.656742125984252)","('test_f1', 0.6112888990001953)","('test_prec', 0.6504651848247361)","('test_reca', 0.6567421259842521)","('test_roc', 0.9599198048377835)","('mean_train_loss', 2.54878830909729)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.8878654766082765)","('val_acc', 0.66)","('val_f1', 0.6124951647424053)","('val_prec', 0.652377151750108)","('val_reca', 0.66)","('val_roc', 0.959511189516129)","('pytorch_total_params', 529184)","('train_time', 253.85499477386475)","('best_epoch', 155)","('train_samples', '4697/4800 v39 8.5-9.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 256)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8432725104506305)","('test_acc', 0.6872472866567355)","('test_f1', 0.6594821006346563)","('test_prec', 0.7092638446162555)","('test_reca', 0.6872472866567355)","('test_roc', 0.9637304036295435)","('mean_train_loss', 2.518043041229248)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.845051319599152)","('val_acc', 0.684375)","('val_f1', 0.6569947510073288)","('val_prec', 0.7171164214322896)","('val_reca', 0.684375)","('val_roc', 0.9640432459677419)","('pytorch_total_params', 2106912)","('train_time', 128.76503562927246)","('best_epoch', 59)","('train_samples', '3128/4800 v26 4.0-4.5')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 512)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8704932442267515)","('test_acc', 0.6497393062353692)","('test_f1', 0.6170333611640695)","('test_prec', 0.7063745385315181)","('test_reca', 0.6497393062353692)","('test_roc', 0.9456578628277783)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.8606139492988585)","('val_acc', 0.66)","('val_f1', 0.6270572859099057)","('val_prec', 0.6931276138970648)","('val_reca', 0.6599999999999999)","('val_roc', 0.943894002016129)","('pytorch_total_params', 8408096)","('train_time', 227.34270477294922)","('best_epoch', 95)","('train_samples', '2355/4800 v19 37.5-38.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 1024)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.08375325677851)","('test_acc', 0.44087172802723984)","('test_f1', 0.3723212753330556)","('test_prec', 0.4261468376419915)","('test_reca', 0.44087172802723984)","('test_roc', 0.8512530358013601)","('mean_train_loss', 2.8539109230041504)","('train_acc', 0.65625)","('train_f1', 0.5645833333333333)","('train_prec', 0.5286458333333333)","('train_reca', 0.65625)","('train_roc', 0.9526209677419355)","('mean_val_loss', 3.0822783088684083)","('val_acc', 0.43875)","('val_f1', 0.3728755669655532)","('val_prec', 0.39635791538884635)","('val_reca', 0.43875000000000003)","('val_roc', 0.8560217237903227)","('pytorch_total_params', 33593376)","('train_time', 57.99412512779236)","('best_epoch', 4)","('train_samples', '4052/4800 v33 46.0-46.5')"
