eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.764400556223348)","('test_acc', 0.7844035450195738)","('test_f1', 0.7534920305674528)","('test_prec', 0.7763508013121208)","('test_reca', 0.7844035450195737)","('test_roc', 0.9791442391077221)","('mean_train_loss', 2.549051523208618)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 0.998991935483871)","('mean_val_loss', 2.7705205392837526)","('val_acc', 0.7775)","('val_f1', 0.7473980127584836)","('val_prec', 0.780827477509275)","('val_reca', 0.7775000000000001)","('val_roc', 0.9788168346774193)","('pytorch_total_params', 133536)","('train_time', 306.6364209651947)","('best_epoch', 195)","('train_samples', '1803/2400 v30 3.0-4.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.817951482085883)","('test_acc', 0.7270008699434537)","('test_f1', 0.7002015951690728)","('test_prec', 0.7590112452354864)","('test_reca', 0.7270008699434537)","('test_roc', 0.9768881228102685)","('mean_train_loss', 2.5181150436401367)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.8220306038856506)","('val_acc', 0.7165625)","('val_f1', 0.6855817838238315)","('val_prec', 0.7452849406047047)","('val_reca', 0.7165625)","('val_roc', 0.9776288306451613)","('pytorch_total_params', 529184)","('train_time', 253.13511681556702)","('best_epoch', 155)","('train_samples', '560/2400 v9 20.0-21.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.803415627415256)","('test_acc', 0.726389190952588)","('test_f1', 0.6859426240167041)","('test_prec', 0.7009678566979882)","('test_reca', 0.7263891909525881)","('test_roc', 0.9642906909729027)","('mean_train_loss', 2.6102092266082764)","('train_acc', 0.90625)","('train_f1', 0.8802083333333333)","('train_prec', 0.8697916666666666)","('train_reca', 0.90625)","('train_roc', 0.996975806451613)","('mean_val_loss', 2.8079443883895876)","('val_acc', 0.7215625)","('val_f1', 0.6795339383663768)","('val_prec', 0.6857076401880302)","('val_reca', 0.7215625)","('val_roc', 0.9627288306451613)","('pytorch_total_params', 2106912)","('train_time', 283.7673411369324)","('best_epoch', 142)","('train_samples', '585/2400 v9 45.0-46.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8351452385876272)","('test_acc', 0.685719334493258)","('test_f1', 0.6455420274858681)","('test_prec', 0.6884615305110682)","('test_reca', 0.685719334493258)","('test_roc', 0.9497220491780247)","('mean_train_loss', 2.6109206676483154)","('train_acc', 0.90625)","('train_f1', 0.875)","('train_prec', 0.859375)","('train_reca', 0.90625)","('train_roc', 0.9969758064516129)","('mean_val_loss', 2.8358734226226807)","('val_acc', 0.6859375)","('val_f1', 0.6450461841565445)","('val_prec', 0.6840982174609098)","('val_reca', 0.6859375)","('val_roc', 0.9496723790322581)","('pytorch_total_params', 8408096)","('train_time', 123.55756974220276)","('best_epoch', 36)","('train_samples', '1826/2400 v30 26.0-27.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.840618874934405)","('test_acc', 0.6780393649412788)","('test_f1', 0.5979748242473859)","('test_prec', 0.6172743993985585)","('test_reca', 0.6780393649412788)","('test_roc', 0.908334050832631)","('mean_train_loss', 2.673718214035034)","('train_acc', 0.84375)","('train_f1', 0.796875)","('train_prec', 0.7760416666666667)","('train_reca', 0.84375)","('train_roc', 0.96875)","('mean_val_loss', 2.844750850200653)","('val_acc', 0.675)","('val_f1', 0.5953677123901229)","('val_prec', 0.5550848443547205)","('val_reca', 0.675)","('val_roc', 0.9073010080645161)","('pytorch_total_params', 33593376)","('train_time', 121.91239500045776)","('best_epoch', 38)","('train_samples', '1114/2400 v18 34.0-35.0')"
"('eeg_feature', 'wav')","('model', 'GIN')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.0560185862603837)","('test_acc', 0.4616681165724228)","('test_f1', 0.3854562988026399)","('test_prec', 0.43179131343826327)","('test_reca', 0.4616681165724228)","('test_roc', 0.8020885098016887)","('mean_train_loss', 2.798978090286255)","('train_acc', 0.71875)","('train_f1', 0.6479166666666667)","('train_prec', 0.6223958333333333)","('train_reca', 0.71875)","('train_roc', 0.8724798387096775)","('mean_val_loss', 3.05358624458313)","('val_acc', 0.463125)","('val_f1', 0.38722960923349903)","('val_prec', 0.4142155783100642)","('val_reca', 0.463125)","('val_roc', 0.8037414314516129)","('pytorch_total_params', 134295584)","('train_time', 140.0629518032074)","('best_epoch', 39)","('train_samples', '1490/2400 v24 50.0-51.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8626994929037806)","('test_acc', 0.7014598738581992)","('test_f1', 0.6585509778588872)","('test_prec', 0.6573775898214108)","('test_reca', 0.7014598738581992)","('test_roc', 0.9576391256479329)","('mean_train_loss', 2.611802816390991)","('train_acc', 0.90625)","('train_f1', 0.875)","('train_prec', 0.859375)","('train_reca', 0.90625)","('train_roc', 0.9969758064516129)","('mean_val_loss', 2.85875235080719)","('val_acc', 0.70375)","('val_f1', 0.6601461638918618)","('val_prec', 0.6572296548770054)","('val_reca', 0.7037500000000001)","('val_roc', 0.9587444556451614)","('pytorch_total_params', 133536)","('train_time', 227.96789860725403)","('best_epoch', 138)","('train_samples', '1778/2400 v29 38.0-39.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.7217304281381587)","('test_acc', 0.8097950195737277)","('test_f1', 0.777556553353112)","('test_prec', 0.8213582828134595)","('test_reca', 0.8097950195737278)","('test_roc', 0.9850116865350791)","('mean_train_loss', 2.51804780960083)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.720996987819672)","('val_acc', 0.81125)","('val_f1', 0.779384022644675)","('val_prec', 0.827143620332597)","('val_reca', 0.81125)","('val_roc', 0.9855166330645162)","('pytorch_total_params', 529184)","('train_time', 400.8454785346985)","('best_epoch', 248)","('train_samples', '1891/2400 v31 31.0-32.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8013466628233523)","('test_acc', 0.7317719660722053)","('test_f1', 0.708661388774781)","('test_prec', 0.7316570423846094)","('test_reca', 0.7317719660722053)","('test_roc', 0.9763622414340754)","('mean_train_loss', 2.5493526458740234)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.795284380912781)","('val_acc', 0.736875)","('val_f1', 0.7131423277200535)","('val_prec', 0.7370575862659654)","('val_reca', 0.736875)","('val_roc', 0.9788081653225806)","('pytorch_total_params', 2106912)","('train_time', 320.0793318748474)","('best_epoch', 155)","('train_samples', '2334/2400 v38 54.0-55.0')"
"('eeg_feature', 'psd')","('model', 'GIN')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8545890943337233)","('test_acc', 0.6646096128751631)","('test_f1', 0.6199062670046149)","('test_prec', 0.6980698495650461)","('test_reca', 0.6646096128751631)","('test_roc', 0.9422285910756818)","('mean_train_loss', 2.58042311668396)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.9894153225806452)","('mean_val_loss', 2.8518550491333006)","('val_acc', 0.6690625)","('val_f1', 0.6258513452127541)","('val_prec', 0.6983855361562666)","('val_reca', 0.6690625)","('val_roc', 0.9433354838709678)","('pytorch_total_params', 8408096)","('train_time', 133.64549040794373)","('best_epoch', 53)","('train_samples', '1515/2400 v25 15.0-16.0')"
