eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.7385109420227582)","('test_acc', 0.8153064481804639)","('test_f1', 0.7919895179197911)","('test_prec', 0.8123310387769374)","('test_reca', 0.8153064481804639)","('test_roc', 0.9854134734520381)","('mean_train_loss', 2.5182855129241943)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.737693226337433)","('val_acc', 0.8190625)","('val_f1', 0.7965752909544084)","('val_prec', 0.820253429180432)","('val_reca', 0.8190625)","('val_roc', 0.9847061491935484)","('pytorch_total_params', 10372)","('train_time', 1717.5635845661163)","('best_epoch', 636)","('train_samples', '444/4800 v3 42.0-42.5')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.710926295240069)","('test_acc', 0.854610023409236)","('test_f1', 0.8360548899111393)","('test_prec', 0.8638258312543466)","('test_reca', 0.8546100234092361)","('test_roc', 0.9918893722466042)","('mean_train_loss', 2.518537998199463)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.710658361911774)","('val_acc', 0.8521875)","('val_f1', 0.8336098864819017)","('val_prec', 0.8651837991822438)","('val_reca', 0.8521875)","('val_roc', 0.9920046370967742)","('pytorch_total_params', 20676)","('train_time', 1070.5985763072968)","('best_epoch', 409)","('train_samples', '367/4800 v3 3.5-4.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.7452726458001324)","('test_acc', 0.8041205575654394)","('test_f1', 0.7752802717465556)","('test_prec', 0.7789541854373248)","('test_reca', 0.8041205575654394)","('test_roc', 0.9749556088547897)","('mean_train_loss', 2.518153190612793)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7533536887168886)","('val_acc', 0.7978125)","('val_f1', 0.7693820664457132)","('val_prec', 0.7729193860548491)","('val_reca', 0.7978125)","('val_roc', 0.9731496975806452)","('pytorch_total_params', 41284)","('train_time', 1930.8987653255463)","('best_epoch', 733)","('train_samples', '2149/4800 v17 54.5-55.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8428640760850796)","('test_acc', 0.7150258033624175)","('test_f1', 0.6752239936648703)","('test_prec', 0.702432884209677)","('test_reca', 0.7150258033624175)","('test_roc', 0.9751494670538646)","('mean_train_loss', 2.518052816390991)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.8450596380233764)","('val_acc', 0.709375)","('val_f1', 0.6686648193891311)","('val_prec', 0.7019812882745207)","('val_reca', 0.709375)","('val_roc', 0.9766399193548387)","('pytorch_total_params', 82500)","('train_time', 4578.479664325714)","('best_epoch', 1901)","('train_samples', '3338/4800 v27 49.0-49.5')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 1024)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.6932814751921574)","('test_acc', 0.8538252819748883)","('test_f1', 0.8406283208270089)","('test_prec', 0.8507188296877792)","('test_reca', 0.8538252819748884)","('test_roc', 0.9931312957494433)","('mean_train_loss', 2.5180437564849854)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.693872122764587)","('val_acc', 0.851875)","('val_f1', 0.8385621980023505)","('val_prec', 0.8489468973067822)","('val_reca', 0.8518749999999999)","('val_roc', 0.9933094758064517)","('pytorch_total_params', 164932)","('train_time', 6108.425736665726)","('best_epoch', 2530)","('train_samples', '4467/4800 v37 13.5-14.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.767674579395084)","('test_acc', 0.7721124175356459)","('test_f1', 0.7431447352893421)","('test_prec', 0.768146982386587)","('test_reca', 0.7721124175356459)","('test_roc', 0.9863974795517159)","('mean_train_loss', 2.5180435180664062)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7684090614318846)","('val_acc', 0.774375)","('val_f1', 0.7433469198036545)","('val_prec', 0.7663437872232838)","('val_reca', 0.774375)","('val_roc', 0.9857222782258065)","('pytorch_total_params', 329796)","('train_time', 5021.848801612854)","('best_epoch', 2113)","('train_samples', '3852/4800 v32 6.0-6.5')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 2.6378070891487084)","('test_acc', 0.909549276287782)","('test_f1', 0.9054535039522241)","('test_prec', 0.9121502632053686)","('test_reca', 0.909549276287782)","('test_roc', 0.9972238948375025)","('mean_train_loss', 2.5182604789733887)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6371684432029725)","('val_acc', 0.9075)","('val_f1', 0.9040823466823842)","('val_prec', 0.9119871570739481)","('val_reca', 0.9075)","('val_roc', 0.997103629032258)","('pytorch_total_params', 10372)","('train_time', 892.3301923274994)","('best_epoch', 383)","('train_samples', '2508/4800 v20 54.0-54.5\n3529/4800 v29 24.5-25.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 2.6450291894354074)","('test_acc', 0.8942834716900809)","('test_f1', 0.8818833360808392)","('test_prec', 0.885249467692018)","('test_reca', 0.8942834716900809)","('test_roc', 0.9929029969905729)","('mean_train_loss', 2.518082022666931)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6472233867645265)","('val_acc', 0.89)","('val_f1', 0.8759973004142425)","('val_prec', 0.8787343920028159)","('val_reca', 0.8900000000000001)","('val_roc', 0.9922095766129032)","('pytorch_total_params', 20676)","('train_time', 1511.6565327644348)","('best_epoch', 672)","('train_samples', '4503/4800 v37 31.5-32.0\n3597/4800 v29 58.5-59.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 2.646343160254136)","('test_acc', 0.8938644103873989)","('test_f1', 0.8868710581366257)","('test_prec', 0.8957315457728342)","('test_reca', 0.8938644103873989)","('test_roc', 0.9956621123283607)","('mean_train_loss', 2.518079400062561)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.651829743385315)","('val_acc', 0.8853125)","('val_f1', 0.8766753391751889)","('val_prec', 0.8844108362080927)","('val_reca', 0.8853125)","('val_roc', 0.9955840725806452)","('pytorch_total_params', 41284)","('train_time', 1465.6696021556854)","('best_epoch', 672)","('train_samples', '62/4800 v0 31.000000000000004-31.500000000000004\n397/4800 v3 18.5-19.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 4698)","('mean_test_loss', 2.67318253945472)","('test_acc', 0.8645035121328225)","('test_f1', 0.8539017690122305)","('test_prec', 0.8641715580858721)","('test_reca', 0.8645035121328224)","('test_roc', 0.9928111975128463)","('mean_train_loss', 2.5180985927581787)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6708734011650086)","('val_acc', 0.8640625)","('val_f1', 0.8523633927047269)","('val_prec', 0.8613954030879739)","('val_reca', 0.8640625)","('val_roc', 0.9935397177419354)","('pytorch_total_params', 82500)","('train_time', 1163.8856596946716)","('best_epoch', 509)","('train_samples', '2834/4800 v23 37.0-37.5\n279/4800 v2 19.5-20.0')"
