eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.654068918941642)","('test_acc', 0.8972651152675076)","('test_f1', 0.8858555301493295)","('test_prec', 0.8961364066785134)","('test_reca', 0.8972651152675076)","('test_roc', 0.995946734015317)","('mean_train_loss', 2.51825213432312)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6575987195968627)","('val_acc', 0.8909375)","('val_f1', 0.877601622457856)","('val_prec', 0.8887781879968708)","('val_reca', 0.8909375)","('val_roc', 0.996139314516129)","('pytorch_total_params', 10372)","('train_time', 1488.6161468029022)","('best_epoch', 576)","('train_samples', '2194/2400 v36 34.0-35.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.709383837603237)","('test_acc', 0.8436820356676816)","('test_f1', 0.829795550801061)","('test_prec', 0.8441264957520402)","('test_reca', 0.8436820356676816)","('test_roc', 0.9910352065574956)","('mean_train_loss', 2.5181362628936768)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7108055543899536)","('val_acc', 0.8403125)","('val_f1', 0.8248761033233031)","('val_prec', 0.8436733060673343)","('val_reca', 0.8403125)","('val_roc', 0.9912821572580646)","('pytorch_total_params', 20676)","('train_time', 1829.361855506897)","('best_epoch', 818)","('train_samples', '1953/2400 v32 32.99999999999977-33.99999999999977')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6502984926564737)","('test_acc', 0.8888239451935624)","('test_f1', 0.8713646083308656)","('test_prec', 0.8942857790672609)","('test_reca', 0.8888239451935624)","('test_roc', 0.9909179622909376)","('mean_train_loss', 2.5181589126586914)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.646609377861023)","('val_acc', 0.8909375)","('val_f1', 0.8757542443197239)","('val_prec', 0.901790342056319)","('val_reca', 0.8909374999999999)","('val_roc', 0.9914105846774193)","('pytorch_total_params', 41284)","('train_time', 1869.9681062698364)","('best_epoch', 777)","('train_samples', '812/2400 v13 32.0-33.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.625926587725785)","('test_acc', 0.92442366246194)","('test_f1', 0.9192860206840214)","('test_prec', 0.9273485737654383)","('test_reca', 0.92442366246194)","('test_roc', 0.998400575128639)","('mean_train_loss', 2.518110752105713)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6303894925117492)","('val_acc', 0.918125)","('val_f1', 0.9123143291789588)","('val_prec', 0.9248406640518476)","('val_reca', 0.918125)","('val_roc', 0.9980915322580646)","('pytorch_total_params', 82500)","('train_time', 1859.357659816742)","('best_epoch', 794)","('train_samples', '312/2400 v5 12.0-13.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6287755595958457)","('test_acc', 0.918864180078295)","('test_f1', 0.9127950508300992)","('test_prec', 0.9254889595565696)","('test_reca', 0.9188641800782948)","('test_roc', 0.9968446193359907)","('mean_train_loss', 2.518085241317749)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6281303858757017)","('val_acc', 0.919375)","('val_f1', 0.914414274719633)","('val_prec', 0.9279786266334185)","('val_reca', 0.919375)","('val_roc', 0.9973132056451613)","('pytorch_total_params', 164932)","('train_time', 1867.492814540863)","('best_epoch', 836)","('train_samples', '2261/2400 v37 41.0-42.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.637358642236312)","('test_acc', 0.9068073075250108)","('test_f1', 0.9011455385588543)","('test_prec', 0.9099415496160492)","('test_reca', 0.9068073075250109)","('test_roc', 0.9978085496157398)","('mean_train_loss', 2.518043279647827)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6407568573951723)","('val_acc', 0.9015625)","('val_f1', 0.8946338261834431)","('val_prec', 0.9053796128327619)","('val_reca', 0.9015625)","('val_roc', 0.9974395161290323)","('pytorch_total_params', 329796)","('train_time', 4456.406354427338)","('best_epoch', 2045)","('train_samples', '1428/2400 v23 48.0-49.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.5864276242733415)","('test_acc', 0.946529590948651)","('test_f1', 0.9451933716598879)","('test_prec', 0.9481655113869522)","('test_reca', 0.946529590948651)","('test_roc', 0.9986814147004521)","('mean_train_loss', 2.5181093215942383)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.58586745262146)","('val_acc', 0.9496875)","('val_f1', 0.9481366990439286)","('val_prec', 0.9512634751221469)","('val_reca', 0.9496875)","('val_roc', 0.9989036290322582)","('pytorch_total_params', 10372)","('train_time', 1242.7657988071442)","('best_epoch', 504)","('train_samples', '194/2400 v3 14.0-15.0\n1184/2400 v19 44.0-45.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.5800356689590904)","('test_acc', 0.9554231940818103)","('test_f1', 0.9531505770730943)","('test_prec', 0.9552840993299625)","('test_reca', 0.9554231940818102)","('test_roc', 0.9992022212325147)","('mean_train_loss', 2.5181424617767334)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5836591577529906)","('val_acc', 0.9521875)","('val_f1', 0.9492146998888246)","('val_prec', 0.95137115123591)","('val_reca', 0.9521875000000001)","('val_roc', 0.9989956653225807)","('pytorch_total_params', 20676)","('train_time', 972.7712640762329)","('best_epoch', 418)","('train_samples', '904/2400 v15 4.0-5.0\n781/2400 v13 1.0-2.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.5655354296673476)","('test_acc', 0.9688315926892951)","('test_f1', 0.9687036198517434)","('test_prec', 0.970706749110634)","('test_reca', 0.968831592689295)","('test_roc', 0.9995299127731185)","('mean_train_loss', 2.5182219743728638)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5637023067474365)","('val_acc', 0.97)","('val_f1', 0.969646858693608)","('val_prec', 0.9717337579049525)","('val_reca', 0.97)","('val_roc', 0.9995210685483871)","('pytorch_total_params', 41284)","('train_time', 949.834146976471)","('best_epoch', 356)","('train_samples', '1894/2400 v31 34.0-35.0\n1612/2400 v26 52.0-53.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.6646164949299256)","('test_acc', 0.8714507180156658)","('test_f1', 0.8648384277742743)","('test_prec', 0.8830348355281346)","('test_reca', 0.8714507180156658)","('test_roc', 0.9952099294177309)","('mean_train_loss', 2.518087863922119)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6657268238067626)","('val_acc', 0.87)","('val_f1', 0.8637203444708192)","('val_prec', 0.8848345306760326)","('val_reca', 0.87)","('val_roc', 0.9952007056451613)","('pytorch_total_params', 82500)","('train_time', 1531.6439390182495)","('best_epoch', 611)","('train_samples', '1411/2400 v23 31.0-32.0\n2336/2400 v38 56.0-57.0')"
