eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.3977259822180086)","('test_acc', 0.16176870378425404)","('test_f1', 0.16262577467654904)","('test_prec', 0.2887059982988169)","('test_reca', 0.161768703784254)","('test_roc', 0.626141890328906)","('mean_train_loss', 2.5180447101593018)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3976740860939025)","('val_acc', 0.15875)","('val_f1', 0.16140935143778884)","('val_prec', 0.3062235234348252)","('val_reca', 0.15875)","('val_roc', 0.6248512600806451)","('pytorch_total_params', 297184)","('train_time', 377.7482419013977)","('best_epoch', 120)","('train_samples', '2270/2400 v37 50.0-51.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.380314980034415)","('test_acc', 0.18109775989560678)","('test_f1', 0.18274299364301327)","('test_prec', 0.26655792095749886)","('test_reca', 0.18109775989560678)","('test_roc', 0.615727251717636)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.380780429840088)","('val_acc', 0.184375)","('val_f1', 0.18362827681722205)","('val_prec', 0.25766399235030185)","('val_reca', 0.184375)","('val_roc', 0.6159283266129032)","('pytorch_total_params', 561440)","('train_time', 956.5723674297333)","('best_epoch', 334)","('train_samples', '2378/2400 v39 38.0-39.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.3840637914301674)","('test_acc', 0.1747498912570683)","('test_f1', 0.17346573598424392)","('test_prec', 0.2715095110914948)","('test_reca', 0.1747498912570683)","('test_roc', 0.6184361633926077)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3893700456619262)","('val_acc', 0.1675)","('val_f1', 0.1662086140856754)","('val_prec', 0.27244005033913554)","('val_reca', 0.16749999999999998)","('val_roc', 0.6091206653225807)","('pytorch_total_params', 1089952)","('train_time', 4967.7721383571625)","('best_epoch', 1952)","('train_samples', '297/2400 v4 57.0-58.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.3817682209197413)","('test_acc', 0.15283819051761635)","('test_f1', 0.1473795909802899)","('test_prec', 0.3195490965961203)","('test_reca', 0.15283819051761635)","('test_roc', 0.616337015245146)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3834653425216676)","('val_acc', 0.1475)","('val_f1', 0.14650631257848284)","('val_prec', 0.3258031496262816)","('val_reca', 0.14750000000000002)","('val_roc', 0.6131913810483871)","('pytorch_total_params', 2146976)","('train_time', 5209.506651878357)","('best_epoch', 2292)","('train_samples', '2393/2400 v39 53.0-54.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.4366380142719657)","('test_acc', 0.09411700739451935)","('test_f1', 0.07915427627608754)","('test_prec', 0.5056883840397515)","('test_reca', 0.09411700739451935)","('test_roc', 0.5900363419681874)","('mean_train_loss', 2.5181591510772705)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.435753605365753)","('val_acc', 0.094375)","('val_f1', 0.07744749165430286)","('val_prec', 0.3943978333186255)","('val_reca', 0.094375)","('val_roc', 0.5898058467741936)","('pytorch_total_params', 4261024)","('train_time', 95.03122687339783)","('best_epoch', 9)","('train_samples', '949/2400 v15 49.0-50.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.394858849364916)","('test_acc', 0.12581557198782078)","('test_f1', 0.10293763300781929)","('test_prec', 0.3070798964850647)","('test_reca', 0.12581557198782078)","('test_roc', 0.5999483520663196)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.39469429731369)","('val_acc', 0.128125)","('val_f1', 0.1054109930900261)","('val_prec', 0.3088834119752646)","('val_reca', 0.12812500000000002)","('val_roc', 0.5972092741935484)","('pytorch_total_params', 8489120)","('train_time', 4612.455456018448)","('best_epoch', 2031)","('train_samples', '1472/2400 v24 32.0-33.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.355282679965332)","('test_acc', 0.21224978241949521)","('test_f1', 0.21782602326657743)","('test_prec', 0.2641115105259372)","('test_reca', 0.21224978241949521)","('test_roc', 0.6653760879315396)","('mean_train_loss', 2.518042802810669)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3632173705101014)","('val_acc', 0.1953125)","('val_f1', 0.20042571224390576)","('val_prec', 0.24290192477869227)","('val_reca', 0.1953125)","('val_roc', 0.6598762096774193)","('pytorch_total_params', 297184)","('train_time', 531.6553454399109)","('best_epoch', 183)","('train_samples', '1810/2400 v30 10.0-11.0\n185/2400 v3 5.0-6.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.360611006630515)","('test_acc', 0.2212793733681462)","('test_f1', 0.2282721200523799)","('test_prec', 0.28058244252652553)","('test_reca', 0.2212793733681462)","('test_roc', 0.6604204693928448)","('mean_train_loss', 2.518044114112854)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3576248574256895)","('val_acc', 0.225625)","('val_f1', 0.23151206212214306)","('val_prec', 0.2884073146933072)","('val_reca', 0.22562500000000002)","('val_roc', 0.6720974294354838)","('pytorch_total_params', 561440)","('train_time', 465.74252009391785)","('best_epoch', 175)","('train_samples', '1742/2400 v29 2.0-3.0\n1526/2400 v25 26.0-27.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.3588284649363387)","('test_acc', 0.22866351174934726)","('test_f1', 0.23393650755874873)","('test_prec', 0.26226595173150496)","('test_reca', 0.2286635117493473)","('test_roc', 0.6726243064548871)","('mean_train_loss', 2.5180416107177734)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.363424026966095)","('val_acc', 0.2196875)","('val_f1', 0.222130540544926)","('val_prec', 0.25041371547883534)","('val_reca', 0.2196875)","('val_roc', 0.6724380040322582)","('pytorch_total_params', 1089952)","('train_time', 798.4281187057495)","('best_epoch', 327)","('train_samples', '2129/2400 v35 29.0-30.0\n2361/2400 v39 21.0-22.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.3264618594299926)","('test_acc', 0.25145506962576153)","('test_f1', 0.2530674677405495)","('test_prec', 0.2983138924343359)","('test_reca', 0.25145506962576153)","('test_roc', 0.686593454364421)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.332141785621643)","('val_acc', 0.2409375)","('val_f1', 0.24078315301500913)","('val_prec', 0.2886285219640623)","('val_reca', 0.24093750000000003)","('val_roc', 0.6807798387096773)","('pytorch_total_params', 2146976)","('train_time', 2295.4826951026917)","('best_epoch', 973)","('train_samples', '78/2400 v1 18.0-19.0\n1068/2400 v17 48.0-49.0')"
