eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.8919866267573893)","('test_acc', 0.7248803827751196)","('test_f1', 0.6822908181223122)","('test_prec', 0.7050722360444802)","('test_reca', 0.7248803827751196)","('test_roc', 0.9807717434550438)","('mean_train_loss', 2.6318912506103516)","('train_acc', 0.90625)","('train_f1', 0.875)","('train_prec', 0.859375)","('train_reca', 0.90625)","('train_roc', 0.9949596774193549)","('mean_val_loss', 2.8913279700279237)","('val_acc', 0.7303125)","('val_f1', 0.6872822791648825)","('val_prec', 0.7139860770814621)","('val_reca', 0.7303124999999999)","('val_roc', 0.9812278225806451)","('pytorch_total_params', 10372)","('train_time', 696.3981251716614)","('best_epoch', 264)","('train_samples', '172/2400 v2 52.0-53.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.639717631985074)","('test_acc', 0.9147319486733362)","('test_f1', 0.9041735513885611)","('test_prec', 0.915296514012893)","('test_reca', 0.9147319486733363)","('test_roc', 0.996019556525729)","('mean_train_loss', 2.5182301998138428)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6374716186523437)","('val_acc', 0.919375)","('val_f1', 0.9086179815330118)","('val_prec', 0.9196841971968059)","('val_reca', 0.919375)","('val_roc', 0.9964443548387096)","('pytorch_total_params', 20676)","('train_time', 1445.4809963703156)","('best_epoch', 618)","('train_samples', '2066/2400 v34 26.0-27.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.666807346729778)","('test_acc', 0.8794856459330144)","('test_f1', 0.8704002705247422)","('test_prec', 0.8843049742903385)","('test_reca', 0.8794856459330144)","('test_roc', 0.9955287689634267)","('mean_train_loss', 2.518103837966919)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.659352865219116)","('val_acc', 0.8884375)","('val_f1', 0.8800482468314068)","('val_prec', 0.8926565815225933)","('val_reca', 0.8884375)","('val_roc', 0.9954943548387096)","('pytorch_total_params', 41284)","('train_time', 2258.139706134796)","('best_epoch', 903)","('train_samples', '2053/2400 v34 13.0-14.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.696352526020516)","('test_acc', 0.8415071770334929)","('test_f1', 0.8201127018634344)","('test_prec', 0.8255846462752678)","('test_reca', 0.8415071770334928)","('test_roc', 0.9909951183869949)","('mean_train_loss', 2.5180561542510986)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.697259232997894)","('val_acc', 0.8425)","('val_f1', 0.8219316464491935)","('val_prec', 0.8269171035459829)","('val_reca', 0.8425)","('val_roc', 0.9913277217741936)","('pytorch_total_params', 82500)","('train_time', 3385.081402540207)","('best_epoch', 1368)","('train_samples', '1302/2400 v21 42.0-43.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.669128935250991)","('test_acc', 0.8861053719008265)","('test_f1', 0.8764633156224232)","('test_prec', 0.8910049419381362)","('test_reca', 0.8861053719008264)","('test_roc', 0.9956588944015851)","('mean_train_loss', 2.5180559158325195)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.669649782180786)","('val_acc', 0.8846875)","('val_f1', 0.8745106730932901)","('val_prec', 0.8914277429905126)","('val_reca', 0.8846875000000001)","('val_roc', 0.9955753024193548)","('pytorch_total_params', 164932)","('train_time', 2856.768723487854)","('best_epoch', 1194)","('train_samples', '1785/2400 v29 45.0-46.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.7481492594461328)","('test_acc', 0.7919611787733797)","('test_f1', 0.7708986253128183)","('test_prec', 0.8030988817084964)","('test_reca', 0.7919611787733798)","('test_roc', 0.984901009353482)","('mean_train_loss', 2.5180466175079346)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7463640713691713)","('val_acc', 0.7959375)","('val_f1', 0.7744871211193216)","('val_prec', 0.8068796468587904)","('val_reca', 0.7959375)","('val_roc', 0.9845815524193549)","('pytorch_total_params', 329796)","('train_time', 3173.2022025585175)","('best_epoch', 1361)","('train_samples', '697/2400 v11 37.0-38.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.6084391099665867)","('test_acc', 0.9288103785900783)","('test_f1', 0.9263443381593124)","('test_prec', 0.9302183504286214)","('test_reca', 0.9288103785900783)","('test_roc', 0.9978758879986407)","('mean_train_loss', 2.5181738138198853)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.604261693954468)","('val_acc', 0.9365625)","('val_f1', 0.9350648539973476)","('val_prec', 0.9390803618655236)","('val_reca', 0.9365625)","('val_roc', 0.997323689516129)","('pytorch_total_params', 10372)","('train_time', 1172.7725698947906)","('best_epoch', 440)","('train_samples', '1959/2400 v32 39.0-40.0\n161/2400 v2 41.0-42.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.613802372942394)","('test_acc', 0.9275184943429069)","('test_f1', 0.9225085614017052)","('test_prec', 0.9292605251698364)","('test_reca', 0.9275184943429069)","('test_roc', 0.9974894150098992)","('mean_train_loss', 2.518671989440918)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6112097883224488)","('val_acc', 0.9296875)","('val_f1', 0.9240358737516203)","('val_prec', 0.932597084748751)","('val_reca', 0.9296875)","('val_roc', 0.9975919354838709)","('pytorch_total_params', 20676)","('train_time', 709.7170958518982)","('best_epoch', 241)","('train_samples', '774/2400 v12 54.0-55.0\n454/2400 v7 34.0-35.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.6495679698890973)","('test_acc', 0.8924608355091384)","('test_f1', 0.8838735787216484)","('test_prec', 0.8980927868665955)","('test_reca', 0.8924608355091384)","('test_roc', 0.9954198476033622)","('mean_train_loss', 2.5180729627609253)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6396427392959594)","('val_acc', 0.9025)","('val_f1', 0.8953063747534062)","('val_prec', 0.9111739937683545)","('val_reca', 0.9024999999999999)","('val_roc', 0.9955565524193548)","('pytorch_total_params', 41284)","('train_time', 1935.9889483451843)","('best_epoch', 808)","('train_samples', '1637/2400 v27 17.0-18.0\n1638/2400 v27 18.0-19.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.598805349012164)","('test_acc', 0.9342226936466492)","('test_f1', 0.9298669687591976)","('test_prec', 0.9341063323023268)","('test_reca', 0.9342226936466492)","('test_roc', 0.9978841475241759)","('mean_train_loss', 2.5180729627609253)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6007641339302063)","('val_acc', 0.93125)","('val_f1', 0.9280049265245178)","('val_prec', 0.9329476183185571)","('val_reca', 0.9312499999999999)","('val_roc', 0.9977576612903226)","('pytorch_total_params', 82500)","('train_time', 1643.3146653175354)","('best_epoch', 684)","('train_samples', '449/2400 v7 29.0-30.0\n517/2400 v8 37.0-38.0')"
