eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.788037305994778)","('test_acc', 0.7453719146097398)","('test_f1', 0.7097909879939306)","('test_prec', 0.7072584575599052)","('test_reca', 0.7453719146097397)","('test_roc', 0.9433217131017255)","('mean_train_loss', 2.6413094997406006)","('train_acc', 0.875)","('train_f1', 0.8333333333333333)","('train_prec', 0.8125)","('train_reca', 0.875)","('train_roc', 0.9828629032258065)","('mean_val_loss', 2.785708999633789)","('val_acc', 0.749375)","('val_f1', 0.7147152719092261)","('val_prec', 0.7122226661975377)","('val_reca', 0.7493749999999999)","('val_roc', 0.9436105846774193)","('pytorch_total_params', 142048)","('train_time', 202.01057195663452)","('best_epoch', 117)","('train_samples', '1177/1600 v29 25.5-27.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.6724957516385843)","('test_acc', 0.8601776184122748)","('test_f1', 0.8546777128475446)","('test_prec', 0.8759464869025333)","('test_reca', 0.8601776184122748)","('test_roc', 0.9945173082204724)","('mean_train_loss', 2.5180482864379883)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.663424696922302)","('val_acc', 0.8715625)","('val_f1', 0.8662872560507471)","('val_prec', 0.8897315230061589)","('val_reca', 0.8715625)","('val_roc', 0.9957754032258066)","('pytorch_total_params', 562592)","('train_time', 215.89795231819153)","('best_epoch', 126)","('train_samples', '1027/1600 v25 40.5-42.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.7604469715395794)","('test_acc', 0.7612158105403602)","('test_f1', 0.7234812199627296)","('test_prec', 0.794316880562507)","('test_reca', 0.7612158105403602)","('test_roc', 0.9807826497442877)","('mean_train_loss', 2.5489273071289062)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 0.9969758064516129)","('mean_val_loss', 2.758847312927246)","('val_acc', 0.7628125)","('val_f1', 0.727018015411693)","('val_prec', 0.771651390862546)","('val_reca', 0.7628125)","('val_roc', 0.9792189516129033)","('pytorch_total_params', 2239264)","('train_time', 89.750164270401)","('best_epoch', 35)","('train_samples', '859/1600 v21 28.5-30.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.7556549278078593)","('test_acc', 0.7671781187458305)","('test_f1', 0.7466428119657837)","('test_prec', 0.7680367526963127)","('test_reca', 0.7671781187458306)","('test_roc', 0.9658376836180399)","('mean_train_loss', 2.580411672592163)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.9808467741935484)","('mean_val_loss', 2.7576872754096984)","('val_acc', 0.7640625)","('val_f1', 0.7416441324841299)","('val_prec', 0.7692306380870735)","('val_reca', 0.7640625)","('val_roc', 0.9646241431451613)","('pytorch_total_params', 8934944)","('train_time', 67.50825929641724)","('best_epoch', 18)","('train_samples', '1453/1600 v36 19.5-21.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 1024)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 3.02051671860296)","('test_acc', 0.5002918612408273)","('test_f1', 0.4116875176577562)","('test_prec', 0.41262026923437245)","('test_reca', 0.5002918612408271)","('test_roc', 0.8390958204653454)","('mean_train_loss', 2.9240293502807617)","('train_acc', 0.59375)","('train_f1', 0.50625)","('train_prec', 0.4817708333333333)","('train_reca', 0.59375)","('train_roc', 0.8901209677419355)","('mean_val_loss', 3.023655197620392)","('val_acc', 0.4996875)","('val_f1', 0.4101529583111311)","('val_prec', 0.4095089867722528)","('val_reca', 0.49968750000000006)","('val_roc', 0.8383932963709677)","('pytorch_total_params', 35695648)","('train_time', 66.62331938743591)","('best_epoch', 11)","('train_samples', '1331/1600 v33 16.5-18.0')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 3.239705142376819)","('test_acc', 0.2772056370913943)","('test_f1', 0.16151166583623908)","('test_prec', 0.14197481664530964)","('test_reca', 0.2772056370913943)","('test_roc', 0.7925778256594801)","('mean_train_loss', 3.1739096641540527)","('train_acc', 0.34375)","('train_f1', 0.22507440476190477)","('train_prec', 0.19300595238095236)","('train_reca', 0.34375)","('train_roc', 0.8371975806451614)","('mean_val_loss', 3.237980675697327)","('val_acc', 0.2796875)","('val_f1', 0.1627027427636341)","('val_prec', 0.14198988175990074)","('val_reca', 0.2796875)","('val_roc', 0.7919707157258065)","('pytorch_total_params', 142694432)","('train_time', 73.23645067214966)","('best_epoch', 5)","('train_samples', '1320/1600 v33 0.0-1.5')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.692673462084566)","('test_acc', 0.8364951634422949)","('test_f1', 0.8102340229167185)","('test_prec', 0.8088171670724109)","('test_reca', 0.8364951634422949)","('test_roc', 0.9824037789433633)","('mean_train_loss', 2.5797688961029053)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.998991935483871)","('mean_val_loss', 2.691253628730774)","('val_acc', 0.8346875)","('val_f1', 0.808917155352548)","('val_prec', 0.8070235295108538)","('val_reca', 0.8346875)","('val_roc', 0.9821514112903226)","('pytorch_total_params', 142048)","('train_time', 742.5088648796082)","('best_epoch', 410)","('train_samples', '272/1600 v6 48.0-49.5')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.72612818866829)","('test_acc', 0.8019721480987325)","('test_f1', 0.7623213807717109)","('test_prec', 0.7789981353565141)","('test_reca', 0.8019721480987325)","('test_roc', 0.9785314116388337)","('mean_train_loss', 2.5798275470733643)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.9939516129032258)","('mean_val_loss', 2.729554250240326)","('val_acc', 0.7978125)","('val_f1', 0.7580213956730438)","('val_prec', 0.778888492968106)","('val_reca', 0.7978125)","('val_roc', 0.9787061995967743)","('pytorch_total_params', 562592)","('train_time', 165.54312920570374)","('best_epoch', 90)","('train_samples', '1241/1600 v31 1.5-3.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.722666656756258)","('test_acc', 0.8038692461641094)","('test_f1', 0.7755827613789436)","('test_prec', 0.804169549508063)","('test_reca', 0.8038692461641095)","('test_roc', 0.9731361957739773)","('mean_train_loss', 2.549180746078491)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 0.9969758064516129)","('mean_val_loss', 2.72531466960907)","('val_acc', 0.8025)","('val_f1', 0.7740250817835979)","('val_prec', 0.8063011471190733)","('val_reca', 0.8025)","('val_roc', 0.9731613407258065)","('pytorch_total_params', 2239264)","('train_time', 99.37658929824829)","('best_epoch', 41)","('train_samples', '577/1600 v14 25.5-27.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.692299936993111)","('test_acc', 0.8279269513008672)","('test_f1', 0.8121476979704778)","('test_prec', 0.8500157505973456)","('test_reca', 0.8279269513008672)","('test_roc', 0.9858367072539311)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6881525230407717)","('val_acc', 0.8315625)","('val_f1', 0.8180885493902061)","('val_prec', 0.8565886028108585)","('val_reca', 0.8315625)","('val_roc', 0.9860292338709677)","('pytorch_total_params', 8934944)","('train_time', 358.1672160625458)","('best_epoch', 190)","('train_samples', '1393/1600 v34 49.5-51.0')"
