eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.6035209686617757)","('test_acc', 0.937750166777852)","('test_f1', 0.9345480634219794)","('test_prec', 0.9428478241971909)","('test_reca', 0.937750166777852)","('test_roc', 0.9984743616548917)","('mean_train_loss', 2.5182976722717285)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.599621214866638)","('val_acc', 0.9434375)","('val_f1', 0.9410534644448698)","('val_prec', 0.947955099238929)","('val_reca', 0.9434374999999999)","('val_roc', 0.9983463709677419)","('pytorch_total_params', 10372)","('train_time', 1311.7614047527313)","('best_epoch', 579)","('train_samples', '1176/1600 v29 24.0-25.5')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.713917790133608)","('test_acc', 0.8384756504336224)","('test_f1', 0.8211352735267949)","('test_prec', 0.833990468717341)","('test_reca', 0.8384756504336224)","('test_roc', 0.9898887255275781)","('mean_train_loss', 2.5183801651000977)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.7142911887168886)","('val_acc', 0.83875)","('val_f1', 0.8199612515265401)","('val_prec', 0.8321050169012006)","('val_reca', 0.83875)","('val_roc', 0.9894197580645161)","('pytorch_total_params', 20676)","('train_time', 1242.713565826416)","('best_epoch', 483)","('train_samples', '490/1600 v12 15.0-16.5')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.6523322531030207)","('test_acc', 0.8823799199466311)","('test_f1', 0.8672164654662408)","('test_prec', 0.8907442855975715)","('test_reca', 0.8823799199466311)","('test_roc', 0.9890909518344243)","('mean_train_loss', 2.5181338787078857)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6510622572898863)","('val_acc', 0.8825)","('val_f1', 0.8685653299865771)","('val_prec', 0.8915774893989632)","('val_reca', 0.8825)","('val_roc', 0.9896975806451613)","('pytorch_total_params', 41284)","('train_time', 1898.1972122192383)","('best_epoch', 748)","('train_samples', '945/1600 v23 37.5-39.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.637519958577528)","('test_acc', 0.902101400933956)","('test_f1', 0.8950119081533652)","('test_prec', 0.9147291554045224)","('test_reca', 0.902101400933956)","('test_roc', 0.9974013474407917)","('mean_train_loss', 2.5180602073669434)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6312558698654174)","('val_acc', 0.90875)","('val_f1', 0.9009069388136036)","('val_prec', 0.9219378120992278)","('val_reca', 0.90875)","('val_roc', 0.9975790322580644)","('pytorch_total_params', 82500)","('train_time', 3338.10170006752)","('best_epoch', 1390)","('train_samples', '65/1600 v1 37.5-39.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 1024)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.6122240640068943)","('test_acc', 0.9226150767178118)","('test_f1', 0.9139659403490509)","('test_prec', 0.9269307574403731)","('test_reca', 0.9226150767178118)","('test_roc', 0.9977389594023898)","('mean_train_loss', 2.5180673599243164)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6141723656654356)","('val_acc', 0.9209375)","('val_f1', 0.9121957411731181)","('val_prec', 0.9256944008532217)","('val_reca', 0.9209375)","('val_roc', 0.9974690524193548)","('pytorch_total_params', 164932)","('train_time', 2262.1220359802246)","('best_epoch', 952)","('train_samples', '383/1600 v9 34.5-36.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.665888509247763)","('test_acc', 0.882630086724483)","('test_f1', 0.8754446102369202)","('test_prec', 0.8878239871223265)","('test_reca', 0.8826300867244831)","('test_roc', 0.9952009400799038)","('mean_train_loss', 2.5180470943450928)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.66518748998642)","('val_acc', 0.8821875)","('val_f1', 0.874655052787953)","('val_prec', 0.8873919667797275)","('val_reca', 0.8821874999999999)","('val_roc', 0.9952340725806451)","('pytorch_total_params', 329796)","('train_time', 3040.452437877655)","('best_epoch', 1263)","('train_samples', '779/1600 v19 28.5-30.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 2.565333507248811)","('test_acc', 0.9640145193591455)","('test_f1', 0.962963481519121)","('test_prec', 0.965587636183052)","('test_reca', 0.9640145193591455)","('test_roc', 0.999460288431146)","('mean_train_loss', 2.518226742744446)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5641336750984194)","('val_acc', 0.9634375)","('val_f1', 0.9618032744445988)","('val_prec', 0.9659997957487686)","('val_reca', 0.9634375)","('val_roc', 0.9995198588709677)","('pytorch_total_params', 10372)","('train_time', 869.7119166851044)","('best_epoch', 356)","('train_samples', '1509/1600 v37 43.5-45.0\n363/1600 v9 4.5-6.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 2.5953703480505337)","('test_acc', 0.9429656208277704)","('test_f1', 0.9385959115776976)","('test_prec', 0.947375992646025)","('test_reca', 0.9429656208277704)","('test_roc', 0.9992713817901308)","('mean_train_loss', 2.5184438228607178)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5939553284645083)","('val_acc', 0.945625)","('val_f1', 0.9423620642600813)","('val_prec', 0.9514516289810441)","('val_reca', 0.945625)","('val_roc', 0.9992560483870967)","('pytorch_total_params', 20676)","('train_time', 671.0654439926147)","('best_epoch', 258)","('train_samples', '121/1600 v3 1.5-3.0\n695/1600 v17 22.5-24.0')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 2.5875919579822964)","('test_acc', 0.9446136515353805)","('test_f1', 0.9420619685917255)","('test_prec', 0.9475641124247864)","('test_reca', 0.9446136515353805)","('test_roc', 0.9987615891094956)","('mean_train_loss', 2.5181403160095215)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.587558252811432)","('val_acc', 0.946875)","('val_f1', 0.9452442186313065)","('val_prec', 0.9502351111289242)","('val_reca', 0.946875)","('val_roc', 0.998893245967742)","('pytorch_total_params', 41284)","('train_time', 1201.5916438102722)","('best_epoch', 461)","('train_samples', '677/1600 v16 55.5-57.0\n664/1600 v16 36.000000000000114-37.500000000000114')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 2.5617770399047792)","('test_acc', 0.9720877837116155)","('test_f1', 0.9713167910495581)","('test_prec', 0.972958110423954)","('test_reca', 0.9720877837116155)","('test_roc', 0.9997255701983684)","('mean_train_loss', 2.518117904663086)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.565649290084839)","('val_acc', 0.968125)","('val_f1', 0.9671812565400276)","('val_prec', 0.9689678749711249)","('val_reca', 0.968125)","('val_roc', 0.9996991935483872)","('pytorch_total_params', 82500)","('train_time', 1023.8949151039124)","('best_epoch', 414)","('train_samples', '698/1600 v17 27.0-28.5\n977/1600 v24 25.5-27.0')"
