eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 3.396320748917654)","('test_acc', 0.15537441627751836)","('test_f1', 0.16333522175824694)","('test_prec', 0.31467019058195217)","('test_reca', 0.15537441627751836)","('test_roc', 0.6291102966691187)","('mean_train_loss', 2.518040895462036)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3955430817604064)","('val_acc', 0.1625)","('val_f1', 0.16894484934157006)","('val_prec', 0.3295453858718455)","('val_reca', 0.1625)","('val_roc', 0.629221875)","('pytorch_total_params', 469280)","('train_time', 526.0739846229553)","('best_epoch', 193)","('train_samples', '1517/1600 v37 55.5-57.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 3.3977053909798)","('test_acc', 0.13215060040026685)","('test_f1', 0.1224027900968378)","('test_prec', 0.3999370874026643)","('test_reca', 0.13215060040026685)","('test_roc', 0.6250661203891967)","('mean_train_loss', 2.518040895462036)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.403390336036682)","('val_acc', 0.125)","('val_f1', 0.11273578613886634)","('val_prec', 0.29015136757269255)","('val_reca', 0.125)","('val_roc', 0.6136901209677419)","('pytorch_total_params', 864608)","('train_time', 530.8993489742279)","('best_epoch', 154)","('train_samples', '324/1600 v8 6.0-7.5')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 3.3965918908046038)","('test_acc', 0.1341310873915944)","('test_f1', 0.10959171814909228)","('test_prec', 0.44706378943588015)","('test_reca', 0.1341310873915944)","('test_roc', 0.6175986397374589)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3933968567848205)","('val_acc', 0.1378125)","('val_f1', 0.11289907814119116)","('val_prec', 0.35456829131742573)","('val_reca', 0.1378125)","('val_roc', 0.6169565524193548)","('pytorch_total_params', 1655264)","('train_time', 1383.6067111492157)","('best_epoch', 433)","('train_samples', '530/1600 v13 15.0-16.5')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 3.3921160295536072)","('test_acc', 0.13807121414276183)","('test_f1', 0.11102082520466483)","('test_prec', 0.4579312332679957)","('test_reca', 0.13807121414276186)","('test_roc', 0.6206778593624669)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.388042504787445)","('val_acc', 0.1446875)","('val_f1', 0.11696328393092559)","('val_prec', 0.34672185833635466)","('val_reca', 0.14468750000000002)","('val_roc', 0.6331440524193548)","('pytorch_total_params', 3236576)","('train_time', 4466.581937074661)","('best_epoch', 1840)","('train_samples', '1024/1600 v25 36.0-37.5')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 1024)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 3.4149201515915397)","('test_acc', 0.10037941961307538)","('test_f1', 0.06607092886165436)","('test_prec', 0.21382310431467935)","('test_reca', 0.10037941961307538)","('test_roc', 0.6093026477381013)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.419446280002594)","('val_acc', 0.0903125)","('val_f1', 0.053406460812388465)","('val_prec', 0.19193934829910422)","('val_reca', 0.09031249999999999)","('val_roc', 0.6067529233870967)","('pytorch_total_params', 6399200)","('train_time', 1227.5154721736908)","('best_epoch', 525)","('train_samples', '1435/1600 v35 52.5-54.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 3.4360776998902893)","('test_acc', 0.08586974649766511)","('test_f1', 0.052859759360002395)","('test_prec', 0.4409486010345714)","('test_reca', 0.08586974649766511)","('test_roc', 0.6081518948263098)","('mean_train_loss', 2.5181119441986084)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.4351408195495607)","('val_acc', 0.0871875)","('val_f1', 0.0582443472535983)","('val_prec', 0.29908148962263986)","('val_reca', 0.0871875)","('val_roc', 0.6102591733870968)","('pytorch_total_params', 12724448)","('train_time', 76.30161952972412)","('best_epoch', 5)","('train_samples', '1534/1600 v38 21.0-22.5')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.3526620732767083)","('test_acc', 0.21313835113484647)","('test_f1', 0.21948043069948592)","('test_prec', 0.30240326038040133)","('test_reca', 0.21313835113484647)","('test_roc', 0.6891973231327544)","('mean_train_loss', 2.5180423259735107)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3533384943008424)","('val_acc', 0.20625)","('val_f1', 0.21158548092368323)","('val_prec', 0.29444161606204733)","('val_reca', 0.20625)","('val_roc', 0.6910922379032258)","('pytorch_total_params', 469280)","('train_time', 412.3132948875427)","('best_epoch', 138)","('train_samples', '36/1600 v0 54.0-55.5\n947/1600 v23 40.5-42.0')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 128)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.3305847990178616)","('test_acc', 0.2514394192256342)","('test_f1', 0.25485512627297097)","('test_prec', 0.3101021286974289)","('test_reca', 0.2514394192256342)","('test_roc', 0.6919690144897821)","('mean_train_loss', 2.5180410146713257)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.332559435367584)","('val_acc', 0.24375)","('val_f1', 0.24786441746331767)","('val_prec', 0.30850556388270123)","('val_reca', 0.24375000000000002)","('val_roc', 0.6863920362903225)","('pytorch_total_params', 864608)","('train_time', 755.4457359313965)","('best_epoch', 264)","('train_samples', '1132/1600 v28 18.0-19.5\n176/1600 v4 24.0-25.5')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.3374095684059153)","('test_acc', 0.24716288384512683)","('test_f1', 0.2595977984323347)","('test_prec', 0.3233263658478003)","('test_reca', 0.24716288384512686)","('test_roc', 0.6922857898886213)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.335957350730896)","('val_acc', 0.2478125)","('val_f1', 0.26028670666939824)","('val_prec', 0.3278627498466922)","('val_reca', 0.24781250000000005)","('val_roc', 0.6990940524193548)","('pytorch_total_params', 1655264)","('train_time', 2226.6273601055145)","('best_epoch', 848)","('train_samples', '596/1600 v14 54.0-55.5\n220/1600 v5 30.0-31.5')"
"('eeg_feature', 'raw')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1498)","('mean_test_loss', 3.346082659206976)","('test_acc', 0.21495327102803738)","('test_f1', 0.2038534845574946)","('test_prec', 0.4122680526772071)","('test_reca', 0.21495327102803738)","('test_roc', 0.7107962930540174)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.345127317905426)","('val_acc', 0.218125)","('val_f1', 0.2094498185809241)","('val_prec', 0.3967206525737736)","('val_reca', 0.218125)","('val_roc', 0.7064280241935483)","('pytorch_total_params', 3236576)","('train_time', 752.4621813297272)","('best_epoch', 242)","('train_samples', '375/1600 v9 22.5-24.0\n1419/1600 v35 28.5-30.0')"
