eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 2.5510996725607007)","('test_acc', 0.9773167122040073)","('test_f1', 0.9763940858293523)","('test_prec', 0.977453157750285)","('test_reca', 0.9773167122040073)","('test_roc', 0.9998091347881202)","('mean_train_loss', 2.5180470943450928)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5481787586212157)","('val_acc', 0.9790625)","('val_f1', 0.9783143197423209)","('val_prec', 0.9794894349828379)","('val_reca', 0.9790625000000001)","('val_roc', 0.999811995967742)","('pytorch_total_params', 329796)","('train_time', 2007.215252161026)","('best_epoch', 655)","('experiment_id', '341')","('train_samples', '127 129')","('val_samples', '227 749 4 1023 1059 604 200 572 904 885 831 282 518 1049 774 499 721 1091 225 295 901 262 603 960 1180 916 107 241 650 573 406 706 1126 545 327 475 1108 992 547 879 1193 943 258 213 77 429 966 219 649 291 1132 1150 294 396 208 570 180 1118 745 271 1191 361 846 542 287 278 1130 440 1141 149 1197 694 67 156 380 616 1110 335 980 1093 177 40 707 285 422 1198 170 461 318 252 1103 64 882 918 764 621 873 71 48 290')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 2.5891412989472213)","('test_acc', 0.9384676684881603)","('test_f1', 0.9374799938679993)","('test_prec', 0.9406432028830841)","('test_reca', 0.9384676684881603)","('test_roc', 0.998301512665021)","('mean_train_loss', 2.5180448293685913)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.581860203742981)","('val_acc', 0.9471875)","('val_f1', 0.9466473545452532)","('val_prec', 0.9487251186980981)","('val_reca', 0.9471875)","('val_roc', 0.9985355846774193)","('pytorch_total_params', 329796)","('train_time', 3558.488106250763)","('best_epoch', 1017)","('experiment_id', '1481')","('train_samples', '970 918')","('val_samples', '529 570 196 63 339 1168 176 105 287 449 452 190 598 712 701 786 1021 15 163 407 517 36 470 208 846 384 832 1075 938 292 710 629 1043 542 694 202 532 130 159 135 506 960 1085 143 315 572 659 1059 494 148 1114 481 913 640 33 579 499 1017 817 618 962 72 455 149 264 475 345 855 221 1185 453 873 261 414 436 955 806 205 728 155 68 1047 869 742 119 514 925 697 1145 856 1037 1006 691 929 939 835 204 822 524 903')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 2.58349469993501)","('test_acc', 0.9467213114754098)","('test_f1', 0.9435605083637602)","('test_prec', 0.9508074682308607)","('test_reca', 0.9467213114754098)","('test_roc', 0.9992993205600811)","('mean_train_loss', 2.5180553197860718)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.582098140716553)","('val_acc', 0.9440625)","('val_f1', 0.9403836024983516)","('val_prec', 0.9493285050934764)","('val_reca', 0.9440625)","('val_roc', 0.9993505040322581)","('pytorch_total_params', 329796)","('train_time', 2056.4044456481934)","('best_epoch', 549)","('experiment_id', '2621')","('train_samples', '1012 920')","('val_samples', '112 74 526 641 633 884 493 513 552 194 774 1057 915 611 1089 293 1153 437 568 1061 751 938 507 1141 210 1142 399 561 898 321 1172 894 714 226 948 381 853 154 120 748 195 708 206 264 262 366 845 648 921 678 943 793 8 577 1010 375 969 502 57 614 1087 486 139 424 935 214 981 836 265 1088 422 663 978 281 1189 305 54 1043 516 231 976 660 291 296 1196 830 816 26 862 848 609 361 883 241 204 56 303 1059 802 89')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 2.6391267287926596)","('test_acc', 0.8925034153005464)","('test_f1', 0.8842879817799936)","('test_prec', 0.9014882584872865)","('test_reca', 0.8925034153005464)","('test_roc', 0.9965389198805823)","('mean_train_loss', 2.5180461406707764)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6421404600143434)","('val_acc', 0.8896875)","('val_f1', 0.8821013842095284)","('val_prec', 0.9007028715419199)","('val_reca', 0.8896875)","('val_roc', 0.9967640120967742)","('pytorch_total_params', 329796)","('train_time', 2442.816088438034)","('best_epoch', 848)","('experiment_id', '3761')","('train_samples', '51 537')","('val_samples', '400 602 587 873 618 34 1031 486 809 119 739 401 1123 658 1055 295 697 1150 71 617 836 207 548 1194 350 308 634 693 12 947 284 896 577 1032 414 968 291 714 92 101 1012 996 872 465 18 593 198 352 262 133 61 412 59 161 549 764 831 541 1002 294 470 29 1184 1058 46 748 629 993 223 47 533 87 1131 646 398 30 730 679 983 326 21 90 614 80 939 1142 952 793 150 849 661 943 856 1128 1021 934 244 20 692 108')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 2.545673309562419)","('test_acc', 0.979735883424408)","('test_f1', 0.9794778668684092)","('test_prec', 0.9807610619648003)","('test_reca', 0.979735883424408)","('test_roc', 0.9999254732081289)","('mean_train_loss', 2.518046021461487)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5494723677635194)","('val_acc', 0.975625)","('val_f1', 0.9752523486141846)","('val_prec', 0.9772727160715122)","('val_reca', 0.975625)","('val_roc', 0.9998771169354839)","('pytorch_total_params', 329796)","('train_time', 2678.305021762848)","('best_epoch', 778)","('experiment_id', '4901')","('train_samples', '486 1136')","('val_samples', '402 492 775 1004 641 935 553 888 571 730 168 712 1063 428 839 61 414 1050 1059 533 83 429 600 608 1094 1124 767 982 671 509 948 824 683 865 827 130 62 179 863 268 1135 581 891 704 417 1184 814 1010 650 115 1057 920 806 663 1035 1061 333 877 77 153 760 237 445 166 1134 1111 243 703 817 205 16 336 580 489 435 403 1129 584 1128 269 1195 544 602 319 303 666 450 24 1194 934 280 599 138 389 620 841 119 983 1056 816')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 2.5619930122285157)","('test_acc', 0.9665585154826958)","('test_f1', 0.9652680357483261)","('test_prec', 0.9668761275443851)","('test_reca', 0.9665585154826958)","('test_roc', 0.9996474010055836)","('mean_train_loss', 2.5180498361587524)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5601544642448424)","('val_acc', 0.9659375)","('val_f1', 0.9642992591628943)","('val_prec', 0.966300467366425)","('val_reca', 0.9659374999999999)","('val_roc', 0.99958125)","('pytorch_total_params', 329796)","('train_time', 2680.6215257644653)","('best_epoch', 801)","('experiment_id', '6041')","('train_samples', '487 299')","('val_samples', '1153 1004 785 897 569 287 861 831 296 485 322 1160 544 675 865 558 109 1169 1086 132 422 1083 901 641 845 1072 1144 624 824 518 971 1053 1164 128 418 153 773 738 404 679 729 432 520 776 1198 437 124 134 710 945 1125 448 708 1158 249 567 505 320 1186 859 670 875 813 253 290 654 749 818 1001 1141 767 637 992 269 741 145 410 753 154 858 1157 298 1026 1094 8 377 71 1177 501 273 935 323 38 1013 208 527 559 817 896 844')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 2.6138784381644107)","('test_acc', 0.9184596994535519)","('test_f1', 0.9125949952258716)","('test_prec', 0.9258774847777838)","('test_reca', 0.9184596994535519)","('test_roc', 0.9977321395474265)","('mean_train_loss', 2.518045663833618)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.612960448265076)","('val_acc', 0.918125)","('val_f1', 0.9127383639299775)","('val_prec', 0.9263980521086749)","('val_reca', 0.9181250000000001)","('val_roc', 0.9977644153225806)","('pytorch_total_params', 329796)","('train_time', 3105.4870171546936)","('best_epoch', 957)","('experiment_id', '7181')","('train_samples', '617 866')","('val_samples', '684 375 812 294 205 219 82 1111 23 388 607 1104 835 815 767 501 960 1059 1069 179 379 163 1180 627 215 1090 944 277 201 840 779 464 566 446 626 762 250 920 1179 196 1119 1056 879 396 961 1012 449 275 923 775 705 568 195 378 572 637 350 867 548 795 42 50 1174 467 400 805 261 991 778 276 1112 506 362 763 194 281 611 819 55 802 374 680 984 1178 481 649 1130 838 178 3 1055 458 521 540 419 748 897 963 1199 466')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 2.5993179035099914)","('test_acc', 0.9258879781420765)","('test_f1', 0.9211440362879388)","('test_prec', 0.9283413531589331)","('test_reca', 0.9258879781420766)","('test_roc', 0.9977717119686815)","('mean_train_loss', 2.518044352531433)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5987350726127625)","('val_acc', 0.9290625)","('val_f1', 0.9246671240415707)","('val_prec', 0.9332199974537754)","('val_reca', 0.9290625)","('val_roc', 0.9976903225806453)","('pytorch_total_params', 329796)","('train_time', 3745.4578511714935)","('best_epoch', 924)","('experiment_id', '8321')","('train_samples', '597 859')","('val_samples', '966 795 226 834 566 9 1139 331 277 649 659 358 711 856 794 106 1176 1007 992 488 304 51 843 292 266 755 950 921 958 696 337 1115 403 547 817 260 388 53 1006 407 808 863 144 384 1018 499 719 698 742 585 878 206 453 980 336 8 525 341 839 236 41 815 404 709 474 477 229 454 216 717 574 1098 570 247 291 382 364 227 1042 225 212 648 294 448 142 919 200 1025 826 622 582 113 914 770 1152 415 174 1133 405 153')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 2.575549612931215)","('test_acc', 0.9512181238615665)","('test_f1', 0.9484480111448192)","('test_prec', 0.9580029755602251)","('test_reca', 0.9512181238615665)","('test_roc', 0.9990019885026711)","('mean_train_loss', 2.5180466175079346)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.57565554857254)","('val_acc', 0.950625)","('val_f1', 0.9479759439770887)","('val_prec', 0.9570230737334927)","('val_reca', 0.950625)","('val_roc', 0.9990313508064517)","('pytorch_total_params', 329796)","('train_time', 3251.6361317634583)","('best_epoch', 845)","('experiment_id', '9461')","('train_samples', '840 642')","('val_samples', '512 1128 497 915 1019 280 658 161 173 1136 467 498 308 299 480 776 963 492 65 902 807 493 735 12 910 1009 859 767 778 137 889 693 505 436 452 30 847 1056 871 690 383 36 989 257 1094 258 302 1142 197 1012 634 129 145 627 1054 444 780 357 222 1084 1013 469 897 182 268 1058 433 485 931 723 609 240 771 1189 543 1031 572 1099 589 259 569 1192 4 1034 1081 673 263 236 886 854 33 251 97 256 1075 200 920 297 148 592')"
"('eeg_feature', 'wav')","('model', 'GraphConv')","('hidden_channels', 2048)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 1098)","('mean_test_loss', 2.550786340171522)","('test_acc', 0.9770036429872495)","('test_f1', 0.9764254575210723)","('test_prec', 0.9777497592776533)","('test_reca', 0.9770036429872495)","('test_roc', 0.9998211055145321)","('mean_train_loss', 2.518048405647278)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.549670534133911)","('val_acc', 0.978125)","('val_f1', 0.9774467997639037)","('val_prec', 0.9789505255361333)","('val_reca', 0.9781249999999999)","('val_roc', 0.9999163306451613)","('pytorch_total_params', 329796)","('train_time', 2906.9778451919556)","('best_epoch', 795)","('experiment_id', '10601')","('train_samples', '398 967')","('val_samples', '474 642 76 720 1068 365 674 211 113 607 961 915 911 577 884 950 236 904 729 419 953 458 655 388 895 888 58 1193 968 659 872 372 576 913 557 931 88 993 463 144 1190 86 80 589 136 770 33 138 3 56 440 260 837 951 453 279 30 335 174 669 492 271 559 168 1026 328 1016 412 1030 664 828 1053 816 270 1005 23 518 650 1175 0 943 777 742 37 1187 504 805 69 792 992 998 59 1144 1091 141 1139 1050 1024 459 223')"
