eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 2292)","('mean_test_loss', 2.5315772117120434)","('test_acc', 0.990701352530541)","('test_f1', 0.9906161125844342)","('test_prec', 0.9906563589533315)","('test_reca', 0.990701352530541)","('test_roc', 0.9999318987143502)","('mean_train_loss', 2.518067955970764)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.53136620759964)","('val_acc', 0.99125)","('val_f1', 0.9911881264234206)","('val_prec', 0.9912685402616128)","('val_reca', 0.99125)","('val_roc', 0.9999146169354838)","('pytorch_total_params', 82500)","('train_time', 827.8793380260468)","('best_epoch', 233)","('experiment_id', '605')","('train_samples', '2105 2173 1736 1244 269 2042 1249 158')","('val_samples', '2216 2186 1208 1379 2308 1977 55 1005 2212 414 258 1445 1817 534 340 1489 1735 2265 1224 2393 1435 1997 1235 1086 2353 1421 2391 764 51 829 9 2078 1352 1653 1551 58 52 952 332 2124 1432 832 1798 790 2093 1517 2170 1528 660 686 819 630 433 2398 28 1189 608 1285 584 1053 80 2128 1254 1850 1147 48 749 452 1693 599 602 669 591 601 1673 1540 2198 156 1661 1275 1288 1071 1728 816 368 1679 1458 1830 206 1448 293 2307 684 1427 1319 993 953 887 553 2250')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 2292)","('mean_test_loss', 2.531777788519235)","('test_acc', 0.9894606239092496)","('test_f1', 0.9894615805401197)","('test_prec', 0.9897725300035175)","('test_reca', 0.9894606239092496)","('test_roc', 0.9998858479476882)","('mean_train_loss', 2.518074929714203)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.532933361530304)","('val_acc', 0.988125)","('val_f1', 0.9881292625978251)","('val_prec', 0.9883517110909041)","('val_reca', 0.9881249999999999)","('val_roc', 0.9999089717741936)","('pytorch_total_params', 82500)","('train_time', 678.677392244339)","('best_epoch', 180)","('experiment_id', '1745')","('train_samples', '2059 2372 2316 1142 1599 1745 91 836')","('val_samples', '465 1866 1002 1364 1433 1429 717 502 1571 1069 969 1598 163 2375 1818 83 56 1648 8 1747 210 74 2355 1251 1275 1501 876 1052 242 1595 340 399 949 1318 1706 31 51 555 2144 1458 1304 2276 1985 1326 424 129 470 1143 1199 1843 2263 2 933 147 1741 2259 1124 1665 1115 1083 1548 2292 849 2164 1997 1145 1564 1537 1832 879 1769 2125 557 2114 1792 154 1815 1448 2226 1306 554 220 1486 2308 661 493 863 2289 1295 1183 773 255 2130 698 971 1215 1930 318 821 449')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 2292)","('mean_test_loss', 2.5324086960905716)","('test_acc', 0.9885334860383944)","('test_f1', 0.9884475578243777)","('test_prec', 0.9885401897054886)","('test_reca', 0.9885334860383944)","('test_roc', 0.9998668350946713)","('mean_train_loss', 2.5180534720420837)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5336923146247865)","('val_acc', 0.98625)","('val_f1', 0.9861613845308219)","('val_prec', 0.9864015275911913)","('val_reca', 0.98625)","('val_roc', 0.9997805443548388)","('pytorch_total_params', 82500)","('train_time', 1379.7294619083405)","('best_epoch', 304)","('experiment_id', '2885')","('train_samples', '950 533 313 63 1587 303 2324 1579')","('val_samples', '1472 1724 1142 535 1975 1325 2226 1836 1127 2020 210 192 1964 2203 934 1890 639 1337 1700 1431 1872 42 1833 2093 1996 616 1971 726 2119 1714 190 231 929 833 269 405 1000 2264 769 1315 2242 415 148 765 1019 1469 1201 587 81 912 1513 551 454 1623 2349 845 1246 1353 467 601 1544 24 1231 1400 132 214 1080 627 595 1620 1278 2358 1236 2100 860 1805 2086 1593 697 641 2289 747 1114 455 1210 406 716 1752 898 1205 550 937 369 1740 1753 1627 1655 1323 777 127')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 2292)","('mean_test_loss', 2.529184880577041)","('test_acc', 0.9909467713787086)","('test_f1', 0.9908747565224628)","('test_prec', 0.9909357620995418)","('test_reca', 0.9909467713787086)","('test_roc', 0.99988977148763)","('mean_train_loss', 2.518044352531433)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.527436797618866)","('val_acc', 0.9928125)","('val_f1', 0.9927767046613569)","('val_prec', 0.9928489975783845)","('val_reca', 0.9928125000000001)","('val_roc', 0.9998635080645162)","('pytorch_total_params', 82500)","('train_time', 1707.0437262058258)","('best_epoch', 449)","('experiment_id', '4025')","('train_samples', '540 1106 637 1890 894 322 688 1264')","('val_samples', '1220 1300 1659 117 1611 1658 681 586 1875 1233 1143 279 448 1985 151 50 225 1404 839 1298 363 2198 2043 1627 455 270 1033 716 1029 627 1974 589 1827 1700 768 1178 1048 2012 513 1504 1347 1943 1160 1089 1477 290 46 256 472 2019 1479 1239 1816 1322 974 2116 1661 396 1710 516 456 416 590 1938 2310 1509 129 1277 423 646 509 1647 764 1090 2245 1748 1386 1731 1092 1148 1599 555 356 1758 1460 1433 2341 2346 1147 361 883 1436 1841 2144 1850 2191 1669 163 469 1228')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 2292)","('mean_test_loss', 2.529318249350443)","('test_acc', 0.9908922338568935)","('test_f1', 0.990842426490639)","('test_prec', 0.9909578249255377)","('test_reca', 0.9908922338568935)","('test_roc', 0.9999335200181902)","('mean_train_loss', 2.518041491508484)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5280854654312135)","('val_acc', 0.9934375)","('val_f1', 0.9934209054198919)","('val_prec', 0.9934998582891199)","('val_reca', 0.9934375)","('val_roc', 0.999976814516129)","('pytorch_total_params', 82500)","('train_time', 2527.4195063114166)","('best_epoch', 658)","('experiment_id', '5165')","('train_samples', '1575 1718 301 1154 1067 460 1071 667')","('val_samples', '990 419 210 2247 1000 1643 772 1373 2359 34 1339 1752 522 918 200 372 1442 1611 2396 256 1489 147 627 769 2322 1324 2152 1364 1279 367 1402 239 1313 1087 1565 1170 586 1454 1188 2262 2088 337 335 2046 291 2350 167 1891 1420 2100 720 1587 1386 664 235 1175 2376 2303 1523 1161 488 134 1734 831 1325 215 894 1004 64 1616 566 601 749 639 2010 2095 504 1103 1960 159 624 416 1001 1628 2056 1844 1693 92 2228 2238 136 1182 1445 972 914 1609 162 442 679 757')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 2292)","('mean_test_loss', 2.5386531683787)","('test_acc', 0.9825752617801047)","('test_f1', 0.98238690946997)","('test_prec', 0.9824712371364993)","('test_reca', 0.9825752617801047)","('test_roc', 0.9996540718273192)","('mean_train_loss', 2.5218876898288727)","('train_acc', 0.99609375)","('train_f1', 0.996078431372549)","('train_prec', 0.9965277777777778)","('train_reca', 0.99609375)","('train_roc', 0.9997637348790323)","('mean_val_loss', 2.5397727727890014)","('val_acc', 0.981875)","('val_f1', 0.9818672964636691)","('val_prec', 0.9820492076520413)","('val_reca', 0.981875)","('val_roc', 0.999632560483871)","('pytorch_total_params', 82500)","('train_time', 1434.8359894752502)","('best_epoch', 355)","('experiment_id', '6305')","('train_samples', '926 1235 1109 2244 484 2344 1283 1665')","('val_samples', '1340 2077 1615 1101 1482 1430 679 398 564 1107 699 1394 1661 1505 1258 2170 1404 2199 2327 692 496 526 2234 1047 393 201 1882 1777 206 86 1939 1451 901 2363 644 1124 646 973 2396 38 2245 2360 1384 849 857 921 267 2196 1974 1112 61 542 893 1863 71 416 2231 1766 1959 79 2323 145 1549 1089 719 2026 1734 1477 1681 2337 1473 716 1690 473 1617 540 368 87 876 1230 2132 2281 604 1140 1725 909 1422 1156 2022 2290 2356 1329 660 1536 1415 318 2298 1498 551 1441')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 2292)","('mean_test_loss', 2.529829754879337)","('test_acc', 0.9915603184991274)","('test_f1', 0.9914694659893138)","('test_prec', 0.9915718926419133)","('test_reca', 0.9915603184991275)","('test_roc', 0.999903791572986)","('mean_train_loss', 2.518052726984024)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.529099905490875)","('val_acc', 0.9915625)","('val_f1', 0.991521120315493)","('val_prec', 0.9916842685255407)","('val_reca', 0.9915625000000001)","('val_roc', 0.999934375)","('pytorch_total_params', 82500)","('train_time', 1202.217124223709)","('best_epoch', 296)","('experiment_id', '7445')","('train_samples', '960 2146 1683 624 10 507 1645 803')","('val_samples', '915 982 1312 932 685 529 2268 1749 1218 602 1188 1383 884 239 1636 808 553 1805 2253 1788 92 1500 816 1492 93 1993 1196 80 643 1593 1389 791 1490 2349 203 136 339 1439 2387 433 739 2249 177 921 1515 1999 1326 223 1639 822 1488 1294 1366 1106 480 1516 747 847 1611 256 20 1584 2306 2153 401 1241 2392 1798 202 2190 1338 1370 344 1558 116 1393 1600 2304 483 1816 1595 568 325 1863 2342 1659 142 1977 45 2296 2066 124 1332 1187 799 548 496 2257 2347 1715')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 2292)","('mean_test_loss', 2.5365882578320527)","('test_acc', 0.9848113001745201)","('test_f1', 0.9846197135099488)","('test_prec', 0.9847435768316726)","('test_reca', 0.9848113001745201)","('test_roc', 0.9997383521863127)","('mean_train_loss', 2.518043100833893)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5346239399909973)","('val_acc', 0.986875)","('val_f1', 0.9866806246988299)","('val_prec', 0.9868544007943529)","('val_reca', 0.986875)","('val_roc', 0.9997012096774194)","('pytorch_total_params', 82500)","('train_time', 2433.874055147171)","('best_epoch', 548)","('experiment_id', '8585')","('train_samples', '789 576 1605 1634 1977 5 455 962')","('val_samples', '1094 4 1154 1956 733 651 1875 456 1359 750 227 692 437 2338 2037 1394 1729 1909 2052 1436 1820 2200 1313 2102 1510 1649 1498 518 1664 297 1413 1377 59 1407 1770 1544 172 84 1157 2372 192 1450 1378 1383 330 420 622 1905 1589 700 1799 995 759 1961 2308 1493 1162 2284 1810 2180 846 1832 1385 429 1597 265 2089 1202 1457 1552 1885 1286 174 428 2365 236 2161 979 1319 1752 1237 1635 735 702 822 1349 946 1178 163 427 239 1195 1656 9 1174 1892 395 765 69 2318')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 2292)","('mean_test_loss', 2.543557911539161)","('test_acc', 0.9777350567190227)","('test_f1', 0.9768819430018102)","('test_prec', 0.9784598371258488)","('test_reca', 0.9777350567190226)","('test_roc', 0.9995856287802611)","('mean_train_loss', 2.5180628895759583)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5421336126327514)","('val_acc', 0.9796875)","('val_f1', 0.9787568121324743)","('val_prec', 0.9802115430935046)","('val_reca', 0.9796875)","('val_roc', 0.9997118951612902)","('pytorch_total_params', 82500)","('train_time', 1156.4937109947205)","('best_epoch', 262)","('experiment_id', '9725')","('train_samples', '873 969 1364 1048 984 2215 1667 154')","('val_samples', '1654 1234 1801 2015 1176 2103 554 2100 885 1517 1797 2008 2396 1247 1188 138 1672 890 1676 1387 533 1013 562 2151 1859 1448 815 1459 390 2195 1438 964 1501 579 2282 1741 769 2075 2392 1959 1542 326 650 1805 1938 1269 919 509 501 1713 371 1092 1860 1350 162 738 1583 1897 1077 1951 676 2072 846 875 151 1236 2364 1560 789 482 540 711 745 2046 778 1244 1910 388 33 2265 794 1902 1987 921 55 1686 78 1127 1166 2127 651 1047 1593 1657 993 1507 109 1206 625 114')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 2292)","('mean_test_loss', 2.5262127239874728)","('test_acc', 0.9942053883071553)","('test_f1', 0.9941799365896057)","('test_prec', 0.9942314733584774)","('test_reca', 0.9942053883071553)","('test_roc', 0.9999491592965637)","('mean_train_loss', 2.5180549919605255)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.527339286804199)","('val_acc', 0.991875)","('val_f1', 0.9918373006396157)","('val_prec', 0.9919924398065314)","('val_reca', 0.991875)","('val_roc', 0.9999182459677419)","('pytorch_total_params', 82500)","('train_time', 1189.9524850845337)","('best_epoch', 279)","('experiment_id', '10865')","('train_samples', '264 538 155 1452 161 654 1773 1185')","('val_samples', '742 120 1397 1961 1711 1842 872 953 1998 1831 741 2299 1602 419 1922 1363 1846 808 2071 1976 1358 173 1863 876 2107 968 805 895 1399 1308 1267 2132 1342 885 923 577 495 2346 1065 332 396 65 1424 991 862 74 946 1677 2146 666 2088 449 2204 1036 2011 1660 1739 554 1946 1232 353 1612 463 207 966 2129 2353 2387 308 720 1610 2089 853 933 1203 1382 1875 1643 25 1821 53 1903 1741 1027 1951 630 1877 2288 140 2017 466 1064 1701 2335 2237 228 2019 390 1103 216')"
