eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5306330740233483)","('test_acc', 0.9897550366300366)","('test_f1', 0.989733838980082)","('test_prec', 0.9897880952522115)","('test_reca', 0.9897550366300367)","('test_roc', 0.9998595438425896)","('mean_train_loss', 2.5180476903915405)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5287396264076234)","('val_acc', 0.9915625)","('val_f1', 0.9915534433987749)","('val_prec', 0.9917303137928375)","('val_reca', 0.9915624999999999)","('val_roc', 0.9998889112903226)","('pytorch_total_params', 82500)","('train_time', 1244.8225600719452)","('best_epoch', 345)","('experiment_id', '757')","('train_samples', '672 467 157 553 348 905 653 410')","('val_samples', '379 44 114 531 33 21 42 561 415 480 840 225 266 1134 441 515 446 936 790 460 81 894 966 1106 832 50 6 198 368 503 486 1181 306 32 878 202 1083 1019 124 385 961 540 1133 262 778 1138 178 1169 137 1081 307 398 85 105 664 674 1185 239 895 726 896 731 86 838 391 67 956 755 110 1158 1045 47 320 1017 77 1009 235 887 462 1146 209 548 923 414 62 122 704 1069 605 1187 591 1168 598 405 1050 170 795 897 334 502')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.525605430314829)","('test_acc', 0.9941334706959707)","('test_f1', 0.9941230247748687)","('test_prec', 0.994159860592094)","('test_reca', 0.9941334706959708)","('test_roc', 0.9998804986917302)","('mean_train_loss', 2.518050879240036)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.524665641784668)","('val_acc', 0.9946875)","('val_f1', 0.9946699510291552)","('val_prec', 0.9947937643736093)","('val_reca', 0.9946875)","('val_roc', 0.9999898185483871)","('pytorch_total_params', 82500)","('train_time', 1060.8909318447113)","('best_epoch', 319)","('experiment_id', '1897')","('train_samples', '227 592 1025 782 883 1017 266 365')","('val_samples', '660 975 418 316 890 925 1114 330 319 1143 117 987 103 663 1062 860 943 208 78 921 1041 990 604 72 223 187 105 27 163 608 954 213 62 1063 59 1006 741 1174 787 1171 232 1130 639 432 326 1021 810 790 947 517 984 843 929 39 429 668 671 396 55 637 98 353 57 362 529 904 473 311 474 174 841 851 525 614 642 828 839 973 681 909 244 962 524 1000 573 493 60 900 238 280 416 22 1169 121 241 397 774 364 226 149')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5259175219815293)","('test_acc', 0.9939617673992674)","('test_f1', 0.9939314375211439)","('test_prec', 0.9940016821727332)","('test_reca', 0.9939617673992673)","('test_roc', 0.9999211411914132)","('mean_train_loss', 2.518056482076645)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5265694570541384)","('val_acc', 0.9946875)","('val_f1', 0.9946725375838914)","('val_prec', 0.9947379051020822)","('val_reca', 0.9946875)","('val_roc', 0.999898689516129)","('pytorch_total_params', 82500)","('train_time', 1106.397950410843)","('best_epoch', 290)","('experiment_id', '3037')","('train_samples', '759 157 881 129 347 1019 181 782')","('val_samples', '183 340 463 486 248 115 926 225 10 909 604 899 605 784 917 1171 141 1013 955 1062 226 869 69 500 95 1104 988 19 921 541 549 471 42 743 651 719 584 350 1021 464 83 633 1037 87 947 1047 527 922 545 647 695 1064 1079 36 1072 783 1155 303 424 351 1110 872 625 995 503 938 105 420 118 617 749 11 15 619 1092 893 706 1015 198 432 172 979 596 127 1016 994 481 496 438 576 694 439 520 8 582 371 504 854 63 778')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.527305919172126)","('test_acc', 0.9927598443223443)","('test_f1', 0.9926619449682599)","('test_prec', 0.9928394478447582)","('test_reca', 0.9927598443223443)","('test_roc', 0.9999060311795711)","('mean_train_loss', 2.5180675387382507)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5269697761535643)","('val_acc', 0.9925)","('val_f1', 0.9923394451957921)","('val_prec', 0.9926818688573817)","('val_reca', 0.9925)","('val_roc', 0.9999644153225806)","('pytorch_total_params', 82500)","('train_time', 780.3314912319183)","('best_epoch', 220)","('experiment_id', '4177')","('train_samples', '693 537 394 715 795 1156 764 772')","('val_samples', '686 671 495 309 369 197 70 393 273 884 952 255 917 1087 564 89 737 336 457 82 725 256 349 105 303 123 169 139 1055 86 228 817 684 398 390 823 79 1162 1140 1040 874 488 744 665 432 155 435 1139 1059 258 133 1000 989 554 54 407 160 832 849 395 183 811 637 204 153 543 1022 253 283 1091 39 540 975 1062 157 519 860 883 466 1166 25 179 314 747 1073 743 1078 1102 920 161 1184 113 1124 1126 35 598 835 405 416 469')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5229966915570774)","('test_acc', 0.9967662545787546)","('test_f1', 0.9967594099964832)","('test_prec', 0.9967800008144919)","('test_reca', 0.9967662545787546)","('test_roc', 0.9999893112347694)","('mean_train_loss', 2.5180524587631226)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5215250849723816)","('val_acc', 0.9984375)","('val_f1', 0.9984343514837871)","('val_prec', 0.9984342809280928)","('val_reca', 0.9984375)","('val_roc', 0.9999922379032258)","('pytorch_total_params', 82500)","('train_time', 1184.442262172699)","('best_epoch', 298)","('experiment_id', '5317')","('train_samples', '453 136 361 466 837 229 487 257')","('val_samples', '458 686 619 489 331 1032 707 890 1006 775 629 1010 400 529 692 227 886 255 548 437 694 352 278 684 546 76 987 288 642 879 853 119 570 103 912 195 174 370 101 57 930 1045 1061 237 1049 799 986 1065 949 578 300 481 1122 889 1182 178 507 206 74 519 428 996 867 266 1057 1193 685 105 410 383 731 1015 111 269 1033 214 1140 859 48 843 312 291 727 1163 1018 423 64 928 1037 875 567 445 888 652 1198 554 480 277 715 1143')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.525755289710048)","('test_acc', 0.9947630494505495)","('test_f1', 0.9947415912904305)","('test_prec', 0.9947981140528073)","('test_reca', 0.9947630494505495)","('test_roc', 0.9999511828435803)","('mean_train_loss', 2.518066167831421)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5255142664909362)","('val_acc', 0.995)","('val_f1', 0.9949918352411443)","('val_prec', 0.9950329791757687)","('val_reca', 0.9950000000000001)","('val_roc', 0.9999897177419355)","('pytorch_total_params', 82500)","('train_time', 847.9971890449524)","('best_epoch', 202)","('experiment_id', '6457')","('train_samples', '446 779 519 405 567 820 1149 335')","('val_samples', '82 576 718 260 953 470 559 739 666 518 176 465 296 488 979 181 916 625 935 231 974 150 1030 656 721 906 679 733 1022 826 646 240 773 987 224 715 819 493 283 891 1127 499 696 413 336 42 469 351 794 337 633 536 153 640 1019 629 1090 918 661 186 1091 568 958 1188 213 959 588 252 725 1132 431 1106 1153 386 457 404 188 596 934 813 545 838 385 1088 793 628 1021 611 880 741 1186 714 1181 647 310 466 1011 589 806 969')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5308428607580864)","('test_acc', 0.9892685439560439)","('test_f1', 0.9892080292712646)","('test_prec', 0.9895177038967424)","('test_reca', 0.989268543956044)","('test_roc', 0.9998821627880887)","('mean_train_loss', 2.5180459916591644)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.532985351085663)","('val_acc', 0.9878125)","('val_f1', 0.9877868231806994)","('val_prec', 0.9884683429960439)","('val_reca', 0.9878125)","('val_roc', 0.9998599798387097)","('pytorch_total_params', 82500)","('train_time', 1465.4457747936249)","('best_epoch', 369)","('experiment_id', '7597')","('train_samples', '1120 1174 197 628 793 320 1009 929')","('val_samples', '155 396 115 867 108 130 175 965 550 200 1152 278 223 207 1084 478 44 1067 779 149 957 24 326 1101 811 220 63 178 858 566 41 735 984 256 1019 635 852 510 726 644 812 715 616 900 485 822 1134 265 72 246 595 757 831 1063 609 587 1024 1172 930 145 210 605 789 125 1071 241 763 1125 1137 746 343 755 294 443 79 1053 572 627 146 1036 675 160 313 147 950 315 794 829 1000 666 1072 578 836 310 221 489 282 357 429 22')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.526277481854617)","('test_acc', 0.9942765567765568)","('test_f1', 0.9942573225795966)","('test_prec', 0.9943429609119172)","('test_reca', 0.9942765567765568)","('test_roc', 0.9999678517041322)","('mean_train_loss', 2.51807177066803)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.527319061756134)","('val_acc', 0.9934375)","('val_f1', 0.9934140993255338)","('val_prec', 0.9935875178319524)","('val_reca', 0.9934375)","('val_roc', 0.9999777217741935)","('pytorch_total_params', 82500)","('train_time', 839.4074966907501)","('best_epoch', 201)","('experiment_id', '8737')","('train_samples', '169 301 998 362 678 1118 380 221')","('val_samples', '199 1199 43 118 604 761 1128 213 666 948 166 504 229 322 230 192 379 668 61 167 812 783 36 21 365 664 533 434 29 600 211 253 535 458 513 697 879 573 1045 744 1041 452 527 777 104 1191 773 807 394 53 205 810 22 224 1197 135 1061 969 1103 13 567 208 310 884 560 957 298 274 798 98 550 187 40 489 5 403 468 276 999 477 1022 345 1073 559 485 507 279 916 1173 752 263 238 960 304 232 334 400 1195 498 936')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5261031821533875)","('test_acc', 0.9940190018315018)","('test_f1', 0.993997425560537)","('test_prec', 0.9940740079949422)","('test_reca', 0.9940190018315018)","('test_roc', 0.9999411982654295)","('mean_train_loss', 2.5180472433567047)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5246582341194155)","('val_acc', 0.9959375)","('val_f1', 0.9959093117534543)","('val_prec', 0.9960050232964472)","('val_reca', 0.9959375)","('val_roc', 0.9999471774193548)","('pytorch_total_params', 82500)","('train_time', 1381.661256313324)","('best_epoch', 360)","('experiment_id', '9877')","('train_samples', '508 1061 513 315 98 842 68 744')","('val_samples', '932 463 462 567 944 56 902 308 714 950 818 923 410 1194 77 630 1069 195 394 225 83 319 251 1176 1047 827 557 442 495 450 1185 436 125 1026 739 1001 165 1105 913 464 871 157 1150 1132 363 552 809 369 1060 783 1018 851 747 1079 624 772 748 1002 716 929 527 75 332 344 150 0 8 1131 1198 831 220 566 877 155 218 712 728 1154 40 416 1 42 291 22 249 891 736 1045 1033 46 700 858 955 845 507 1003 44 139 99 1055')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 512)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.527709274719923)","('test_acc', 0.9925022893772893)","('test_f1', 0.992447282494322)","('test_prec', 0.9926373888430643)","('test_reca', 0.9925022893772895)","('test_roc', 0.9999530527857419)","('mean_train_loss', 2.5180514752864838)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.528305666446686)","('val_acc', 0.9915625)","('val_f1', 0.9914913658418164)","('val_prec', 0.9916812725420441)","('val_reca', 0.9915624999999999)","('val_roc', 0.9999582661290323)","('pytorch_total_params', 82500)","('train_time', 1245.3704226016998)","('best_epoch', 282)","('experiment_id', '11017')","('train_samples', '3 902 820 163 447 1160 387 431')","('val_samples', '727 194 273 980 323 1078 217 538 1029 937 939 261 186 692 77 880 102 522 1025 294 421 403 919 93 8 377 376 1057 967 48 1055 103 486 1054 12 696 128 736 936 150 777 49 569 118 30 602 1105 489 1112 64 804 588 1170 782 1002 374 840 817 231 734 1198 330 71 485 312 0 542 1069 764 1172 1183 709 1068 108 871 230 507 6 1024 910 164 315 452 236 380 405 223 1165 570 107 920 636 50 285 545 1101 248 1189 300 364')"
