eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 4692)","('mean_test_loss', 2.5456014443744683)","('test_acc', 0.9777946504688833)","('test_f1', 0.9773412809204107)","('test_prec', 0.977494200954738)","('test_reca', 0.9777946504688833)","('test_roc', 0.9996349073416135)","('mean_train_loss', 2.518088310956955)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.547351591587067)","('val_acc', 0.97625)","('val_f1', 0.9755927260426316)","('val_prec', 0.9760466394542585)","('val_reca', 0.97625)","('val_roc', 0.9992179435483871)","('pytorch_total_params', 10372)","('train_time', 994.4452559947968)","('best_epoch', 275)","('experiment_id', '526')","('train_samples', '3871 3073 364 1103 787 220 2224 1294')","('val_samples', '3887 4018 3959 3189 4307 1161 1898 4254 410 4580 4603 2757 3175 1033 1039 467 222 440 2567 3681 2061 1993 1726 2366 3081 867 3049 2928 234 2755 3356 1115 2725 877 567 600 1164 2730 3580 2148 4335 4305 2868 4564 3290 4675 1638 4317 3013 1888 1261 2806 3197 1196 1029 1173 706 4673 1458 2787 3162 3722 1491 4597 3412 2660 1587 4136 3860 3921 1125 4527 385 1084 3862 1169 4463 717 3169 445 1750 1364 3730 986 2196 936 2466 1512 1814 4531 2453 4648 2504 4294 3667 1259 4692 1391 2241 3264')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 4692)","('mean_test_loss', 2.5431939853325116)","('test_acc', 0.9797927323103154)","('test_f1', 0.9798267860907137)","('test_prec', 0.9802874149070462)","('test_reca', 0.9797927323103155)","('test_roc', 0.9996344063741838)","('mean_train_loss', 2.5181384086608887)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5433477926254273)","('val_acc', 0.978125)","('val_f1', 0.9781499052912295)","('val_prec', 0.9787133948446686)","('val_reca', 0.978125)","('val_roc', 0.9996484879032259)","('pytorch_total_params', 10372)","('train_time', 946.1785728931427)","('best_epoch', 242)","('experiment_id', '1666')","('train_samples', '3477 872 2207 3004 2337 3686 1110 117')","('val_samples', '1340 2438 3969 1241 1332 4720 1535 799 1220 1298 2303 205 848 4433 320 1474 459 1373 2276 432 3348 1617 856 3620 4219 1843 1379 4603 4479 4411 3689 531 3352 1049 3374 4334 2638 3133 4500 1271 2629 403 517 2465 434 3841 748 1482 1498 886 4618 4636 3596 2435 1441 1896 3055 527 814 4516 4574 4017 3890 3859 429 4010 4062 1025 2236 2121 1092 2050 1020 3569 3529 2843 626 217 1894 3694 3931 3303 9 716 3500 2678 3973 3748 4627 1118 4617 745 2749 2987 3695 161 4703 4248 2418 1803')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 4692)","('mean_test_loss', 2.548549469576264)","('test_acc', 0.976356031543052)","('test_f1', 0.9761581488497855)","('test_prec', 0.9762770924902774)","('test_reca', 0.9763560315430521)","('test_roc', 0.9995630263798791)","('mean_train_loss', 2.5181117355823517)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.548808891773224)","('val_acc', 0.9759375)","('val_f1', 0.9757607784759335)","('val_prec', 0.9761222684810679)","('val_reca', 0.9759375)","('val_roc', 0.9996814516129033)","('pytorch_total_params', 10372)","('train_time', 712.5347232818604)","('best_epoch', 203)","('experiment_id', '2806')","('train_samples', '4009 4429 1060 3173 3170 2284 3660 641')","('val_samples', '3212 265 913 1781 2814 645 4383 2305 1398 2560 3780 4090 2717 1203 3414 4439 2110 3596 302 1823 1193 1680 2061 2912 272 3432 1147 1829 3973 2976 2949 4078 2022 3037 396 95 1880 3450 3184 926 2554 1598 2752 2101 1379 4513 4351 3492 3630 2111 77 670 3918 2578 197 3344 2232 4425 835 3673 4086 2341 4447 355 323 3832 4398 3729 108 418 3047 3566 4008 3368 3035 4259 867 4442 3967 1220 3516 2982 1318 2035 485 1025 3769 3679 230 1163 342 2018 2906 1852 1446 4426 3051 3283 104 3363')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 4692)","('mean_test_loss', 2.5366128664797225)","('test_acc', 0.9860667092924126)","('test_f1', 0.9860683712208955)","('test_prec', 0.9863360149591371)","('test_reca', 0.9860667092924127)","('test_roc', 0.9998147103698636)","('mean_train_loss', 2.5180614292621613)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5367081594467162)","('val_acc', 0.9871875)","('val_f1', 0.9870893992812362)","('val_prec', 0.9872806493251522)","('val_reca', 0.9871875000000001)","('val_roc', 0.999882560483871)","('pytorch_total_params', 10372)","('train_time', 1186.4131028652191)","('best_epoch', 291)","('experiment_id', '3946')","('train_samples', '1629 3504 21 3575 2738 2009 4335 3035')","('val_samples', '1759 4417 4644 2993 3095 3840 942 4080 2759 4389 3626 506 654 348 308 143 2536 2544 2678 4225 2406 3792 2175 4416 4788 4485 246 1642 1232 3529 2650 1866 2403 2843 380 499 3554 1295 4607 808 1828 2213 2393 2390 2490 1705 4154 1189 4300 1627 4750 795 4023 2347 990 3859 1381 4674 1946 2538 3155 4506 811 2066 231 1931 4580 1742 146 4511 4619 1000 1401 3358 2332 2785 3227 488 3961 4623 2693 2073 172 1526 4118 2383 4243 2099 3513 3251 1087 3876 1939 630 202 4713 835 3426 2611 2459')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 4692)","('mean_test_loss', 2.553418696333177)","('test_acc', 0.9707480818414322)","('test_f1', 0.9695713258055254)","('test_prec', 0.9711660315983537)","('test_reca', 0.9707480818414322)","('test_roc', 0.9992544504533392)","('mean_train_loss', 2.5219854414463043)","('train_acc', 0.99609375)","('train_f1', 0.996078431372549)","('train_prec', 0.9965277777777778)","('train_reca', 0.99609375)","('train_roc', 0.9999842489919355)","('mean_val_loss', 2.55421667098999)","('val_acc', 0.97125)","('val_f1', 0.9697900863339654)","('val_prec', 0.972241430281448)","('val_reca', 0.97125)","('val_roc', 0.9991745967741935)","('pytorch_total_params', 10372)","('train_time', 695.2770245075226)","('best_epoch', 171)","('experiment_id', '5086')","('train_samples', '1158 3490 2811 4732 4783 1282 2744 605')","('val_samples', '1300 506 666 246 2386 1713 3162 2363 4099 1119 3006 946 541 1015 1079 1606 2684 3660 4666 3712 4196 1538 653 4287 3282 3224 4488 1166 1377 1683 3380 1705 4101 897 547 1263 114 4502 894 119 2586 3750 3037 4208 3634 1334 3692 2037 2641 3663 3370 3020 343 1414 3672 3067 3820 2824 2430 2893 4665 3809 3434 3122 3075 3898 1156 2118 2253 4577 1558 3377 3504 3805 4131 1850 2401 123 481 2538 470 4632 4235 978 3414 2225 3637 375 1259 1297 2721 1703 2328 2210 2176 3453 175 2475 2978 2740')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 4692)","('mean_test_loss', 2.547958501972709)","('test_acc', 0.9747442455242967)","('test_f1', 0.9745314782438022)","('test_prec', 0.9747478665961402)","('test_reca', 0.9747442455242967)","('test_roc', 0.9995459329755423)","('mean_train_loss', 2.521907716989517)","('train_acc', 0.99609375)","('train_f1', 0.996078431372549)","('train_prec', 0.9965277777777778)","('train_reca', 0.99609375)","('train_roc', 0.9999842489919355)","('mean_val_loss', 2.548348376750946)","('val_acc', 0.9740625)","('val_f1', 0.9738549217332664)","('val_prec', 0.9742754015015576)","('val_reca', 0.9740624999999999)","('val_roc', 0.9995583669354839)","('pytorch_total_params', 10372)","('train_time', 1226.7459452152252)","('best_epoch', 296)","('experiment_id', '6226')","('train_samples', '4450 2772 2954 1372 1232 4019 3890 284')","('val_samples', '2197 2283 166 1466 4578 1527 1671 2163 3549 807 1857 3444 3175 4397 628 4118 4111 982 3878 3475 2089 4572 1330 3551 1073 3058 2397 3243 4484 1501 239 1931 3103 1965 4503 827 2454 738 1600 395 1797 4671 173 2611 2112 4277 2706 4767 1455 1670 2134 2202 3193 3161 1431 935 392 2629 2566 4631 1308 667 1486 2415 2899 1078 4585 780 1298 733 3380 1378 3026 3245 1951 3172 3123 4374 4407 3339 2097 697 4327 835 3680 3043 4062 3522 3291 3248 1422 3734 559 1292 154 4587 4029 1978 839 1673')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 4692)","('mean_test_loss', 2.540969291814656)","('test_acc', 0.9806452472293266)","('test_f1', 0.9803116755507387)","('test_prec', 0.980601127757116)","('test_reca', 0.9806452472293266)","('test_roc', 0.9997646493432069)","('mean_train_loss', 2.518067866563797)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5424706721305848)","('val_acc', 0.979375)","('val_f1', 0.9789752745763186)","('val_prec', 0.9796303476648183)","('val_reca', 0.979375)","('val_roc', 0.9998063508064515)","('pytorch_total_params', 10372)","('train_time', 1130.991804599762)","('best_epoch', 257)","('experiment_id', '7366')","('train_samples', '2174 2882 2404 1182 604 4444 1174 208')","('val_samples', '4276 4761 2531 2817 3729 3807 1852 298 1086 638 3022 3495 1648 2755 2332 3553 4441 4005 3981 3975 3569 4611 972 4650 223 866 1090 4091 4481 3667 2291 4631 915 1598 1614 3133 2692 2436 672 1937 2287 1796 4329 3518 1211 194 382 3605 1581 279 63 4447 3256 678 3505 4642 3847 4787 4037 3406 2249 572 926 2261 1294 1635 1277 2827 4571 481 1997 3153 2256 2267 2386 1466 2786 2319 3202 129 1425 801 2832 4516 1519 2773 3547 3658 1739 3865 860 2895 2274 2313 115 4397 384 134 4645 61')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 4692)","('mean_test_loss', 2.543633867001188)","('test_acc', 0.9790001598465473)","('test_f1', 0.9786370200336625)","('test_prec', 0.9791456194113983)","('test_reca', 0.9790001598465474)","('test_roc', 0.9996614189382125)","('mean_train_loss', 2.5180632174015045)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5437736177444457)","('val_acc', 0.97875)","('val_f1', 0.9783853351984259)","('val_prec', 0.9788388486221429)","('val_reca', 0.97875)","('val_roc', 0.9997806451612903)","('pytorch_total_params', 10372)","('train_time', 1640.4364721775055)","('best_epoch', 323)","('experiment_id', '8506')","('train_samples', '2310 154 2632 682 4116 1946 1985 1393')","('val_samples', '1358 21 546 491 958 3044 4782 2999 2765 4709 4269 4068 2305 1613 1848 3379 1667 3806 4511 4365 2577 1725 3729 3623 4331 3166 3680 4027 2247 1584 622 2172 2917 3560 4662 51 300 3357 2188 3012 907 4165 3888 2060 214 2385 3164 2483 3950 4210 1508 662 4560 4519 975 1797 987 3405 2037 3534 982 1373 1116 1648 2170 1029 1043 1729 4421 1893 2891 4675 2585 3540 3508 655 3763 1501 1938 1380 1759 48 2479 3099 1432 839 1102 3742 4497 984 1446 1781 4472 1812 2112 4789 2158 1016 4221 3643')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 4692)","('mean_test_loss', 2.540221323442581)","('test_acc', 0.9824035592497868)","('test_f1', 0.9820538232775979)","('test_prec', 0.9822637101173006)","('test_reca', 0.9824035592497868)","('test_roc', 0.9996801731293692)","('mean_train_loss', 2.5180846452713013)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5388315749168395)","('val_acc', 0.98375)","('val_f1', 0.9835178005627978)","('val_prec', 0.9837386218819875)","('val_reca', 0.98375)","('val_roc', 0.9995632056451613)","('pytorch_total_params', 10372)","('train_time', 1110.1920964717865)","('best_epoch', 213)","('experiment_id', '10786')","('train_samples', '3628 1871 1541 2880 4514 4273 1137 4090')","('val_samples', '2176 3427 3531 3572 410 1435 3997 2646 2002 4282 2413 637 1084 55 4117 944 1563 178 88 894 3101 2560 453 4099 252 3727 3624 1800 1323 3781 1534 4119 3613 1274 3073 2585 1022 3921 3062 4783 4241 760 4158 398 163 4720 2101 3987 4455 2446 3089 2559 1438 1497 4682 1626 3545 3697 1024 3932 3017 1549 1538 432 2802 3258 2194 2635 1228 107 1862 4435 817 1004 4673 2526 3705 4698 2476 2946 1185 4499 4148 544 3247 4166 2411 931 850 399 1443 4606 4532 2457 2541 571 3676 2092 4330 1392')"
"('eeg_feature', 'psd')","('model', 'GraphConv')","('hidden_channels', 64)","('window_size', 0.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 4692)","('mean_test_loss', 2.550667394457571)","('test_acc', 0.9727794650468883)","('test_f1', 0.9722257614648611)","('test_prec', 0.9723726688229258)","('test_reca', 0.9727794650468884)","('test_roc', 0.999420513658225)","('mean_train_loss', 2.5180516242980957)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.553879933357239)","('val_acc', 0.9690625)","('val_f1', 0.9686028850450898)","('val_prec', 0.9687619748533944)","('val_reca', 0.9690625000000002)","('val_roc', 0.9995064516129033)","('pytorch_total_params', 10372)","('train_time', 862.9559564590454)","('best_epoch', 354)","('experiment_id', '9646')","('train_samples', '1184 1877 3403 4204 280 2770 2273 2522')","('val_samples', '3702 440 129 758 290 1491 1224 4329 2784 1929 1849 2283 231 3803 2362 3609 2137 2087 1946 1098 1032 674 1438 549 1115 4709 1064 1688 2851 1489 491 2071 4546 3527 864 3246 619 1380 4442 37 3823 1528 1692 1804 63 4661 711 3331 4062 4247 1352 1149 413 395 1541 3994 281 1147 2202 2827 2544 2640 2764 3145 1920 400 617 4608 4469 4244 2886 1542 4379 1989 3375 3510 2751 893 4298 2911 132 227 3239 4107 1010 1772 3820 1544 4483 763 1407 1797 279 3158 4721 2416 4798 3906 1811 4388')"
