eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6380677435801516)","('test_acc', 0.9164582427142236)","('test_f1', 0.9027295787701495)","('test_prec', 0.9283587036226784)","('test_reca', 0.9164582427142236)","('test_roc', 0.9969905665624993)","('mean_train_loss', 2.518193006515503)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6416168427467346)","('val_acc', 0.9128125)","('val_f1', 0.8983442502140375)","('val_prec', 0.931441155229618)","('val_reca', 0.9128125)","('val_roc', 0.9971067540322581)","('pytorch_total_params', 10336)","('train_time', 2171.9246826171875)","('best_epoch', 886)","('train_samples', '2135/2400 v35 35.0-36.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.594747184929302)","('test_acc', 0.9475859069160505)","('test_f1', 0.9424989772130629)","('test_prec', 0.955049288772909)","('test_reca', 0.9475859069160505)","('test_roc', 0.9993484859323183)","('mean_train_loss', 2.51808500289917)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5954139256477355)","('val_acc', 0.9484375)","('val_f1', 0.944224172337269)","('val_prec', 0.9582734846685264)","('val_reca', 0.9484375)","('val_roc', 0.9992899193548387)","('pytorch_total_params', 20640)","('train_time', 3587.6253554821014)","('best_epoch', 1498)","('train_samples', '1464/2400 v24 24.0-25.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.5905047847478997)","('test_acc', 0.958011635493693)","('test_f1', 0.9564226232410654)","('test_prec', 0.963823131878234)","('test_reca', 0.9580116354936928)","('test_roc', 0.9996622728936775)","('mean_train_loss', 2.5180532932281494)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5880526089668274)","('val_acc', 0.959375)","('val_f1', 0.9580903578258037)","('val_prec', 0.964034392995043)","('val_reca', 0.959375)","('val_roc', 0.9996184475806451)","('pytorch_total_params', 41248)","('train_time', 5748.369426012039)","('best_epoch', 2532)","('train_samples', '2393/2400 v39 53.0-54.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6012402805570627)","('test_acc', 0.9452887124836885)","('test_f1', 0.9357780581545248)","('test_prec', 0.9478578941346589)","('test_reca', 0.9452887124836885)","('test_roc', 0.9989669797218244)","('mean_train_loss', 2.5180556774139404)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5995200419425966)","('val_acc', 0.94625)","('val_f1', 0.9374237795263993)","('val_prec', 0.9501252078454057)","('val_reca', 0.94625)","('val_roc', 0.9990748991935483)","('pytorch_total_params', 82464)","('train_time', 5070.49644947052)","('best_epoch', 2160)","('train_samples', '1148/2400 v19 8.0-9.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6068493365826635)","('test_acc', 0.942257503262288)","('test_f1', 0.9389339182256061)","('test_prec', 0.9529489879338764)","('test_reca', 0.942257503262288)","('test_roc', 0.9994449099533028)","('mean_train_loss', 2.518047332763672)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.602614369392395)","('val_acc', 0.94875)","('val_f1', 0.9457994876862266)","('val_prec', 0.960286614581942)","('val_reca', 0.94875)","('val_roc', 0.9994510080645161)","('pytorch_total_params', 164896)","('train_time', 5806.359100103378)","('best_epoch', 2593)","('train_samples', '346/2400 v5 46.0-47.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.614060314907723)","('test_acc', 0.933041539799913)","('test_f1', 0.9266599696179403)","('test_prec', 0.9408912317213298)","('test_reca', 0.933041539799913)","('test_roc', 0.9985301154187763)","('mean_train_loss', 2.5180435180664062)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6130257630348206)","('val_acc', 0.935)","('val_f1', 0.9301796616702915)","('val_prec', 0.9492394090967423)","('val_reca', 0.935)","('val_roc', 0.9983475806451613)","('pytorch_total_params', 329760)","('train_time', 6006.836197137833)","('best_epoch', 3039)","('train_samples', '1951/2400 v32 31.0-32.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.5643172752763834)","('test_acc', 0.9787723020017406)","('test_f1', 0.978244549390977)","('test_prec', 0.9793418542703318)","('test_reca', 0.9787723020017407)","('test_roc', 0.9998423228170583)","('mean_train_loss', 2.5182024240493774)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.565073664188385)","('val_acc', 0.97875)","('val_f1', 0.9781257285502274)","('val_prec', 0.9796684593614124)","('val_reca', 0.97875)","('val_roc', 0.9998382056451612)","('pytorch_total_params', 10336)","('train_time', 1117.0455675125122)","('best_epoch', 518)","('train_samples', '1348/2400 v22 28.0-29.0\n846/2400 v14 6.0-7.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.57257913256646)","('test_acc', 0.9701914708442123)","('test_f1', 0.9690607466971367)","('test_prec', 0.9719612823920905)","('test_reca', 0.9701914708442123)","('test_roc', 0.9997331982169028)","('mean_train_loss', 2.5180898904800415)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.569980309009552)","('val_acc', 0.9728125)","('val_f1', 0.9718676170217564)","('val_prec', 0.9740475537946554)","('val_reca', 0.9728125000000001)","('val_roc', 0.9997014112903226)","('pytorch_total_params', 20640)","('train_time', 1704.8828585147858)","('best_epoch', 801)","('train_samples', '1394/2400 v23 14.0-15.0\n1441/2400 v24 1.0-2.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.550783655143386)","('test_acc', 0.9798330069625761)","('test_f1', 0.9790925341654845)","('test_prec', 0.9819949893283773)","('test_reca', 0.9798330069625762)","('test_roc', 0.9999083994031237)","('mean_train_loss', 2.5180736780166626)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5530515694618225)","('val_acc', 0.9784375)","('val_f1', 0.9777722628270479)","('val_prec', 0.9814420710554708)","('val_reca', 0.9784375000000001)","('val_roc', 0.9999429435483871)","('pytorch_total_params', 41248)","('train_time', 1919.870426416397)","('best_epoch', 961)","('train_samples', '2145/2400 v35 45.0-46.0\n1632/2400 v27 12.0-13.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.542934141229608)","('test_acc', 0.9879514795474326)","('test_f1', 0.9877305623200192)","('test_prec', 0.9881459071676875)","('test_reca', 0.9879514795474326)","('test_roc', 0.99991878489556)","('mean_train_loss', 2.518054962158203)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.54254807472229)","('val_acc', 0.9865625)","('val_f1', 0.9863831710543791)","('val_prec', 0.9869469280122236)","('val_reca', 0.9865625)","('val_roc', 0.9998761088709677)","('pytorch_total_params', 82464)","('train_time', 2315.552307844162)","('best_epoch', 1256)","('train_samples', '37/2400 v0 37.0-38.0\n2326/2400 v38 46.0-47.0')"
