eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.398024497212613)","('test_acc', 0.17360809047411918)","('test_f1', 0.1713134941612292)","('test_prec', 0.19377165740051172)","('test_reca', 0.17360809047411918)","('test_roc', 0.5643463115619431)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.400244965553284)","('val_acc', 0.174375)","('val_f1', 0.17110948053244013)","('val_prec', 0.19323373232453742)","('val_reca', 0.174375)","('val_roc', 0.5619232862903225)","('pytorch_total_params', 264288)","('train_time', 3449.029956817627)","('best_epoch', 1297)","('train_samples', '2376/2400 v39 36.0-37.0')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.408660939798608)","('test_acc', 0.18740484993475423)","('test_f1', 0.18614300331173034)","('test_prec', 0.22252440408031415)","('test_reca', 0.18740484993475423)","('test_roc', 0.5492523545616349)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.4045093774795534)","('val_acc', 0.1953125)","('val_f1', 0.19288697646391528)","('val_prec', 0.2404907398339109)","('val_reca', 0.1953125)","('val_roc', 0.5543571572580646)","('pytorch_total_params', 528544)","('train_time', 4455.0576367378235)","('best_epoch', 1918)","('train_samples', '2112/2400 v35 12.0-13.0')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.4141896122587716)","('test_acc', 0.19068073075250108)","('test_f1', 0.19175508297563398)","('test_prec', 0.24681172571296525)","('test_reca', 0.19068073075250108)","('test_roc', 0.5417769739665617)","('mean_train_loss', 2.518040895462036)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.4113446044921876)","('val_acc', 0.200625)","('val_f1', 0.20110331479984067)","('val_prec', 0.25409200977421476)","('val_reca', 0.200625)","('val_roc', 0.5398003024193547)","('pytorch_total_params', 1057056)","('train_time', 230.7776482105255)","('best_epoch', 76)","('train_samples', '2192/2400 v36 32.0-33.0')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.390296113755507)","('test_acc', 0.2141012396694215)","('test_f1', 0.21504285047740024)","('test_prec', 0.24835135508593642)","('test_reca', 0.2141012396694215)","('test_roc', 0.5508800972213596)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3937608194351196)","('val_acc', 0.2121875)","('val_f1', 0.21183531091425128)","('val_prec', 0.24291093660536123)","('val_reca', 0.2121875)","('val_roc', 0.5538561491935484)","('pytorch_total_params', 2114080)","('train_time', 239.12295198440552)","('best_epoch', 83)","('train_samples', '1859/2400 v30 59.0-60.0')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.3969508788543146)","('test_acc', 0.19568290561113527)","('test_f1', 0.1997998703558707)","('test_prec', 0.24796226102453905)","('test_reca', 0.19568290561113527)","('test_roc', 0.5376996461535914)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.4023515725135804)","('val_acc', 0.19125)","('val_f1', 0.19795199624334178)","('val_prec', 0.25048020002698823)","('val_reca', 0.19125000000000003)","('val_roc', 0.5291387096774194)","('pytorch_total_params', 4228128)","('train_time', 266.7680401802063)","('best_epoch', 79)","('train_samples', '2071/2400 v34 31.0-32.0')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 3.3824440095153983)","('test_acc', 0.20209873858199218)","('test_f1', 0.20778238661179355)","('test_prec', 0.2571302921895407)","('test_reca', 0.20209873858199218)","('test_roc', 0.5397425412257455)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3829606223106383)","('val_acc', 0.2065625)","('val_f1', 0.2115007791936182)","('val_prec', 0.2627262509048893)","('val_reca', 0.20656249999999998)","('val_roc', 0.5411576108870968)","('pytorch_total_params', 8456224)","('train_time', 246.1084222793579)","('best_epoch', 83)","('train_samples', '559/2400 v9 19.0-20.0')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.378180534762855)","('test_acc', 0.1854193864229765)","('test_f1', 0.18444648789326828)","('test_prec', 0.2206306165558033)","('test_reca', 0.1854193864229765)","('test_roc', 0.581664080225681)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3740113878250124)","('val_acc', 0.1975)","('val_f1', 0.19747915080584047)","('val_prec', 0.23432664973626488)","('val_reca', 0.1975)","('val_roc', 0.5944980846774194)","('pytorch_total_params', 264288)","('train_time', 1681.4294290542603)","('best_epoch', 659)","('train_samples', '1848/2400 v30 48.0-49.0\n1168/2400 v19 28.0-29.0')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.3750588816077527)","('test_acc', 0.21283453002610966)","('test_f1', 0.21377073291739418)","('test_prec', 0.2341838023272145)","('test_reca', 0.2128345300261097)","('test_roc', 0.5851542823973028)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.366496124267578)","('val_acc', 0.228125)","('val_f1', 0.22823899615327767)","('val_prec', 0.25023605362853907)","('val_reca', 0.228125)","('val_roc', 0.5943457661290323)","('pytorch_total_params', 528544)","('train_time', 5871.137593746185)","('best_epoch', 2464)","('train_samples', '1883/2400 v31 23.0-24.0\n1514/2400 v25 14.0-15.0')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.365121345814671)","('test_acc', 0.23274314621409922)","('test_f1', 0.2338134055476071)","('test_prec', 0.258964451510285)","('test_reca', 0.23274314621409922)","('test_roc', 0.5881995008172448)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.366522355079651)","('val_acc', 0.2225)","('val_f1', 0.2253996978584984)","('val_prec', 0.24787700498869303)","('val_reca', 0.22249999999999998)","('val_roc', 0.5831045362903227)","('pytorch_total_params', 1057056)","('train_time', 7989.682757616043)","('best_epoch', 3593)","('train_samples', '424/2400 v7 4.0-5.0\n236/2400 v3 56.0-57.0')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.3862444813921724)","('test_acc', 0.22390393820713664)","('test_f1', 0.22684450897926742)","('test_prec', 0.2503933346952407)","('test_reca', 0.22390393820713664)","('test_roc', 0.5720420661796954)","('mean_train_loss', 2.518040657043457)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3879797077178955)","('val_acc', 0.2253125)","('val_f1', 0.22885068836197017)","('val_prec', 0.25096174481676736)","('val_reca', 0.22531249999999997)","('val_roc', 0.5720143145161289)","('pytorch_total_params', 2114080)","('train_time', 8614.287462234497)","('best_epoch', 4152)","('train_samples', '46/2400 v0 46.0-47.0\n1830/2400 v30 30.0-31.0')"
"('eeg_feature', 'raw')","('model', 'MLP')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 3.371283503176338)","('test_acc', 0.23951533942558748)","('test_f1', 0.24102876139033627)","('test_prec', 0.2664694840566428)","('test_reca', 0.23951533942558748)","('test_roc', 0.5681198096742954)","('mean_train_loss', 2.5180416107177734)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 3.3705193853378295)","('val_acc', 0.2415625)","('val_f1', 0.2448898896477949)","('val_prec', 0.2699606770486061)","('val_reca', 0.2415625)","('val_roc', 0.5637003024193548)","('pytorch_total_params', 4228128)","('train_time', 196.48108339309692)","('best_epoch', 66)","('train_samples', '1436/2400 v23 56.0-57.0\n2274/2400 v37 54.0-55.0')"
