eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.603281915265615)","('test_acc', 0.9557008481948673)","('test_f1', 0.9543759015759938)","('test_prec', 0.9576535405995992)","('test_reca', 0.9557008481948673)","('test_roc', 0.9995381004020747)","('mean_train_loss', 2.5181190967559814)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.602895426750183)","('val_acc', 0.9575)","('val_f1', 0.9560981152636148)","('val_prec', 0.9597798874286287)","('val_reca', 0.9575)","('val_roc', 0.9994087701612903)","('pytorch_total_params', 10336)","('train_time', 2996.002759218216)","('best_epoch', 1194)","('train_samples', '955/2400 v15 55.0-56.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6108263243069176)","('test_acc', 0.948455850369726)","('test_f1', 0.9474993186300741)","('test_prec', 0.9545723286390202)","('test_reca', 0.948455850369726)","('test_roc', 0.9993768088702899)","('mean_train_loss', 2.518078327178955)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.61327312707901)","('val_acc', 0.9471875)","('val_f1', 0.9465176926909247)","('val_prec', 0.9533389068770977)","('val_reca', 0.9471875000000001)","('val_roc', 0.999453125)","('pytorch_total_params', 20640)","('train_time', 4111.801830768585)","('best_epoch', 1675)","('train_samples', '718/2400 v11 58.0-59.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6966061616991333)","('test_acc', 0.8643975641583297)","('test_f1', 0.8428597193156361)","('test_prec', 0.8853351508719788)","('test_reca', 0.8643975641583297)","('test_roc', 0.9952234772336772)","('mean_train_loss', 2.518049955368042)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.698435125350952)","('val_acc', 0.8659375)","('val_f1', 0.8442469424639685)","('val_prec', 0.8837166103774661)","('val_reca', 0.8659375)","('val_roc', 0.9953316532258064)","('pytorch_total_params', 41248)","('train_time', 6543.198726892471)","('best_epoch', 2888)","('train_samples', '1392/2400 v23 12.0-13.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6153314637328915)","('test_acc', 0.9311793170943888)","('test_f1', 0.9263742267411905)","('test_prec', 0.9425219683314887)","('test_reca', 0.931179317094389)","('test_roc', 0.9988582505224022)","('mean_train_loss', 2.518050193786621)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.611720278263092)","('val_acc', 0.935625)","('val_f1', 0.9319079936251726)","('val_prec', 0.9468659089390237)","('val_reca', 0.9356249999999999)","('val_roc', 0.9990783266129032)","('pytorch_total_params', 82464)","('train_time', 5980.312506914139)","('best_epoch', 2667)","('train_samples', '1439/2400 v23 59.0-60.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.623022958163128)","('test_acc', 0.9250897129186603)","('test_f1', 0.9207137714075381)","('test_prec', 0.9385152846453461)","('test_reca', 0.9250897129186603)","('test_roc', 0.9987384251580056)","('mean_train_loss', 2.5180461406707764)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6242787432670593)","('val_acc', 0.9215625)","('val_f1', 0.9165112526723589)","('val_prec', 0.9358592406837477)","('val_reca', 0.9215625)","('val_roc', 0.9986517137096774)","('pytorch_total_params', 164896)","('train_time', 5858.887857437134)","('best_epoch', 2855)","('train_samples', '1947/2400 v32 27.000000000000227-28.000000000000227')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 2048)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.620484989795959)","('test_acc', 0.9326881252718573)","('test_f1', 0.9296476554147579)","('test_prec', 0.9473639923630665)","('test_reca', 0.9326881252718573)","('test_roc', 0.9991313956350649)","('mean_train_loss', 2.518042802810669)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.621175980567932)","('val_acc', 0.9340625)","('val_f1', 0.9313312443412886)","('val_prec', 0.9494867354221801)","('val_reca', 0.9340625)","('val_roc', 0.9991871975806451)","('pytorch_total_params', 329760)","('train_time', 7082.576416254044)","('best_epoch', 3677)","('train_samples', '1724/2400 v28 44.0-45.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.5796397999123557)","('test_acc', 0.9668325718015666)","('test_f1', 0.9660835480908494)","('test_prec', 0.9684446902923615)","('test_reca', 0.9668325718015666)","('test_roc', 0.9996709172367351)","('mean_train_loss', 2.518322706222534)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5783947849273683)","('val_acc', 0.97)","('val_f1', 0.9696902574404742)","('val_prec', 0.9722403320225517)","('val_reca', 0.97)","('val_roc', 0.9996946572580645)","('pytorch_total_params', 10336)","('train_time', 906.6587994098663)","('best_epoch', 416)","('train_samples', '1610/2400 v26 50.0-51.0\n1710/2400 v28 30.0-31.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.5554288891318366)","('test_acc', 0.9794930374238469)","('test_f1', 0.9790329652695333)","('test_prec', 0.9795588830961858)","('test_reca', 0.9794930374238467)","('test_roc', 0.9998080525054946)","('mean_train_loss', 2.518072009086609)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5576012444496157)","('val_acc', 0.9765625)","('val_f1', 0.9759104968211181)","('val_prec', 0.9769261192686002)","('val_reca', 0.9765625)","('val_roc', 0.9997697580645162)","('pytorch_total_params', 20640)","('train_time', 1500.3234050273895)","('best_epoch', 987)","('train_samples', '543/2400 v9 3.0-4.0\n1793/2400 v29 53.0-54.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 256)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.556082773976372)","('test_acc', 0.9771676457789382)","('test_f1', 0.9768601975162311)","('test_prec', 0.9785082075772685)","('test_reca', 0.9771676457789382)","('test_roc', 0.9998722101472952)","('mean_train_loss', 2.518071413040161)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.555996074676514)","('val_acc', 0.976875)","('val_f1', 0.9765032709345051)","('val_prec', 0.9783969454304327)","('val_reca', 0.9768749999999999)","('val_roc', 0.9998516129032258)","('pytorch_total_params', 41248)","('train_time', 1733.35653758049)","('best_epoch', 981)","('train_samples', '164/2400 v2 44.0-45.0\n1292/2400 v21 32.0-33.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.566499499573305)","('test_acc', 0.9726256527415144)","('test_f1', 0.9719618229429017)","('test_prec', 0.9739891390527879)","('test_reca', 0.9726256527415144)","('test_roc', 0.9998467644023035)","('mean_train_loss', 2.518044114112854)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5683857583999634)","('val_acc', 0.9703125)","('val_f1', 0.9695965052159567)","('val_prec', 0.9724827738960029)","('val_reca', 0.9703125)","('val_roc', 0.9998246975806452)","('pytorch_total_params', 82464)","('train_time', 3313.4862520694733)","('best_epoch', 2026)","('train_samples', '1392/2400 v23 12.0-13.0\n50/2400 v0 50.0-51.0')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 1024)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 2)","('number_val_samples', 100)","('number_test_samples', 2298)","('mean_test_loss', 2.5478758493436744)","('test_acc', 0.9851501305483029)","('test_f1', 0.9849414153897911)","('test_prec', 0.9854429582419849)","('test_reca', 0.9851501305483028)","('test_roc', 0.9998922688177663)","('mean_train_loss', 2.5180476903915405)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.543385076522827)","('val_acc', 0.9909375)","('val_f1', 0.9908688965972056)","('val_prec', 0.9911515249907915)","('val_reca', 0.9909375)","('val_roc', 0.9999644153225806)","('pytorch_total_params', 164896)","('train_time', 2224.185128211975)","('best_epoch', 1451)","('train_samples', '765/2400 v12 45.0-46.0\n2156/2400 v35 56.0-57.0')"
