eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,train_samples
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.6906671290241775)","('test_acc', 0.8477526684456305)","('test_f1', 0.8303681514815824)","('test_prec', 0.8366989247359709)","('test_reca', 0.8477526684456305)","('test_roc', 0.9875597222554604)","('mean_train_loss', 2.5505597591400146)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 0.997983870967742)","('mean_val_loss', 2.687025775909424)","('val_acc', 0.84875)","('val_f1', 0.8319451993306437)","('val_prec', 0.8371261854826527)","('val_reca', 0.84875)","('val_roc', 0.9874869959677419)","('pytorch_total_params', 11408)","('train_time', 979.1993815898895)","('best_epoch', 727)","('train_samples', '762/1600 v19 3.0-4.5')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.5872557026454017)","('test_acc', 0.9481112408272181)","('test_f1', 0.9461691872235376)","('test_prec', 0.9547925513715836)","('test_reca', 0.9481112408272181)","('test_roc', 0.9989349350013927)","('mean_train_loss', 2.518296957015991)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.585906503200531)","('val_acc', 0.9484375)","('val_f1', 0.9470724326103135)","('val_prec', 0.9553327241806817)","('val_reca', 0.9484375)","('val_roc', 0.9989202620967742)","('pytorch_total_params', 27904)","('train_time', 669.0031051635742)","('best_epoch', 463)","('train_samples', '42/1600 v1 3.0-4.5')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.6495696849390376)","('test_acc', 0.8946797865243495)","('test_f1', 0.8799713875295858)","('test_prec', 0.8912387412615386)","('test_reca', 0.8946797865243495)","('test_roc', 0.9961717474991865)","('mean_train_loss', 2.550032615661621)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.6545006322860716)","('val_acc', 0.8871875)","('val_f1', 0.8709324530862705)","('val_prec', 0.8884293183552123)","('val_reca', 0.8871875)","('val_roc', 0.9962339717741935)","('pytorch_total_params', 76256)","('train_time', 402.62693333625793)","('best_epoch', 271)","('train_samples', '378/1600 v9 27.0-28.5')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.573881571574399)","('test_acc', 0.9660398599066043)","('test_f1', 0.9651298188250748)","('test_prec', 0.9675692374701819)","('test_reca', 0.9660398599066045)","('test_roc', 0.9995679308202211)","('mean_train_loss', 2.5180773735046387)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.573118417263031)","('val_acc', 0.968125)","('val_f1', 0.9673602568062093)","('val_prec', 0.9695090896878686)","('val_reca', 0.968125)","('val_roc', 0.9994113911290323)","('pytorch_total_params', 234400)","('train_time', 418.86042046546936)","('best_epoch', 279)","('train_samples', '1040/1600 v26 0.0-1.5')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 1024)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.5983298572402864)","('test_acc', 0.9353318879252835)","('test_f1', 0.9315748419372397)","('test_prec', 0.9485056813744914)","('test_reca', 0.9353318879252835)","('test_roc', 0.9976749655034823)","('mean_train_loss', 2.518059015274048)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6012899398803713)","('val_acc', 0.93375)","('val_f1', 0.9296497731465123)","('val_prec', 0.9487603208035145)","('val_reca', 0.9337500000000001)","('val_roc', 0.9976170362903225)","('pytorch_total_params', 796448)","('train_time', 330.7046973705292)","('best_epoch', 217)","('train_samples', '1390/1600 v34 45.0-46.5')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 2048)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.584402377801072)","('test_acc', 0.9479444629753169)","('test_f1', 0.944857442133459)","('test_prec', 0.9600668861008579)","('test_reca', 0.9479444629753169)","('test_roc', 0.9997045421193733)","('mean_train_loss', 2.519591808319092)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.58651700258255)","('val_acc', 0.9409375)","('val_f1', 0.9363460309865754)","('val_prec', 0.9558679139928572)","('val_reca', 0.9409375)","('val_roc', 0.9997770161290322)","('pytorch_total_params', 2903584)","('train_time', 204.89207649230957)","('best_epoch', 123)","('train_samples', '18/1600 v0 27.0-28.5')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.6581030098735052)","('test_acc', 0.875062541694463)","('test_f1', 0.8493935999007639)","('test_prec', 0.8415974553514776)","('test_reca', 0.875062541694463)","('test_roc', 0.9851873161501099)","('mean_train_loss', 2.5810956954956055)","('train_acc', 0.9375)","('train_f1', 0.9166666666666666)","('train_prec', 0.90625)","('train_reca', 0.9375)","('train_roc', 0.9969758064516129)","('mean_val_loss', 2.6579299926757813)","('val_acc', 0.876875)","('val_f1', 0.8506731993884395)","('val_prec', 0.8407228372956768)","('val_reca', 0.876875)","('val_roc', 0.9856367943548388)","('pytorch_total_params', 11408)","('train_time', 963.0050611495972)","('best_epoch', 694)","('train_samples', '726/1600 v18 9.0-10.5')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.62535890632665)","('test_acc', 0.9165902268178786)","('test_f1', 0.9125467458294082)","('test_prec', 0.9264976890560175)","('test_reca', 0.9165902268178785)","('test_roc', 0.9975014833750235)","('mean_train_loss', 2.5185024738311768)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6344722437858583)","('val_acc', 0.9065625)","('val_f1', 0.9012743871625368)","('val_prec', 0.9189920242366583)","('val_reca', 0.9065624999999999)","('val_roc', 0.9968038306451613)","('pytorch_total_params', 27904)","('train_time', 562.4732973575592)","('best_epoch', 391)","('train_samples', '519/1600 v12 58.5-60.0')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 256)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.6060803405756627)","('test_acc', 0.9380837224816544)","('test_f1', 0.9344158079833508)","('test_prec', 0.9422783318043029)","('test_reca', 0.9380837224816544)","('test_roc', 0.9989730124120564)","('mean_train_loss', 2.518204927444458)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.603671200275421)","('val_acc', 0.943125)","('val_f1', 0.9402935989764257)","('val_prec', 0.9476360771839591)","('val_reca', 0.943125)","('val_roc', 0.9991406249999999)","('pytorch_total_params', 76256)","('train_time', 363.1745228767395)","('best_epoch', 240)","('train_samples', '1594/1600 v39 51.0-52.5')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 512)","('window_size', 1.5)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 1499)","('mean_test_loss', 2.6010191370599505)","('test_acc', 0.9393762508338893)","('test_f1', 0.9250985727369551)","('test_prec', 0.9200412653727252)","('test_reca', 0.9393762508338892)","('test_roc', 0.9984895902862986)","('mean_train_loss', 2.548945426940918)","('train_acc', 0.96875)","('train_f1', 0.9583333333333333)","('train_prec', 0.953125)","('train_reca', 0.96875)","('train_roc', 1.0)","('mean_val_loss', 2.602762506008148)","('val_acc', 0.93625)","('val_f1', 0.9220068277394036)","('val_prec', 0.9177628941871723)","('val_reca', 0.93625)","('val_roc', 0.9984816532258065)","('pytorch_total_params', 234400)","('train_time', 264.50116324424744)","('best_epoch', 163)","('train_samples', '1140/1600 v28 30.0-31.5')"
