eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 4)","('number_val_samples', 100)","('number_test_samples', 2296)","('mean_test_loss', 2.5291087383384903)","('test_acc', 0.9948824041811847)","('test_f1', 0.9948489748445795)","('test_prec', 0.9949006794938617)","('test_reca', 0.9948824041811847)","('test_roc', 0.9999659258170427)","('mean_train_loss', 2.518092930316925)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5282785820961)","('val_acc', 0.9959375)","('val_f1', 0.9959326715128574)","('val_prec', 0.9959589120676774)","('val_reca', 0.9959375)","('val_roc', 0.999982560483871)","('pytorch_total_params', 20640)","('train_time', 1508.8983023166656)","('best_epoch', 420)","('experiment_id', '572')","('train_samples', '1817 2329 1576 1598')","('val_samples', '2201 1858 911 2074 949 2212 988 624 163 2175 1251 2386 455 390 265 1162 2157 487 820 1184 138 1499 1454 1029 1681 940 1750 1607 1677 958 2362 1577 69 537 2040 2023 890 2128 2252 85 1473 2145 1721 661 1210 272 757 1966 1634 1176 2133 2248 1388 2170 254 180 82 2173 1099 1664 2226 583 1025 1538 1384 1050 586 876 430 76 1944 813 637 280 441 1715 610 1807 2014 2058 2359 362 1950 545 2072 1842 195 2022 482 1403 1623 997 1581 1745 301 883 324 1455 1701 2243')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 4)","('number_val_samples', 100)","('number_test_samples', 2296)","('mean_test_loss', 2.5307770024608653)","('test_acc', 0.9927591463414634)","('test_f1', 0.9927156515784393)","('test_prec', 0.9928084771453555)","('test_reca', 0.9927591463414634)","('test_roc', 0.9999691995882195)","('mean_train_loss', 2.518060326576233)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5314030694961547)","('val_acc', 0.9940625)","('val_f1', 0.9940199614506424)","('val_prec', 0.9941377618545295)","('val_reca', 0.9940625)","('val_roc', 0.9999667338709677)","('pytorch_total_params', 20640)","('train_time', 2312.2533979415894)","('best_epoch', 596)","('experiment_id', '1712')","('train_samples', '2130 382 469 1822')","('val_samples', '2394 411 1306 1971 205 967 1052 446 2094 1409 2226 85 1698 1255 58 2324 978 1460 2005 1447 164 1348 1741 423 1384 2080 504 790 1131 1377 481 1738 1369 1318 544 282 1710 1154 1071 1402 1287 45 1208 1986 2100 930 545 100 2213 2031 2361 80 149 163 345 191 1432 1411 2012 1498 2311 1317 1221 1649 1926 1519 666 524 1291 99 549 1198 1497 2145 1240 1897 424 987 902 1503 2386 1031 550 1522 645 21 98 1802 1641 1220 1794 391 267 187 1250 1128 648 2038 1023 1740')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 4)","('number_val_samples', 100)","('number_test_samples', 2296)","('mean_test_loss', 2.528817793010419)","('test_acc', 0.9945829703832753)","('test_f1', 0.9945550325151412)","('test_prec', 0.994668876409361)","('test_reca', 0.9945829703832754)","('test_roc', 0.9999760425731239)","('mean_train_loss', 2.5180858373641968)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.529827663898468)","('val_acc', 0.994375)","('val_f1', 0.9943469418692529)","('val_prec', 0.994466114921795)","('val_reca', 0.994375)","('val_roc', 0.9999700604838709)","('pytorch_total_params', 20640)","('train_time', 1448.9884684085846)","('best_epoch', 458)","('experiment_id', '2852')","('train_samples', '1130 824 1414 1572')","('val_samples', '1633 1898 507 1675 610 1436 130 311 2013 654 576 530 1397 315 1901 225 1411 705 773 1779 136 368 1797 1576 448 2140 386 34 421 1850 641 712 1856 2146 1452 1076 833 1925 985 1408 2360 809 729 1102 1346 862 2327 1483 924 1133 899 1640 688 206 765 364 317 1105 291 118 2025 1029 503 341 1116 2158 2332 2367 2315 910 944 479 2311 679 777 343 950 2172 41 1801 1678 2255 1155 429 1232 1833 803 1609 629 2163 1087 445 1149 1338 1000 222 1359 1571 1568 532')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 4)","('number_val_samples', 100)","('number_test_samples', 2296)","('mean_test_loss', 2.52988971681545)","('test_acc', 0.9939977134146342)","('test_f1', 0.993940574087973)","('test_prec', 0.9940960077538642)","('test_reca', 0.9939977134146342)","('test_roc', 0.9999771639162419)","('mean_train_loss', 2.5180988907814026)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.528771901130676)","('val_acc', 0.9946875)","('val_f1', 0.9946339579432719)","('val_prec', 0.9946959813951124)","('val_reca', 0.9946875)","('val_roc', 0.9999714717741935)","('pytorch_total_params', 20640)","('train_time', 1434.6211714744568)","('best_epoch', 414)","('experiment_id', '3992')","('train_samples', '619 963 2101 1629')","('val_samples', '772 1089 1940 412 1497 1625 2156 33 2159 2061 50 5 1114 1147 819 142 2024 1215 2138 1809 471 1428 684 902 1922 2211 807 2014 198 2200 2201 2060 499 932 2199 1278 697 1611 707 1356 1127 1501 804 10 39 205 1294 1844 1366 1974 114 2339 1418 269 66 9 2066 1169 366 391 2356 544 332 186 55 321 144 2253 857 1735 303 885 1525 845 778 1582 800 2362 1098 1443 934 118 317 12 85 1563 1130 1225 1537 2157 2353 123 1368 615 1079 2019 1869 927 2230 2342')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 4)","('number_val_samples', 100)","('number_test_samples', 2296)","('mean_test_loss', 2.5302076885924523)","('test_acc', 0.993916049651568)","('test_f1', 0.9938875151750154)","('test_prec', 0.9939647048596638)","('test_reca', 0.993916049651568)","('test_roc', 0.9999785130082778)","('mean_train_loss', 2.518091320991516)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.530501973628998)","('val_acc', 0.9940625)","('val_f1', 0.9940442753360963)","('val_prec', 0.9941436792729277)","('val_reca', 0.9940625000000001)","('val_roc', 0.9999765120967742)","('pytorch_total_params', 20640)","('train_time', 1378.7825486660004)","('best_epoch', 433)","('experiment_id', '5132')","('train_samples', '913 1165 1712 1764')","('val_samples', '336 1591 2032 1706 731 1483 1266 944 2341 1202 555 573 745 479 418 945 2335 265 113 185 91 534 1846 2399 1081 1154 2355 2323 570 1779 242 617 626 2345 341 646 2067 364 260 1709 1286 1145 2084 1278 1419 1767 1273 2016 1933 488 805 312 125 1341 1384 1227 2061 1022 1476 2340 667 1992 323 584 821 2334 211 1953 1469 103 996 2276 1720 1209 960 2192 437 50 169 190 553 1500 1449 1872 722 1773 1397 744 1638 2321 19 1498 396 359 2194 1450 2208 1007 1230 28')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 4)","('number_val_samples', 100)","('number_test_samples', 2296)","('mean_test_loss', 2.528754037639405)","('test_acc', 0.995141006097561)","('test_f1', 0.995126260980001)","('test_prec', 0.9951508331756242)","('test_reca', 0.995141006097561)","('test_roc', 0.9999701585813534)","('mean_train_loss', 2.518063247203827)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5302552223205566)","('val_acc', 0.9925)","('val_f1', 0.9924879388829584)","('val_prec', 0.9926662507457666)","('val_reca', 0.9924999999999999)","('val_roc', 0.9999554435483871)","('pytorch_total_params', 20640)","('train_time', 1810.2277610301971)","('best_epoch', 581)","('experiment_id', '6272')","('train_samples', '867 1474 1389 1738')","('val_samples', '58 2082 2109 1286 1316 1268 1390 755 410 594 1509 2385 1562 519 1984 1578 1668 2301 428 2025 1500 436 1679 1486 2263 1258 1143 89 738 1180 1177 1101 1010 2187 733 1307 1384 766 813 1946 2336 1195 804 19 1173 1329 366 1901 2056 38 901 152 660 1711 902 1650 1723 1154 2091 1612 2318 1483 1068 2387 1211 1813 530 1407 2300 472 1420 532 2369 2112 1806 823 1525 1172 80 2332 380 742 1765 367 2303 127 1455 2204 1924 1110 1508 482 2191 219 538 2240 1239 30 451 1512')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 4)","('number_val_samples', 100)","('number_test_samples', 2296)","('mean_test_loss', 2.5352721373170928)","('test_acc', 0.9907447735191638)","('test_f1', 0.9906334453731775)","('test_prec', 0.9910074144729726)","('test_reca', 0.9907447735191637)","('test_roc', 0.9999443344164967)","('mean_train_loss', 2.518130362033844)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.533117332458496)","('val_acc', 0.9928125)","('val_f1', 0.9928190507722539)","('val_prec', 0.9930443247694731)","('val_reca', 0.9928125000000001)","('val_roc', 0.9999545362903226)","('pytorch_total_params', 20640)","('train_time', 1256.6425495147705)","('best_epoch', 348)","('experiment_id', '7412')","('train_samples', '880 446 2 2105')","('val_samples', '501 2242 1341 1424 993 1013 1583 1885 553 299 2271 111 2330 1445 1516 1832 419 551 397 928 1250 178 516 1631 369 525 484 1841 1664 600 714 2381 1925 670 710 1624 88 433 469 2183 1033 1280 276 514 1186 1474 1889 909 1175 749 1574 1241 1851 2205 2047 826 1087 1382 953 1218 318 1368 857 2079 1086 1840 2143 1217 1944 173 488 1844 1084 1580 1757 1226 565 476 959 219 110 394 1174 1687 1358 1412 1215 1370 789 1795 2189 333 355 1556 1678 1457 793 1110 1397 331')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 4)","('number_val_samples', 100)","('number_test_samples', 2296)","('mean_test_loss', 2.5301681686361492)","('test_acc', 0.99354856271777)","('test_f1', 0.9935057505075076)","('test_prec', 0.9936086123383445)","('test_reca', 0.99354856271777)","('test_roc', 0.9999696920880832)","('mean_train_loss', 2.5180808901786804)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.533525576591492)","('val_acc', 0.9896875)","('val_f1', 0.9895156422919631)","('val_prec', 0.9897734741540646)","('val_reca', 0.9896875)","('val_roc', 0.9999659274193549)","('pytorch_total_params', 20640)","('train_time', 2062.314165830612)","('best_epoch', 466)","('experiment_id', '8552')","('train_samples', '2086 1846 230 26')","('val_samples', '1612 549 904 1573 2258 2370 1902 435 1805 916 1596 1642 1994 1544 1946 1387 2144 1477 377 129 574 2164 1662 557 267 2042 1513 2241 2071 1332 2200 1529 280 2069 1772 1757 134 1640 232 2359 303 442 366 1631 1395 856 1311 700 2255 1288 2313 1610 1345 344 1961 50 485 1229 1748 2338 387 110 115 360 1192 618 733 2126 859 1305 248 278 2364 1609 891 1709 1959 1741 1620 1954 1784 1646 873 1925 101 1866 1099 864 1327 842 1654 64 1028 1179 389 949 407 1432 343 69')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 4)","('number_val_samples', 100)","('number_test_samples', 2296)","('mean_test_loss', 2.533478697210239)","('test_acc', 0.9914525261324042)","('test_f1', 0.9913450782307389)","('test_prec', 0.9915838580035791)","('test_reca', 0.9914525261324042)","('test_roc', 0.9999478160491964)","('mean_train_loss', 2.5180922746658325)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.532180004119873)","('val_acc', 0.993125)","('val_f1', 0.9930602492897154)","('val_prec', 0.9933037652400132)","('val_reca', 0.993125)","('val_roc', 0.9999790322580645)","('pytorch_total_params', 20640)","('train_time', 1533.0824663639069)","('best_epoch', 434)","('experiment_id', '10832')","('train_samples', '335 2217 1563 1281')","('val_samples', '440 1139 1181 277 1111 220 2329 1865 2387 1960 1095 579 355 1817 109 416 2044 313 1617 547 1866 508 1191 1412 1784 563 697 1208 2123 1507 945 2260 1862 565 1621 150 1087 1270 2151 2369 66 1863 1122 428 731 488 1560 852 970 179 1785 2000 1542 1674 1026 441 2216 2170 2071 1841 28 1598 2027 560 1416 905 1571 3 1821 969 652 1197 1346 1762 2286 530 451 354 639 518 1463 1124 522 1827 437 209 1092 435 983 1049 453 1078 2283 144 894 97 1549 2225 1818 1704')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 4)","('number_val_samples', 100)","('number_test_samples', 2296)","('mean_test_loss', 2.5340482592582703)","('test_acc', 0.9924869337979094)","('test_f1', 0.9924199544598096)","('test_prec', 0.9925542905784713)","('test_reca', 0.9924869337979094)","('test_roc', 0.999967526943565)","('mean_train_loss', 2.518138885498047)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5348295044898985)","('val_acc', 0.99)","('val_f1', 0.9899111311852911)","('val_prec', 0.9902909300045519)","('val_reca', 0.99)","('val_roc', 0.9998412298387097)","('pytorch_total_params', 20640)","('train_time', 749.2370450496674)","('best_epoch', 328)","('experiment_id', '9692')","('train_samples', '684 1861 1587 186')","('val_samples', '1828 1520 937 1125 1065 1707 326 1772 1887 2393 1146 584 766 1325 106 2268 1551 1945 2205 166 1361 210 1008 1543 1334 362 2247 1800 2323 1316 1634 1491 629 1704 962 1168 845 90 1980 177 205 2202 756 184 2113 138 636 671 934 640 1160 270 1730 599 1190 1105 791 1229 219 1897 2081 1391 2280 2288 819 440 630 2056 1910 424 1091 1006 2071 2083 320 1606 400 2331 349 1675 2075 1691 877 1120 375 158 366 2137 2100 1905 462 81 1256 853 657 2291 286 1766 1717 328')"
