eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5213453062288056)","('test_acc', 0.9985691391941391)","('test_f1', 0.9985688968704878)","('test_prec', 0.9985725265331418)","('test_reca', 0.9985691391941391)","('test_roc', 0.9999975230874624)","('mean_train_loss', 2.518154412508011)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5201211404800414)","('val_acc', 0.999375)","('val_f1', 0.9993749843746094)","('val_prec', 0.9993811881188119)","('val_reca', 0.999375)","('val_roc', 0.9999995967741935)","('pytorch_total_params', 20640)","('train_time', 609.0326006412506)","('best_epoch', 156)","('experiment_id', '743')","('train_samples', '672 467 157 553 348 905 653 410')","('val_samples', '379 44 114 531 33 21 42 561 415 480 840 225 266 1134 441 515 446 936 790 460 81 894 966 1106 832 50 6 198 368 503 486 1181 306 32 878 202 1083 1019 124 385 961 540 1133 262 778 1138 178 1169 137 1081 307 398 85 105 664 674 1185 239 895 726 896 731 86 838 391 67 956 755 110 1158 1045 47 320 1017 77 1009 235 887 462 1146 209 548 923 414 62 122 704 1069 605 1187 591 1168 598 405 1050 170 795 897 334 502')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.521718224544665)","('test_acc', 0.9976820054945055)","('test_f1', 0.9976794220087672)","('test_prec', 0.9976894509112372)","('test_reca', 0.9976820054945055)","('test_roc', 0.9999972043857468)","('mean_train_loss', 2.5180772244930267)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5208678960800173)","('val_acc', 0.99875)","('val_f1', 0.9987451859519838)","('val_prec', 0.9987623762376238)","('val_reca', 0.99875)","('val_roc', 0.9999997983870967)","('pytorch_total_params', 20640)","('train_time', 885.1449892520905)","('best_epoch', 238)","('experiment_id', '1883')","('train_samples', '227 592 1025 782 883 1017 266 365')","('val_samples', '660 975 418 316 890 925 1114 330 319 1143 117 987 103 663 1062 860 943 208 78 921 1041 990 604 72 223 187 105 27 163 608 954 213 62 1063 59 1006 741 1174 787 1171 232 1130 639 432 326 1021 810 790 947 517 984 843 929 39 429 668 671 396 55 637 98 353 57 362 529 904 473 311 474 174 841 851 525 614 642 828 839 973 681 909 244 962 524 1000 573 493 60 900 238 280 416 22 1169 121 241 397 774 364 226 149')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5224061776430178)","('test_acc', 0.9974244505494505)","('test_f1', 0.9974152510878267)","('test_prec', 0.997444081301083)","('test_reca', 0.9974244505494505)","('test_roc', 0.999994165307053)","('mean_train_loss', 2.5180779695510864)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.522691864967346)","('val_acc', 0.996875)","('val_f1', 0.9968635171244087)","('val_prec', 0.9969047552889392)","('val_reca', 0.996875)","('val_roc', 0.9999980846774192)","('pytorch_total_params', 20640)","('train_time', 936.4959051609039)","('best_epoch', 251)","('experiment_id', '3023')","('train_samples', '759 157 881 129 347 1019 181 782')","('val_samples', '183 340 463 486 248 115 926 225 10 909 604 899 605 784 917 1171 141 1013 955 1062 226 869 69 500 95 1104 988 19 921 541 549 471 42 743 651 719 584 350 1021 464 83 633 1037 87 947 1047 527 922 545 647 695 1064 1079 36 1072 783 1155 303 424 351 1110 872 625 995 503 938 105 420 118 617 749 11 15 619 1092 893 706 1015 198 432 172 979 596 127 1016 994 481 496 438 576 694 439 520 8 582 371 504 854 63 778')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5217659117537976)","('test_acc', 0.997882326007326)","('test_f1', 0.9978771085346525)","('test_prec', 0.9978963618228243)","('test_reca', 0.997882326007326)","('test_roc', 0.9999952769589258)","('mean_train_loss', 2.5181017220020294)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.521340651512146)","('val_acc', 0.9978125)","('val_f1', 0.9977994178053233)","('val_prec', 0.9978462919821394)","('val_reca', 0.9978125)","('val_roc', 0.9999960685483871)","('pytorch_total_params', 20640)","('train_time', 702.1216259002686)","('best_epoch', 213)","('experiment_id', '4163')","('train_samples', '693 537 394 715 795 1156 764 772')","('val_samples', '686 671 495 309 369 197 70 393 273 884 952 255 917 1087 564 89 737 336 457 82 725 256 349 105 303 123 169 139 1055 86 228 817 684 398 390 823 79 1162 1140 1040 874 488 744 665 432 155 435 1139 1059 258 133 1000 989 554 54 407 160 832 849 395 183 811 637 204 153 543 1022 253 283 1091 39 540 975 1062 157 519 860 883 466 1166 25 179 314 747 1073 743 1078 1102 920 161 1184 113 1124 1126 35 598 835 405 416 469')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5222970865148326)","('test_acc', 0.9972527472527473)","('test_f1', 0.9972453825238895)","('test_prec', 0.9972694381978389)","('test_reca', 0.9972527472527473)","('test_roc', 0.9999935879243693)","('mean_train_loss', 2.5181052684783936)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5200980877876282)","('val_acc', 0.9996875)","('val_f1', 0.9996874921873047)","('val_prec', 0.999690594059406)","('val_reca', 0.9996875000000001)","('val_roc', 0.9999988911290323)","('pytorch_total_params', 20640)","('train_time', 744.4722714424133)","('best_epoch', 201)","('experiment_id', '5303')","('train_samples', '453 136 361 466 837 229 487 257')","('val_samples', '458 686 619 489 331 1032 707 890 1006 775 629 1010 400 529 692 227 886 255 548 437 694 352 278 684 546 76 987 288 642 879 853 119 570 103 912 195 174 370 101 57 930 1045 1061 237 1049 799 986 1065 949 578 300 481 1122 889 1182 178 507 206 74 519 428 996 867 266 1057 1193 685 105 410 383 731 1015 111 269 1033 214 1140 859 48 843 312 291 727 1163 1018 423 64 928 1037 875 567 445 888 652 1198 554 480 277 715 1143')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5211035122364867)","('test_acc', 0.9982257326007326)","('test_f1', 0.9982231003482527)","('test_prec', 0.9982344190327377)","('test_reca', 0.9982257326007327)","('test_roc', 0.9999970344678559)","('mean_train_loss', 2.5181032717227936)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5204954147338867)","('val_acc', 0.9990625)","('val_f1', 0.9990608903480163)","('val_prec', 0.9990717821782178)","('val_reca', 0.9990625)","('val_roc', 0.9999996975806451)","('pytorch_total_params', 20640)","('train_time', 873.0851244926453)","('best_epoch', 211)","('experiment_id', '6443')","('train_samples', '446 779 519 405 567 820 1149 335')","('val_samples', '82 576 718 260 953 470 559 739 666 518 176 465 296 488 979 181 916 625 935 231 974 150 1030 656 721 906 679 733 1022 826 646 240 773 987 224 715 819 493 283 891 1127 499 696 413 336 42 469 351 794 337 633 536 153 640 1019 629 1090 918 661 186 1091 568 958 1188 213 959 588 252 725 1132 431 1106 1153 386 457 404 188 596 934 813 545 838 385 1088 793 628 1021 611 880 741 1186 714 1181 647 310 466 1011 589 806 969')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.521894943583143)","('test_acc', 0.9979395604395604)","('test_f1', 0.997937821237558)","('test_prec', 0.9979515258383741)","('test_reca', 0.9979395604395604)","('test_roc', 0.9999959583212141)","('mean_train_loss', 2.518114745616913)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.5236818909645082)","('val_acc', 0.99625)","('val_f1', 0.9962417862245041)","('val_prec', 0.9963053290623181)","('val_reca', 0.9962500000000001)","('val_roc', 0.9999975806451613)","('pytorch_total_params', 20640)","('train_time', 710.6083059310913)","('best_epoch', 191)","('experiment_id', '7583')","('train_samples', '1120 1174 197 628 793 320 1009 929')","('val_samples', '155 396 115 867 108 130 175 965 550 200 1152 278 223 207 1084 478 44 1067 779 149 957 24 326 1101 811 220 63 178 858 566 41 735 984 256 1019 635 852 510 726 644 812 715 616 900 485 822 1134 265 72 246 595 757 831 1063 609 587 1024 1172 930 145 210 605 789 125 1071 241 763 1125 1137 746 343 755 294 443 79 1053 572 627 146 1036 675 160 313 147 950 315 794 829 1000 666 1072 578 836 310 221 489 282 357 429 22')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5212173062366445)","('test_acc', 0.9980254120879121)","('test_f1', 0.9980220777201463)","('test_prec', 0.998039600391239)","('test_reca', 0.9980254120879121)","('test_roc', 0.9999960627235004)","('mean_train_loss', 2.518062651157379)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.521260750293732)","('val_acc', 0.9984375)","('val_f1', 0.9984374140556634)","('val_prec', 0.9984590370801787)","('val_reca', 0.9984375000000001)","('val_roc', 0.999998185483871)","('pytorch_total_params', 20640)","('train_time', 1212.300405740738)","('best_epoch', 295)","('experiment_id', '8723')","('train_samples', '169 301 998 362 678 1118 380 221')","('val_samples', '199 1199 43 118 604 761 1128 213 666 948 166 504 229 322 230 192 379 668 61 167 812 783 36 21 365 664 533 434 29 600 211 253 535 458 513 697 879 573 1045 744 1041 452 527 777 104 1191 773 807 394 53 205 810 22 224 1197 135 1061 969 1103 13 567 208 310 884 560 957 298 274 798 98 550 187 40 489 5 403 468 276 999 477 1022 345 1073 559 485 507 279 916 1173 752 263 238 960 304 232 334 400 1195 498 936')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.5218759157282093)","('test_acc', 0.9979967948717948)","('test_f1', 0.9979940983593358)","('test_prec', 0.9980059470194005)","('test_reca', 0.9979967948717948)","('test_roc', 0.9999960792080718)","('mean_train_loss', 2.5181062519550323)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.521920201778412)","('val_acc', 0.9978125)","('val_f1', 0.9977942961044354)","('val_prec', 0.9978582488460154)","('val_reca', 0.9978125)","('val_roc', 0.9999972782258064)","('pytorch_total_params', 20640)","('train_time', 831.5680453777313)","('best_epoch', 198)","('experiment_id', '9863')","('train_samples', '508 1061 513 315 98 842 68 744')","('val_samples', '932 463 462 567 944 56 902 308 714 950 818 923 410 1194 77 630 1069 195 394 225 83 319 251 1176 1047 827 557 442 495 450 1185 436 125 1026 739 1001 165 1105 913 464 871 157 1150 1132 363 552 809 369 1060 783 1018 851 747 1079 624 772 748 1002 716 929 527 75 332 344 150 0 8 1131 1198 831 220 566 877 155 218 712 728 1154 40 416 1 42 291 22 249 891 736 1045 1033 46 700 858 955 845 507 1003 44 139 99 1055')"
"('eeg_feature', 'psd')","('model', 'MLP')","('hidden_channels', 128)","('window_size', 2.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 8)","('number_val_samples', 100)","('number_test_samples', 1092)","('mean_test_loss', 2.521533822401976)","('test_acc', 0.9978250915750916)","('test_f1', 0.9978192976099569)","('test_prec', 0.9978389897865798)","('test_reca', 0.9978250915750916)","('test_roc', 0.9999971359113728)","('mean_train_loss', 2.5180664360523224)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.521925823688507)","('val_acc', 0.9975)","('val_f1', 0.9974951556507184)","('val_prec', 0.9975213476479701)","('val_reca', 0.9975)","('val_roc', 0.9999969758064515)","('pytorch_total_params', 20640)","('train_time', 1268.5158276557922)","('best_epoch', 286)","('experiment_id', '11003')","('train_samples', '3 902 820 163 447 1160 387 431')","('val_samples', '727 194 273 980 323 1078 217 538 1029 937 939 261 186 692 77 880 102 522 1025 294 421 403 919 93 8 377 376 1057 967 48 1055 103 486 1054 12 696 128 736 936 150 777 49 569 118 30 602 1105 489 1112 64 804 588 1170 782 1002 374 840 817 231 734 1198 330 71 485 312 0 542 1069 764 1172 1183 709 1068 108 871 230 507 6 1024 910 164 315 452 236 380 405 223 1165 570 107 920 636 50 285 545 1101 248 1189 300 364')"
