eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,mean_train_loss,train_acc,train_f1,train_prec,train_reca,train_roc,mean_val_loss,val_acc,val_f1,val_prec,val_reca,val_roc,pytorch_total_params,train_time,best_epoch,experiment_id,train_samples,val_samples
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6447659126827645)","('test_acc', 0.9136581122227055)","('test_f1', 0.908859390111348)","('test_prec', 0.9267256047759984)","('test_reca', 0.9136581122227055)","('test_roc', 0.997330844155103)","('mean_train_loss', 2.5181660652160645)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6478701519966124)","('val_acc', 0.9084375)","('val_f1', 0.9029699377408577)","('val_prec', 0.9209880230837271)","('val_reca', 0.9084375)","('val_roc', 0.9968081653225807)","('pytorch_total_params', 10336)","('train_time', 2901.6775670051575)","('best_epoch', 980)","('experiment_id', '153')","('train_samples', '1242')","('val_samples', '209 2305 2228 1559 426 2315 7 156 1918 2349 28 2163 2039 1142 550 795 764 1810 337 1406 2036 1422 5 1413 888 2311 2202 1967 1834 1420 2398 891 86 1505 834 1750 577 30 180 2257 1155 415 924 2277 354 1458 869 1298 1705 1397 2169 1990 1657 488 257 1515 161 297 1163 132 1011 995 548 1360 177 2018 31 2364 181 103 688 341 2324 2267 1708 2017 199 469 839 1181 1896 202 1768 2291 1040 1672 1948 1476 1566 2187 1542 1934 1153 384 1136 1033 1805 1189 932 1678')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6240128601774435)","('test_acc', 0.9305812309699869)","('test_f1', 0.9272400872924322)","('test_prec', 0.9402688037448002)","('test_reca', 0.9305812309699869)","('test_roc', 0.9987809089451027)","('mean_train_loss', 2.5181329250335693)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.624472482204437)","('val_acc', 0.9275)","('val_f1', 0.9240817205311254)","('val_prec', 0.9363522456641848)","('val_reca', 0.9275)","('val_roc', 0.9988206653225806)","('pytorch_total_params', 10336)","('train_time', 3336.489832878113)","('best_epoch', 1100)","('experiment_id', '1293')","('train_samples', '1913')","('val_samples', '1829 1084 1722 74 209 1158 1777 597 1459 904 1529 1392 2308 2191 1070 1194 1738 2329 2007 18 85 20 908 430 1916 1307 2300 1889 789 1124 1122 1287 246 1819 1763 90 354 303 1519 252 1359 1369 2279 1510 13 309 874 722 1668 338 1465 1440 608 533 2082 1329 785 2169 1349 2004 2153 492 2124 2251 2287 883 767 1574 1242 664 2318 2196 828 2146 1589 2395 1415 836 1873 700 1704 727 1659 876 1538 2012 2233 891 1433 552 1836 142 2393 2053 2364 1663 1751 499 1142 1106')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6406170753563627)","('test_acc', 0.9167572857764246)","('test_f1', 0.9121849805096975)","('test_prec', 0.9253881103735924)","('test_reca', 0.9167572857764246)","('test_roc', 0.9986234825753845)","('mean_train_loss', 2.5181281566619873)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.638144385814667)","('val_acc', 0.9165625)","('val_f1', 0.9120530073081582)","('val_prec', 0.9253970734099685)","('val_reca', 0.9165625)","('val_roc', 0.9988139112903225)","('pytorch_total_params', 10336)","('train_time', 3606.5786521434784)","('best_epoch', 1109)","('experiment_id', '2433')","('train_samples', '1245')","('val_samples', '1460 2013 1450 2138 799 1465 2339 372 2318 200 1294 2052 659 2111 746 429 1032 1000 1440 1334 1456 1308 2156 181 1367 1745 744 1981 1029 994 1683 1172 1544 420 1011 497 1223 332 1598 2103 1907 1402 843 1061 22 2073 914 1100 1949 1129 2064 1458 957 725 1347 1457 254 2359 262 910 373 1802 157 267 2396 1828 1641 104 468 1028 663 1578 2368 329 1625 1799 897 1613 2002 1270 1188 2100 2395 1583 1517 808 1066 78 1604 438 555 167 1131 2382 2129 195 1489 335 1384 1938')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.631617287025601)","('test_acc', 0.9183884297520661)","('test_f1', 0.9101473006577553)","('test_prec', 0.9213998906684713)","('test_reca', 0.9183884297520661)","('test_roc', 0.9986720061848269)","('mean_train_loss', 2.5181241035461426)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.63663037776947)","('val_acc', 0.91375)","('val_f1', 0.9045674644001107)","('val_prec', 0.9165378592124334)","('val_reca', 0.91375)","('val_roc', 0.99863125)","('pytorch_total_params', 10336)","('train_time', 3988.330068588257)","('best_epoch', 1133)","('experiment_id', '3573')","('train_samples', '162')","('val_samples', '807 1456 1205 832 2260 1068 1346 33 929 351 49 2145 2061 176 1626 1894 522 1740 2242 1617 233 2193 57 23 1266 2335 439 193 2020 1371 2319 1533 200 525 336 2215 2376 458 195 1490 1844 546 2106 401 1734 156 697 1553 1156 1267 2314 305 1149 418 1467 2017 562 1912 845 1540 1328 2010 890 2358 2266 2285 507 1181 1520 1514 1807 879 2161 145 1767 51 1910 1297 1655 1599 1632 1032 430 59 1745 1163 215 112 29 1447 2059 1211 2070 2324 1058 1895 695 2391 413 453')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.668132597698031)","('test_acc', 0.8818915832970857)","('test_f1', 0.8709016633859166)","('test_prec', 0.898742954479279)","('test_reca', 0.8818915832970857)","('test_roc', 0.9972561628270206)","('mean_train_loss', 2.51823353767395)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6757200026512145)","('val_acc', 0.8725)","('val_f1', 0.8619364351218929)","('val_prec', 0.8948081657595968)","('val_reca', 0.8724999999999999)","('val_roc', 0.9972995967741936)","('pytorch_total_params', 10336)","('train_time', 2348.7365069389343)","('best_epoch', 854)","('experiment_id', '4713')","('train_samples', '1372')","('val_samples', '508 730 1615 24 615 1866 1500 1899 1575 454 1191 1976 399 1121 124 590 2060 1525 634 1054 1773 401 742 516 702 413 835 1802 1997 960 2234 1786 1788 1263 1955 1970 146 1569 23 1857 1700 179 1932 27 2074 643 1197 1026 2345 400 1056 224 1331 1474 283 1821 1449 1413 520 790 2267 1692 1347 795 1298 1856 2293 417 682 1469 2346 1380 470 1609 1510 1170 181 120 1625 1826 364 1546 1461 693 524 546 506 1377 483 2192 850 296 1674 1659 162 1649 1619 866 2190 2322')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.636548852339782)","('test_acc', 0.9108579817311875)","('test_f1', 0.900589955842152)","('test_prec', 0.9247124985343361)","('test_reca', 0.9108579817311875)","('test_roc', 0.998883532521636)","('mean_train_loss', 2.518141508102417)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.632203459739685)","('val_acc', 0.914375)","('val_f1', 0.9043403486321898)","('val_prec', 0.9284103895104301)","('val_reca', 0.914375)","('val_roc', 0.9990514112903226)","('pytorch_total_params', 10336)","('train_time', 3310.463968038559)","('best_epoch', 1088)","('experiment_id', '5853')","('train_samples', '1437')","('val_samples', '1685 1704 486 1760 1930 1262 30 788 1461 1859 1273 1593 1636 1134 42 2022 958 302 1319 826 1604 444 361 616 515 1801 553 1048 1690 1178 1187 2147 171 2246 1096 1841 1653 865 1497 887 392 1589 1697 1183 1042 1143 1285 2115 2111 2325 460 225 2195 2142 1716 1028 2317 513 128 214 1748 154 1808 242 1846 2230 2176 2262 1597 23 1392 913 1614 1745 573 517 1207 640 1261 1879 272 1321 418 1700 541 842 1025 895 1499 1640 2253 2304 2356 1928 447 50 2014 357 1683 944')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6430298034498723)","('test_acc', 0.913807633753806)","('test_f1', 0.9108784181159437)","('test_prec', 0.9277129535848898)","('test_reca', 0.9138076337538059)","('test_roc', 0.9985584928090816)","('mean_train_loss', 2.51816463470459)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.636339626312256)","('val_acc', 0.915625)","('val_f1', 0.9129041065394372)","('val_prec', 0.9295718191924962)","('val_reca', 0.9156249999999999)","('val_roc', 0.9984102822580645)","('pytorch_total_params', 10336)","('train_time', 3007.2802441120148)","('best_epoch', 971)","('experiment_id', '6993')","('train_samples', '6')","('val_samples', '1412 581 75 966 505 1160 327 693 1155 1262 2368 1568 823 1222 2284 2042 139 943 1313 751 2024 372 881 1158 866 2053 1175 1739 1134 1237 293 687 2276 1785 2304 613 849 2084 394 188 317 243 1265 1755 2272 517 1009 701 1080 1920 1127 2362 1807 2269 1074 1027 1809 1298 2210 2239 1177 518 2297 1665 993 2162 666 1083 1680 2377 2222 1826 2046 1193 950 669 1907 1418 541 1407 2143 1861 398 342 74 1566 727 1548 1043 1663 171 696 1135 1233 313 2028 2370 1570 1047 115')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.646212708384849)","('test_acc', 0.9116463679860809)","('test_f1', 0.9082843739696828)","('test_prec', 0.9207313599529459)","('test_reca', 0.9116463679860809)","('test_roc', 0.998460985367845)","('mean_train_loss', 2.5182533264160156)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.6498071813583373)","('val_acc', 0.9059375)","('val_f1', 0.9021816593463142)","('val_prec', 0.9187866549639316)","('val_reca', 0.9059375000000001)","('val_roc', 0.9983245967741935)","('pytorch_total_params', 10336)","('train_time', 2662.8956265449524)","('best_epoch', 815)","('experiment_id', '8133')","('train_samples', '1816')","('val_samples', '559 550 1643 1726 1027 839 1132 668 1527 945 321 206 637 1713 1913 2012 302 515 775 856 1591 1535 1819 2073 1956 1622 1475 499 412 1426 830 755 807 1542 2196 2186 2223 603 683 2079 1772 2300 1876 1525 1926 1288 884 1752 671 1405 1254 188 837 979 2315 517 2316 582 1087 2286 1461 1143 1961 41 1530 349 2017 612 462 912 2140 11 1344 1558 512 103 232 2247 1788 2177 1074 1504 2297 471 585 971 1185 2281 1654 2080 1973 369 2148 1770 2333 2117 439 1567 2338 864')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6375392267319264)","('test_acc', 0.9291947585906916)","('test_f1', 0.9242311527974036)","('test_prec', 0.9330106166463494)","('test_reca', 0.9291947585906917)","('test_roc', 0.9974807634457205)","('mean_train_loss', 2.518150568008423)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.636432161331177)","('val_acc', 0.9271875)","('val_f1', 0.9217433469517928)","('val_prec', 0.9307068559999205)","('val_reca', 0.9271875)","('val_roc', 0.9977441532258065)","('pytorch_total_params', 10336)","('train_time', 3466.113666534424)","('best_epoch', 1070)","('experiment_id', '9273')","('train_samples', '1075')","('val_samples', '1024 195 1593 212 1336 106 302 1018 2196 720 2202 1053 704 2272 1611 374 1308 698 1537 750 140 540 1799 598 570 366 1739 670 2266 59 1430 1198 375 398 675 1692 801 1882 217 1567 2375 569 705 1478 1105 356 1596 1293 1499 2158 1115 1189 344 2097 1822 1824 457 2389 2055 1561 440 1485 855 965 873 1958 1573 608 1111 1431 601 1528 1718 1028 1985 1957 1298 1971 546 189 227 644 1490 746 2034 898 2116 980 1693 1338 926 1435 599 100 242 500 361 1851 2285 862')"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 64)","('window_size', 1.0)","('batch_size', 32)","('learning_rate', 0.0005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 2299)","('mean_test_loss', 2.6409370154596092)","('test_acc', 0.9202234667246629)","('test_f1', 0.9110839515351496)","('test_prec', 0.9218335114089282)","('test_reca', 0.9202234667246629)","('test_roc', 0.9983670967657711)","('mean_train_loss', 2.5182175636291504)","('train_acc', 1.0)","('train_f1', 1.0)","('train_prec', 1.0)","('train_reca', 1.0)","('train_roc', 1.0)","('mean_val_loss', 2.641866946220398)","('val_acc', 0.9209375)","('val_f1', 0.9107018513736106)","('val_prec', 0.9208945986369621)","('val_reca', 0.9209375)","('val_roc', 0.9982319556451613)","('pytorch_total_params', 10336)","('train_time', 3401.678274154663)","('best_epoch', 900)","('experiment_id', '10413')","('train_samples', '1028')","('val_samples', '1529 633 172 1245 785 1190 1651 62 2238 1459 1195 433 1155 1829 1977 1484 907 1836 639 84 687 698 1803 367 80 643 267 2008 952 2362 241 87 622 1577 967 166 2024 424 2034 2157 1171 1585 748 803 1288 565 1525 1259 935 1492 154 1049 1034 69 1059 2103 1737 2000 1928 1129 538 1693 966 776 1777 1499 369 1726 1341 2379 1191 27 212 675 441 1898 516 1350 1511 1750 826 340 2229 1969 1802 1408 269 2026 1454 2380 1831 1656 981 1905 1326 133 2009 349 532 2383')"
