eeg_feature,model,hidden_channels,window_size,batch_size,learning_rate,dropout_rate,weight_decay,activation_funct,number_train_samples,number_val_samples,number_test_samples,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params,train_time,best_epoch
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.0)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8651637700193104)","('test_acc', 0.6607788891253458)","('test_f1', 0.6007125018252852)","('test_prec', 0.632375804584892)","('test_reca', 0.6607788891253459)","('test_roc', 0.9381311058549802)","('pytorch_total_params', 5080)","('train_time', 198.0771677494049)","('best_epoch', 413)"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.25)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.9101687502064433)","('test_acc', 0.6408876888699724)","('test_f1', 0.6082729531294633)","('test_prec', 0.6644685365918824)","('test_reca', 0.6408876888699723)","('test_roc', 0.9303050192340341)","('pytorch_total_params', 5080)","('train_time', 84.6742832660675)","('best_epoch', 160)"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.5)","('weight_decay', 0.0)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.0067263185331026)","('test_acc', 0.6749441370504362)","('test_f1', 0.639937319990606)","('test_prec', 0.676486825459856)","('test_reca', 0.6749441370504363)","('test_roc', 0.9571488166442367)","('pytorch_total_params', 5080)","('train_time', 102.47405171394348)","('best_epoch', 198)"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.0)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.841984506185117)","('test_acc', 0.6835164396680145)","('test_f1', 0.6338473893444219)","('test_prec', 0.6655748051077557)","('test_reca', 0.6835164396680145)","('test_roc', 0.9434488059763191)","('pytorch_total_params', 5080)","('train_time', 225.229642868042)","('best_epoch', 487)"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.25)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.883945169385937)","('test_acc', 0.6688723664609492)","('test_f1', 0.6255555536677241)","('test_prec', 0.6627863447732932)","('test_reca', 0.668872366460949)","('test_roc', 0.9314804634676837)","('pytorch_total_params', 5080)","('train_time', 78.11803817749023)","('best_epoch', 150)"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.5)","('weight_decay', 0.01)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.0250313898735186)","('test_acc', 0.63319988295382)","('test_f1', 0.5945449128406903)","('test_prec', 0.6392771760025329)","('test_reca', 0.6331998829538199)","('test_roc', 0.9389917841650877)","('pytorch_total_params', 5080)","('train_time', 112.35271573066711)","('best_epoch', 222)"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.0)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.886626068798373)","('test_acc', 0.6400763460310704)","('test_f1', 0.5783056141663663)","('test_prec', 0.5697916619293498)","('test_reca', 0.6400763460310704)","('test_roc', 0.9411321667329237)","('pytorch_total_params', 5080)","('train_time', 208.94899082183838)","('best_epoch', 443)"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.25)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.8663331722802217)","('test_acc', 0.6833036284315812)","('test_f1', 0.6341458902768056)","('test_prec', 0.6206940359216908)","('test_reca', 0.6833036284315812)","('test_roc', 0.9170141741717011)","('pytorch_total_params', 5080)","('train_time', 74.32237195968628)","('best_epoch', 135)"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.5)","('weight_decay', 0.04)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 3.0440758749332093)","('test_acc', 0.5777093530538412)","('test_f1', 0.5055166717689582)","('test_prec', 0.5309952538141944)","('test_reca', 0.5777093530538412)","('test_roc', 0.9050716220725721)","('pytorch_total_params', 5080)","('train_time', 79.80692529678345)","('best_epoch', 149)"
"('eeg_feature', 'wav')","('model', 'MLP')","('hidden_channels', 32)","('window_size', 0.5)","('batch_size', 16)","('learning_rate', 0.005)","('dropout_rate', 0.0)","('weight_decay', 0.16)","('activation_funct', 'relu')","('number_train_samples', 1)","('number_val_samples', 100)","('number_test_samples', 4699)","('mean_test_loss', 2.915265273479584)","('test_acc', 0.6098571504575442)","('test_f1', 0.552062609380883)","('test_prec', 0.5588974886181592)","('test_reca', 0.6098571504575442)","('test_roc', 0.9470436814777939)","('pytorch_total_params', 5080)","('train_time', 100.55786085128784)","('best_epoch', 196)"
