model,eeg_feature,remove_global_connections,remove_baseline_signal_noise_removal,number_test_targets,number_validation_targets,batch_size,hidden_channels,learning_rate,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params
GraphConv,wav,False,False,10,5,4,16,0.01,3.13902989923954,0.378125,0.378125,0.378125,0.378125,0.835162305357422,9005
GraphConv,wav,False,False,10,5,4,16,0.001,2.5954466074705125,0.921875,0.921875,0.921875,0.921875,0.9861684583710794,9005
GraphConv,wav,False,False,10,5,4,16,0.0001,2.570743370056152,0.946875,0.946875,0.946875,0.946875,0.9999200376631592,9005
GraphConv,wav,False,False,10,5,4,32,0.01,3.2986072659492494,0.21875,0.21875,0.21875,0.21875,0.7053897191328551,28205
GraphConv,wav,False,False,10,5,4,32,0.001,2.521036458015442,0.996875,0.996875,0.996875,0.996875,1.0,28205
GraphConv,wav,False,False,10,5,4,32,0.0001,2.519334962964058,1.0,1.0,1.0,1.0,1.0,28205
GraphConv,wav,False,False,10,5,4,128,0.01,3.499290180206299,0.01875,0.01875,0.01875,0.01875,0.4994623655913979,358445
GraphConv,wav,False,False,10,5,4,128,0.001,2.5211757600307463,0.996875,0.996875,0.996875,0.996875,0.9999067912374363,358445
GraphConv,wav,False,False,10,5,4,128,0.0001,2.5181265115737914,1.0,1.0,1.0,1.0,1.0,358445
GraphConv,wav,False,False,20,5,4,16,0.01,3.073140633106232,0.4453125,0.4453125,0.4453125,0.4453125,0.883319040964207,9005
GraphConv,wav,False,False,20,5,4,16,0.001,2.520157125592232,0.9984375,0.9984375,0.9984375,0.9984375,1.0,9005
GraphConv,wav,False,False,20,5,4,16,0.0001,2.577112102508545,0.940625,0.940625,0.940625,0.940625,0.9972726823270589,9005
GraphConv,wav,False,False,20,5,4,32,0.01,3.4279939502477648,0.0890625,0.0890625,0.0890625,0.0890625,0.5712723719445408,28205
GraphConv,wav,False,False,20,5,4,32,0.001,2.55802456587553,0.959375,0.959375,0.959375,0.959375,0.999432363671275,28205
