model,eeg_feature,remove_global_connections,remove_baseline_signal_noise_removal,number_test_targets,number_validation_targets,batch_size,hidden_channels,learning_rate,mean_test_loss,test_acc,test_f1,test_prec,test_reca,test_roc,pytorch_total_params
GraphConv,wav,False,False,10,5,4,16,0.01,2.995945596694946,0.521875,0.521875,0.521875,0.521875,0.8343598790322582,9005
GraphConv,wav,False,False,10,5,4,16,0.001,2.520777001976967,0.996875,0.996875,0.996875,0.996875,1.0,9005
GraphConv,wav,False,False,10,5,4,16,0.0001,2.6165477246046067,0.9,0.9,0.9,0.9,0.9896572580645161,9005
GraphConv,wav,False,False,10,5,4,32,0.01,3.4348929554224013,0.08125,0.08125,0.08125,0.08125,0.6078528225806452,28205
GraphConv,wav,False,False,10,5,4,32,0.001,2.5210628509521484,0.996875,0.996875,0.996875,0.996875,1.0,28205
GraphConv,wav,False,False,10,5,4,32,0.0001,2.5202705591917036,0.996875,0.996875,0.996875,0.996875,1.0,28205
GraphConv,wav,False,False,10,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.5308467741935483,358445
GraphConv,wav,False,False,10,5,4,128,0.001,2.5211205303668978,0.996875,0.996875,0.996875,0.996875,1.0,358445
GraphConv,wav,False,False,10,5,4,128,0.0001,2.5213120132684708,0.996875,0.996875,0.996875,0.996875,1.0,358445
GraphConv,wav,False,False,20,5,4,16,0.01,3.010176782310009,0.5078125,0.5078125,0.5078125,0.5078125,0.867312247983871,9005
GraphConv,wav,False,False,20,5,4,16,0.001,2.5518037497997286,0.9671875,0.9671875,0.9671875,0.9671875,0.9970917338709677,9005
GraphConv,wav,False,False,20,5,4,16,0.0001,2.582090403139591,0.9359375,0.9359375,0.9359375,0.9359375,0.9946774193548388,9005
GraphConv,wav,False,False,20,5,4,32,0.01,3.2416749462485313,0.275,0.275,0.275,0.275,0.7610849294354839,28205
GraphConv,wav,False,False,20,5,4,32,0.001,2.519754245877266,0.9984375,0.9984375,0.9984375,0.9984375,1.0,28205
GraphConv,wav,False,False,20,5,4,32,0.0001,2.5204895585775375,0.996875,0.996875,0.996875,0.996875,1.0,28205
GraphConv,wav,False,False,20,5,4,128,0.01,3.486790180206299,0.03125,0.03125,0.03125,0.03125,0.5041998487903225,358445
GraphConv,wav,False,False,20,5,4,128,0.001,2.5210368245840074,0.996875,0.996875,0.996875,0.996875,1.0,358445
GraphConv,wav,False,False,20,5,4,128,0.0001,2.519740153849125,0.9984375,0.9984375,0.9984375,0.9984375,1.0,358445
GraphConv,wav,False,False,30,5,4,16,0.01,3.265474190314611,0.24791666666666667,0.24791666666666667,0.24791666666666667,0.24791666666666667,0.7728164202508959,9005
GraphConv,wav,False,False,30,5,4,16,0.001,2.5904213865598043,0.9291666666666667,0.9291666666666667,0.9291666666666667,0.9291666666666667,0.9988788082437275,9005
